'0','ikbb001','Force_Booster(BellatoCape1)'
'655','ikaa144','Accretia_Mantle144'
'656','ikaa145','Accretia_Mantle145'
'657','ikaa146','Accretia_Mantle146'
'658','ikaa147','Accretia_Mantle147'
'659','ikaa148','Accretia_Mantle148'
'660','ikaa149','Accretia_Mantle149'
'661','ikaa150','Accretia_Mantle150'
'662','ikaa151','Accretia_Mantle151'
'663','ikaa152','Accretia_Mantle152'
'664','ikaa153','Accretia_Mantle153'
'665','ikaa154','Accretia_Mantle154'
'666','ikaa155','Accretia_Mantle155'
'667','ikaa156','Accretia_Mantle156'
'668','ikaa157','Accretia_Mantle157'
'669','ikaa158','Accretia_Mantle158'
'670','ikaa159','Accretia_Mantle159'
'671','ikaa160','Accretia_Mantle160'
'672','ikaa161','Accretia_Mantle161'
'673','ikaa162','Accretia_Mantle162'
'674','ikaa163','Accretia_Mantle163'
'675','ikaa164','Accretia_Mantle164'
'676','ikaa165','Accretia_Mantle165'
'677','ikaa166','Accretia_Mantle166'
'678','ikaa167','Accretia_Mantle167'
'679','ikaa168','Accretia_Mantle168'
'680','ikaa169','Accretia_Mantle169'
'681','ikaa170','Accretia_Mantle170'
'682','ikaa171','Accretia_Mantle171'
'683','ikaa172','Accretia_Mantle172'
'684','ikaa173','Accretia_Mantle173'
'685','ikaa174','Accretia_Mantle174'
'686','ikaa175','Accretia_Mantle175'
'687','ikaa176','Accretia_Mantle176'
'688','ikaa177','Accretia_Mantle177'
'689','ikaa178','Accretia_Mantle178'
'690','ikaa179','Accretia_Mantle179'
'691','ikaa180','Accretia_Mantle180'
'692','ikaa181','Accretia_Mantle181'
'693','ikaa182','Accretia_Mantle182'
'694','ikaa183','Accretia_Mantle183'
'695','ikaa184','Accretia_Mantle184'
'696','ikaa185','Accretia_Mantle185'
'697','ikaa186','Accretia_Mantle186'
'698','ikaa187','Accretia_Mantle187'
'699','ikaa188','Accretia_Mantle188'
'700','ikaa189','Accretia_Mantle189'
'701','ikaa190','Accretia_Mantle190'
'702','ikaa191','Accretia_Mantle191'
'703','ikaa192','Accretia_Mantle192'
'704','ikaa193','Accretia_Mantle193'
'705','ikaa194','Accretia_Mantle194'
'706','ikaa195','Accretia_Mantle195'
'707','ikaa196','Accretia_Mantle196'
'708','ikaa197','Accretia_Mantle197'
'709','ikaa198','Accretia_Mantle198'
'710','ikaa199','Accretia_Mantle199'
'711','ikaa200','Accretia_Mantle200'
'712','ikaa201','Accretia_Mantle201'
'713','ikaa202','Accretia_Mantle202'
'714','ikaa203','Accretia_Mantle203'
'715','ikaa204','Accretia_Mantle204'
'716','ikaa205','Accretia_Mantle205'
'717','ikaa206','Accretia_Mantle206'
'718','ikaa207','Accretia_Mantle207'
'719','ikaa208','Accretia_Mantle208'
'720','ikaa209','Accretia_Mantle209'
'721','ikaa210','Accretia_Mantle210'
'722','ikaa211','Accretia_Mantle211'
'723','ikaa212','Accretia_Mantle212'
'724','ikaa213','Accretia_Mantle213'
'725','ikaa214','Accretia_Mantle214'
'726','ikaa215','Accretia_Mantle215'
'727','ikaa216','Accretia_Mantle216'
'728','ikaa217','Accretia_Mantle217'
'729','ikaa218','Accretia_Mantle218'
'730','ikaa219','Accretia_Mantle219'
'731','ikaa220','Accretia_Mantle220'
'732','ikaa221','Accretia_Mantle221'
'733','ikaa222','Accretia_Mantle222'
'734','ikaa223','Accretia_Mantle223'
'735','ikaa224','Accretia_Mantle224'
'736','ikaa225','Accretia_Mantle225'
'737','ikaa226','Accretia_Mantle226'
'738','ikaa227','Accretia_Mantle227'
'739','ikaa228','Accretia_Mantle228'
'740','ikaa229','Accretia_Mantle229'
'741','ikaa230','Accretia_Mantle230'
'742','ikaa231','Accretia_Mantle231'
'743','ikaa232','Accretia_Mantle232'
'744','ikaa233','Accretia_Mantle233'
'745','ikaa234','Accretia_Mantle234'
'746','ikaa235','Accretia_Mantle235'
'747','ikaa236','Accretia_Mantle236'
'748','ikaa237','Accretia_Mantle237'
'749','ikaa238','Accretia_Mantle238'
'750','ikaa239','Accretia_Mantle239'
'751','ikaa240','Accretia_Mantle240'
'752','ikaa241','Accretia_Mantle241'
'753','ikaa242','Accretia_Mantle242'
'754','ikaa243','Accretia_Mantle243'
'755','ikaa244','Accretia_Mantle244'
'756','ikaa245','Accretia_Mantle245'
'757','ikaa246','Accretia_Mantle246'
'758','ikaa247','Accretia_Mantle247'
'759','ikaa248','Accretia_Mantle248'
'760','ikaa249','Accretia_Mantle249'
'761','ikaa250','Accretia_Mantle250'
'762','ikaa251','Accretia_Mantle251'
'763','ikaa252','Accretia_Mantle252'
'764','ikaa253','Accretia_Mantle253'
'765','ikaa254','Accretia_Mantle254'
'766','ikaa255','Accretia_Mantle255'
'767','ikaa256','Accretia_Mantle256'
'768','ikxxx00','Amlo_Mantle'
'769','ikxxx01','CEO_Mantle'
'770','ikxxx02','Munggu`s_Mantle'
'771','ikxxx03','GMMantle'
'772','ikxxx04','Soony`s'
'773','ikexp01','Cape'
'774','ikqsa01','Mantle_of_Secrecy'
'775','ikqsa02','Mantle_of_Almighty_June'
'776','ikbvb00','Blood_Booster[Standard](Bellato)'
'777','ikbvb01','Blood_Booster[1_Grade](Bellato)'
'778','ikbvb02','Blood_Booster[2_Grade](Bellato)'
'779','ikbvb03','Blood_Booster[3_Grade](Bellato)'
'780','ikbvb04','Blood_Booster[4_Grade](Bellato)'
'781','ikbvb05','Blood_Booster[5_Grade](Bellato)'
'782','ikbvb06','Blood_Booster[6_Grade](Bellato)'
'783','ikbvb07','Blood_Booster[7_Grade](Bellato)'
'784','ikbvb08','Blood_Booster[8_Grade](Bellato)'
'785','ikbvb09','Blood_Booster[9_Grade](Bellato)'
'786','ikbvb10','Blood_Booster[10_Grade](Bellato)'
'787','ikbvb11','Blood_Booster[11_Grade](Bellato)'
'788','ikbvb12','Blood_Booster[12_Grade](Bellato)'
'789','ikbvb13','Blood_Booster[13_Grade](Bellato)'
'790','ikbvb14','Blood_Booster[14_Grade](Bellato)'
'791','ikbvb15','Blood_Booster[15_Grade](Bellato)'
'792','ikbvb16','Blood_Booster[16_Grade](Bellato)'
'793','ikbvb17','Blood_Booster[17_Grade](Bellato)'
'794','ikbvb18','Blood_Booster[18_Grade](Bellato)'
'795','ikbvb19','Blood_Booster[19_Grade](Bellato)'
'796','ikbvb20','Blood_Booster[20_Grade](Bellato)'
'797','ikbvb21','Blood_Booster[21_Grade](Bellato)'
'798','ikbvb22','Blood_Booster[22_Grade](Bellato)'
'799','ikbvb23','Blood_Booster[23_Grade](Bellato)'
'800','ikbvb24','Blood_Booster[24_Grade](Bellato)'
'801','ikbvb25','Blood_Booster[25_Grade](Bellato)'
'802','ikbvb26','Blood_Booster[26_Grade](Bellato)'
'803','ikbvb27','Blood_Booster[27_Grade](Bellato)'
'804','ikbvb28','Blood_Booster[28_Grade](Bellato)'
'805','ikbvb29','Blood_Booster[29_Grade](Bellato)'
'806','ikbvb30','Blood_Booster[30_Grade](Bellato)'
'807','ikbvb31','Blood_Booster[31_Grade](Bellato)'
'808','ikbvb32','Blood_Booster[32_Grade](Bellato)'
'809','ikbvb33','Blood_Booster[33_Grade](Bellato)'
'810','ikbvb34','Blood_Booster[34_Grade](Bellato)'
'811','ikbvb35','Blood_Booster[35_Grade](Bellato)'
'812','ikbvb36','Blood_Booster[36_Grade](Bellato)'
'813','ikbvb37','Blood_Booster[37_Grade](Bellato)'
'814','ikbvb38','Blood_Booster[38_Grade](Bellato)'
'815','ikbvb39','Blood_Booster[39_Grade](Bellato)'
'816','ikbvb40','Blood_Booster[40_Grade](Bellato)'
'817','ikbvb41','Blood_Booster[41_Grade](Bellato)'
'818','ikbvb42','Blood_Booster[42_Grade](Bellato)'
'819','ikbvb43','Blood_Booster[43_Grade](Bellato)'
'820','ikbvb44','Blood_Booster[44_Grade](Bellato)'
'821','ikbvb45','Blood_Booster[45_Grade](Bellato)'
'822','ikbvb46','Blood_Booster[46_Grade](Bellato)'
'823','ikbvb47','Blood_Booster[47_Grade](Bellato)'
'824','ikbvb48','Blood_Booster[48_Grade](Bellato)'
'825','ikbvb49','Blood_Booster[49_Grade](Bellato)'
'826','ikbvb50','Blood_Booster[50_Grade](Bellato)'
'827','ikbvb51','Blood_Booster[51_Grade](Bellato)'
'828','ikbvb52','Blood_Booster[52_Grade](Bellato)'
'829','ikbvb53','Blood_Booster[53_Grade](Bellato)'
'830','ikbvb54','Blood_Booster[54_Grade](Bellato)'
'831','ikbvb55','Blood_Booster[55_Grade](Bellato)'
'832','ikbvb56','Blood_Booster[56_Grade](Bellato)'
'833','ikbvb57','Blood_Booster[57_Grade](Bellato)'
'834','ikbvb58','Blood_Booster[58_Grade](Bellato)'
'835','ikbvb59','Blood_Booster[59_Grade](Bellato)'
'836','ikbvb60','Blood_Booster[60_Grade](Bellato)'
'837','ikbvb61','Blood_Booster[61_Grade](Bellato)'
'838','ikbvb62','Blood_Booster[62_Grade](Bellato)'
'839','ikbvb63','Blood_Booster[63_Grade](Bellato)'
'840','ikbvb64','Blood_Booster[64_Grade](Bellato)'
'841','ikbvb65','Blood_Booster[65_Grade](Bellato)'
'842','ikbvb66','Blood_Booster[66_Grade](Bellato)'
'843','ikbvb67','Blood_Booster[67_Grade](Bellato)'
'844','ikbvb68','Blood_Booster[68_Grade](Bellato)'
'845','ikbvb69','Blood_Booster[69_Grade](Bellato)'
'846','ikbvb70','Blood_Booster[70_Grade](Bellato)'
'847','ikbvb71','Blood_Booster[71_Grade](Bellato)'
'848','ikbvb72','Blood_Booster[72_Grade](Bellato)'
'849','ikbvb73','Blood_Booster[73_Grade](Bellato)'
'850','ikbvb74','Blood_Booster[74_Grade](Bellato)'
'851','ikbvb75','Blood_Booster[75_Grade](Bellato)'
'852','ikbvb76','Blood_Booster[76_Grade](Bellato)'
'853','ikbvb77','Blood_Booster[77_Grade](Bellato)'
'854','ikbvb78','Blood_Booster[78_Grade](Bellato)'
'855','ikbvb79','Blood_Booster[79_Grade](Bellato)'
'856','ikbvb80','Blood_Booster[80_Grade](Bellato)'
'857','ikbvb81','Blood_Booster[81_Grade](Bellato)'
'858','ikbvb82','Blood_Booster[82_Grade](Bellato)'
'859','ikbvb83','Blood_Booster[83_Grade](Bellato)'
'860','ikbvb84','Blood_Booster[84_Grade](Bellato)'
'861','ikbvb85','Blood_Booster[85_Grade](Bellato)'
'862','ikbvb86','Blood_Booster[86_Grade](Bellato)'
'863','ikbvb87','Blood_Booster[87_Grade](Bellato)'
'864','ikbvb88','Blood_Booster[88_Grade](Bellato)'
'865','ikbvb89','Blood_Booster[89_Grade](Bellato)'
'866','ikbvb90','Blood_Booster[90_Grade](Bellato)'
'867','ikbvb91','Blood_Booster[91_Grade](Bellato)'
'868','ikbvb92','Blood_Booster[92_Grade](Bellato)'
'869','ikbvb93','Blood_Booster[93_Grade](Bellato)'
'870','ikbvb94','Blood_Booster[94_Grade](Bellato)'
'871','ikbvb95','Blood_Booster[95_Grade](Bellato)'
'872','ikbvb96','Blood_Booster[96_Grade](Bellato)'
'873','ikbvb97','Blood_Booster[97_Grade](Bellato)'
'874','ikbvb98','Blood_Booster[98_Grade](Bellato)'
'875','ikbvb99','Blood_Booster[99_Grade](Bellato)'
'876','ikbtb00','Aiming_Booster[Standard](Bellato)'
'877','ikbtb01','Aiming_Booster[1_Grade](Bellato)'
'878','ikbtb02','Aiming_Booster[2_Grade](Bellato)'
'879','ikbtb03','Aiming_Booster[3_Grade](Bellato)'
'880','ikbtb04','Aiming_Booster[4_Grade](Bellato)'
'881','ikbtb05','Aiming_Booster[5_Grade](Bellato)'
'882','ikbtb06','Aiming_Booster[6_Grade](Bellato)'
'883','ikbtb07','Aiming_Booster[7_Grade](Bellato)'
'884','ikbtb08','Aiming_Booster[8_Grade](Bellato)'
'885','ikbtb09','Aiming_Booster[9_Grade](Bellato)'
'886','ikbtb10','Aiming_Booster[10_Grade](Bellato)'
'887','ikbtb11','Aiming_Booster[11_Grade](Bellato)'
'888','ikbtb12','Aiming_Booster[12_Grade](Bellato)'
'889','ikbtb13','Aiming_Booster[13_Grade](Bellato)'
'890','ikbtb14','Aiming_Booster[14_Grade](Bellato)'
'891','ikbtb15','Aiming_Booster[15_Grade](Bellato)'
'892','ikbtb16','Aiming_Booster[16_Grade](Bellato)'
'893','ikbtb17','Aiming_Booster[17_Grade](Bellato)'
'894','ikbtb18','Aiming_Booster[18_Grade](Bellato)'
'895','ikbtb19','Aiming_Booster[19_Grade](Bellato)'
'896','ikbtb20','Aiming_Booster[20_Grade](Bellato)'
'897','ikbtb21','Aiming_Booster[21_Grade](Bellato)'
'898','ikbtb22','Aiming_Booster[22_Grade](Bellato)'
'899','ikbtb23','Aiming_Booster[23_Grade](Bellato)'
'900','ikbtb24','Aiming_Booster[24_Grade](Bellato)'
'901','ikbtb25','Aiming_Booster[25_Grade](Bellato)'
'902','ikbtb26','Aiming_Booster[26_Grade](Bellato)'
'903','ikbtb27','Aiming_Booster[27_Grade](Bellato)'
'904','ikbtb28','Aiming_Booster[28_Grade](Bellato)'
'905','ikbtb29','Aiming_Booster[29_Grade](Bellato)'
'906','ikbtb30','Aiming_Booster[30_Grade](Bellato)'
'907','ikbtb31','Aiming_Booster[31_Grade](Bellato)'
'908','ikbtb32','Aiming_Booster[32_Grade](Bellato)'
'909','ikbtb33','Aiming_Booster[33_Grade](Bellato)'
'910','ikbtb34','Aiming_Booster[34_Grade](Bellato)'
'911','ikbtb35','Aiming_Booster[35_Grade](Bellato)'
'912','ikbtb36','Aiming_Booster[36_Grade](Bellato)'
'913','ikbtb37','Aiming_Booster[37_Grade](Bellato)'
'914','ikbtb38','Aiming_Booster[38_Grade](Bellato)'
'915','ikbtb39','Aiming_Booster[39_Grade](Bellato)'
'916','ikbtb40','Aiming_Booster[40_Grade](Bellato)'
'917','ikbtb41','Aiming_Booster[41_Grade](Bellato)'
'918','ikbtb42','Aiming_Booster[42_Grade](Bellato)'
'919','ikbtb43','Aiming_Booster[43_Grade](Bellato)'
'920','ikbtb44','Aiming_Booster[44_Grade](Bellato)'
'921','ikbtb45','Aiming_Booster[45_Grade](Bellato)'
'922','ikbtb46','Aiming_Booster[46_Grade](Bellato)'
'923','ikbtb47','Aiming_Booster[47_Grade](Bellato)'
'924','ikbtb48','Aiming_Booster[48_Grade](Bellato)'
'925','ikbtb49','Aiming_Booster[49_Grade](Bellato)'
'926','ikbtb50','Aiming_Booster[50_Grade](Bellato)'
'927','ikbtb51','Aiming_Booster[51_Grade](Bellato)'
'928','ikbtb52','Aiming_Booster[52_Grade](Bellato)'
'929','ikbtb53','Aiming_Booster[53_Grade](Bellato)'
'930','ikbtb54','Aiming_Booster[54_Grade](Bellato)'
'931','ikbtb55','Aiming_Booster[55_Grade](Bellato)'
'932','ikbtb56','Aiming_Booster[56_Grade](Bellato)'
'933','ikbtb57','Aiming_Booster[57_Grade](Bellato)'
'934','ikbtb58','Aiming_Booster[58_Grade](Bellato)'
'935','ikbtb59','Aiming_Booster[59_Grade](Bellato)'
'936','ikbtb60','Aiming_Booster[60_Grade](Bellato)'
'937','ikbtb61','Aiming_Booster[61_Grade](Bellato)'
'938','ikbtb62','Aiming_Booster[62_Grade](Bellato)'
'939','ikbtb63','Aiming_Booster[63_Grade](Bellato)'
'940','ikbtb64','Aiming_Booster[64_Grade](Bellato)'
'941','ikbtb65','Aiming_Booster[65_Grade](Bellato)'
'942','ikbtb66','Aiming_Booster[66_Grade](Bellato)'
'943','ikbtb67','Aiming_Booster[67_Grade](Bellato)'
'944','ikbtb68','Aiming_Booster[68_Grade](Bellato)'
'945','ikbtb69','Aiming_Booster[69_Grade](Bellato)'
'946','ikbtb70','Aiming_Booster[70_Grade](Bellato)'
'947','ikbtb71','Aiming_Booster[71_Grade](Bellato)'
'948','ikbtb72','Aiming_Booster[72_Grade](Bellato)'
'949','ikbtb73','Aiming_Booster[73_Grade](Bellato)'
'950','ikbtb74','Aiming_Booster[74_Grade](Bellato)'
'951','ikbtb75','Aiming_Booster[75_Grade](Bellato)'
'952','ikbtb76','Aiming_Booster[76_Grade](Bellato)'
'953','ikbtb77','Aiming_Booster[77_Grade](Bellato)'
'954','ikbtb78','Aiming_Booster[78_Grade](Bellato)'
'955','ikbtb79','Aiming_Booster[79_Grade](Bellato)'
'956','ikbtb80','Aiming_Booster[80_Grade](Bellato)'
'957','ikbtb81','Aiming_Booster[81_Grade](Bellato)'
'958','ikbtb82','Aiming_Booster[82_Grade](Bellato)'
'959','ikbtb83','Aiming_Booster[83_Grade](Bellato)'
'960','ikbtb84','Aiming_Booster[84_Grade](Bellato)'
'961','ikbtb85','Aiming_Booster[85_Grade](Bellato)'
'962','ikbtb86','Aiming_Booster[86_Grade](Bellato)'
'963','ikbtb87','Aiming_Booster[87_Grade](Bellato)'
'964','ikbtb88','Aiming_Booster[88_Grade](Bellato)'
'965','ikbtb89','Aiming_Booster[89_Grade](Bellato)'
'966','ikbtb90','Aiming_Booster[90_Grade](Bellato)'
'967','ikbtb91','Aiming_Booster[91_Grade](Bellato)'
'968','ikbtb92','Aiming_Booster[92_Grade](Bellato)'
'969','ikbtb93','Aiming_Booster[93_Grade](Bellato)'
'970','ikbtb94','Aiming_Booster[94_Grade](Bellato)'
'971','ikbtb95','Aiming_Booster[95_Grade](Bellato)'
'972','ikbtb96','Aiming_Booster[96_Grade](Bellato)'
'973','ikbtb97','Aiming_Booster[97_Grade](Bellato)'
'974','ikbtb98','Aiming_Booster[98_Grade](Bellato)'
'975','ikbtb99','Aiming_Booster[99_Grade](Bellato)'
'976','ikbhb00','Buildup_Booster[Standard](Bellato)'
'977','ikbhb01','Buildup_Booster[1st_grade](Bellato)'
'978','ikbhb02','Buildup_Booster[2nd_Grade](Bellato)'
'979','ikbhb03','Buildup_Booster[3rd_Grade](Bellato)'
'980','ikbhb04','Buildup_Booster[4th_Grade](Bellato)'
'981','ikbhb05','Buildup_Booster[5th_Grade](Bellato)'
'982','ikbhb06','Buildup_Booster[6th_Grade](Bellato)'
'983','ikbhb07','Buildup_Booster[7th_Grade](Bellato)'
'984','ikbhb08','Buildup_Booster[8th_Grade](Bellato)'
'985','ikbhb09','Buildup_Booster[9th_Grade](Bellato)'
'986','ikbhb10','Buildup_Booster[10th_Grade](Bellato)'
'987','ikbhb11','Buildup_Booster[11th_Grade](Bellato)'
'988','ikbhb12','Buildup_Booster[12th_Grade](Bellato)'
'989','ikbhb13','Buildup_Booster[13th_Grade](Bellato)'
'990','ikbhb14','Buildup_Booster[14th_Grade](Bellato)'
'991','ikbhb15','Buildup_Booster[15th_Grade](Bellato)'
'992','ikbhb16','Buildup_Booster[16th_Grade](Bellato)'
'993','ikbhb17','Buildup_Booster[17th_Grade](Bellato)'
'994','ikbhb18','Buildup_Booster[18th_Grade](Bellato)'
'995','ikbhb19','Buildup_Booster[19th_Grade](Bellato)'
'996','ikbhb20','Buildup_Booster[20th_Grade](Bellato)'
'997','ikbhb21','Buildup_Booster[21st_Grade](Bellato)'
'998','ikbhb22','Buildup_Booster[22nd_Grade](Bellato)'
'999','ikbhb23','Buildup_Booster[23rd_Grade](Bellato)'
'1000','ikbhb24','Buildup_Booster[24th_Grade](Bellato)'
'1001','ikbhb25','Buildup_Booster[25th_Grade](Bellato)'
'1002','ikbhb26','Buildup_Booster[26th_Grade](Bellato)'
'1003','ikbhb27','Buildup_Booster[27th_Grade](Bellato)'
'1004','ikbhb28','Buildup_Booster[28th_Grade](Bellato)'
'1005','ikbhb29','Buildup_Booster[29th_Grade](Bellato)'
'1006','ikbhb30','Buildup_Booster[30th_Grade](Bellato)'
'1007','ikbhb31','Buildup_Booster[31st_Grade](Bellato)'
'1008','ikbhb32','Buildup_Booster[32nd_Grade](Bellato)'
'1009','ikbhb33','Buildup_Booster[33rd_Grade](Bellato)'
'1010','ikbhb34','Buildup_Booster[34th_Grade](Bellato)'
'1011','ikbhb35','Buildup_Booster[35th_Grade](Bellato)'
'1012','ikbhb36','Buildup_Booster[36th_Grade](Bellato)'
'1013','ikbhb37','Buildup_Booster[37th_Grade](Bellato)'
'1014','ikbhb38','Buildup_Booster[38th_Grade](Bellato)'
'1015','ikbhb39','Buildup_Booster[39th_Grade](Bellato)'
'1016','ikbhb40','Buildup_Booster[40th_Grade](Bellato)'
'1017','ikbhb41','Buildup_Booster[41st_Grade](Bellato)'
'1018','ikbhb42','Buildup_Booster[42nd_Grade](Bellato)'
'1019','ikbhb43','Buildup_Booster[43rd_Grade](Bellato)'
'1020','ikbhb44','Buildup_Booster[44th_Grade](Bellato)'
'1021','ikbhb45','Buildup_Booster[45th_Grade](Bellato)'
'1022','ikbhb46','Buildup_Booster[46th_Grade](Bellato)'
'1023','ikbhb47','Buildup_Booster[47th_Grade](Bellato)'
'1024','ikbhb48','Buildup_Booster[48th_Grade](Bellato)'
'1025','ikbhb49','Buildup_Booster[49th_Grade](Bellato)'
'1026','ikbhb50','Buildup_Booster[50th_Grade](Bellato)'
'1027','ikbhb51','Buildup_Booster[51st_Grade](Bellato)'
'1028','ikbhb52','Buildup_Booster[52nd_Grade](Bellato)'
'1029','ikbhb53','Buildup_Booster[53rd_Grade](Bellato)'
'1030','ikbhb54','Buildup_Booster[54th_Grade](Bellato)'
'1031','ikbhb55','Buildup_Booster[55th_Grade](Bellato)'
'1032','ikbhb56','Buildup_Booster[56th_Grade](Bellato)'
'1033','ikbhb57','Buildup_Booster[57th_Grade](Bellato)'
'1034','ikbhb58','Buildup_Booster[58th_Grade](Bellato)'
'1035','ikbhb59','Buildup_Booster[59th_Grade](Bellato)'
'1036','ikbhb60','Buildup_Booster[60th_Grade](Bellato)'
'1037','ikbhb61','Buildup_Booster[61st_Grade](Bellato)'
'1038','ikbhb62','Buidup_Booster[62nd_Grade](Bellato)'
'1039','ikbhb63','Buildup_Booster[63rd_Grade](Bellato)'
'1040','ikbhb64','Buildup_Booster[64th_Grade](Bellato)'
'1041','ikbhb65','Buildup_Booster[65th_Grade](Bellato)'
'1042','ikbhb66','Buildup_Booster[66th_Grade](Bellato)'
'1043','ikbhb67','Buildup_Booster[67th_Grade](Bellato)'
'1044','ikbhb68','Buildup_Booster[68th_Grade](Bellato)'
'1045','ikbhb69','Buildup_Booster[69th_Grade](Bellato)'
'1046','ikbhb70','Buildup_Booster[70th_Grade](Bellato)'
'1047','ikbhb71','Buildup_Booster[71st_Grade](Bellato)'
'1048','ikbhb72','Buildup_Booster[72nd_Grade](Bellato)'
'1049','ikbhb73','Buildup_Booster(73rd_Grade](Bellato)'
'1050','ikbhb74','Buildup_Booster(74th_Grade](Bellato)'
'1051','ikbhb75','Buildup_Booster(75th_Grade](Bellato)'
'1052','ikbhb76','Buildup_Booster(76th_Grade](Bellato)'
'1053','ikbhb77','Buildup_Booster(77th_Grade](Bellato)'
'1054','ikbhb78','Buildup_Booster(78th_Grade](Bellato)'
'1055','ikbhb79','Buildup_Booster(79th_Grade](Bellato)'
'1056','ikbhb80','Buildup_Booster(80th_Grade](Bellato)'
'1057','ikbhb81','Buildup_Booster[81st_Grade](Bellato)'
'1058','ikbhb82','Buildup_Booster[82nd_Grade](Bellato)'
'1059','ikbhb83','Buildup_Booster[83rd_Grade](Bellato)'
'1060','ikbhb84','Buildup_Booster[84th_Grade](Bellato)'
'1061','ikbhb85','Buildup_Booster[85th_Grade](Bellato)'
'1062','ikbhb86','Buildup_Booster[86th_Grade](Bellato)'
'1063','ikbhb87','Buildup_Booster[87th_Grade](Bellato)'
'1064','ikbhb88','Buildup_Booster[88th_Grade](Bellato)'
'1065','ikbhb89','Buildup_Booster[89th_Grade](Bellato)'
'1066','ikbhb90','Buildup_Booster[90th_Grade](Bellato)'
'1067','ikbhb91','Buildup_Booster[91st_Grade](Bellato)'
'1068','ikbhb92','Buildup_Booster[92nd_Grade](Bellato)'
'1069','ikbhb93','Buildup_Booster[93rd_Grade](Bellato)'
'1070','ikbhb94','Buildup_Booster[94th_Grade](Bellato)'
'1071','ikbhb95','Buildup_Booster[95th_Grade](Bellato)'
'1072','ikbhb96','Buildup_Booster[96th_Grade](Bellato)'
'1073','ikbhb97','Buildup_Booster[97th_Grade](Bellato)'
'1074','ikbhb98','Buildup_Booster[98th_Grade](Bellato)'
'1075','ikbhb99','Buildup_Booster[99th_Grade](Bellato)'
'1076','ikbfb00','Anti-Curse_Booster_[Standard](Bellato)'
'1077','ikbfb01','Anti-Curse_Booster_[1_Grade](Bellato)'
'1078','ikbfb02','Anti-Curse_Booster_[2_Grade](Bellato)'
'1079','ikbfb03','Anti-Curse_Booster_[3_Grade](Bellato)'
'1080','ikbfb04','Anti-Curse_Booster_[4_Grade](Bellato)'
'1081','ikbfb05','Anti-Curse_Booster_[5_Grade](Bellato)'
'1082','ikbfb06','Anti-Curse_Booster_[6_Grade](Bellato)'
'1083','ikbfb07','Anti-Curse_Booster_[7_Grade](Bellato)'
'1084','ikbfb08','Anti-Curse_Booster_[8_Grade](Bellato)'
'1085','ikbfb09','Anti-Curse_Booster_[9_Grade](Bellato)'
'1086','ikbfb10','Anti-Curse_Booster_[10_Grade](Bellato)'
'1087','ikbfb11','Anti-Curse_Booster_[11_Grade](Bellato)'
'1088','ikbfb12','Anti-Curse_Booster_[12_Grade](Bellato)'
'1089','ikbfb13','Anti-Curse_Booster_[13_Grade](Bellato)'
'1090','ikbfb14','Anti-Curse_Booster_[14_Grade](Bellato)'
'1091','ikbfb15','Anti-Curse_Booster_[15_Grade](Bellato)'
'1092','ikbfb16','Anti-Curse_Booster_[16_Grade](Bellato)'
'1093','ikbfb17','Anti-Curse_Booster_[17_Grade](Bellato)'
'1094','ikbfb18','Anti-Curse_Booster_[18_Grade](Bellato)'
'1095','ikbfb19','Anti-Curse_Booster_[19_Grade](Bellato)'
'1096','ikbfb20','Anti-Curse_Booster_[20_Grade](Bellato)'
'1097','ikbfb21','Anti-Curse_Booster_[21_Grade](Bellato)'
'1098','ikbfb22','Anti-Curse_Booster_[22_Grade](Bellato)'
'1099','ikbfb23','Anti-Curse_Booster_[23_Grade](Bellato)'
'1100','ikbfb24','Anti-Curse_Booster_[24_Grade](Bellato)'
'1101','ikbfb25','Anti-Curse_Booster_[25_Grade](Bellato)'
'1102','ikbfb26','Anti-Curse_Booster_[26_Grade](Bellato)'
'1103','ikbfb27','Anti-Curse_Booster_[27_Grade](Bellato)'
'1104','ikbfb28','Anti-Curse_Booster_[28_Grade](Bellato)'
'1105','ikbfb29','Anti-Curse_Booster_[29_Grade](Bellato)'
'1106','ikbfb30','Anti-Curse_Booster_[30_Grade](Bellato)'
'1107','ikbfb31','Anti-Curse_Booster_[31_Grade](Bellato)'
'1108','ikbfb32','Anti-Curse_Booster_[32_Grade](Bellato)'
'1109','ikbfb33','Anti-Curse_Booster_[33_Grade](Bellato)'
'1110','ikbfb34','Anti-Curse_Booster_[34_Grade](Bellato)'
'1111','ikbfb35','Anti-Curse_Booster_[35_Grade](Bellato)'
'1112','ikbfb36','Anti-Curse_Booster_[36_Grade](Bellato)'
'1113','ikbfb37','Anti-Curse_Booster_[37_Grade](Bellato)'
'1114','ikbfb38','Anti-Curse_Booster_[38_Grade](Bellato)'
'1115','ikbfb39','Anti-Curse_Booster_[39_Grade](Bellato)'
'1116','ikbfb40','Anti-Curse_Booster_[40_Grade](Bellato)'
'1117','ikbfb41','Anti-Curse_Booster_[41_Grade](Bellato)'
'1118','ikbfb42','Anti-Curse_Booster_[42_Grade](Bellato)'
'1119','ikbfb43','Anti-Curse_Booster_[43_Grade](Bellato)'
'1120','ikbfb44','Anti-Curse_Booster_[44_Grade](Bellato)'
'1121','ikbfb45','Anti-Curse_Booster_[45_Grade](Bellato)'
'1122','ikbfb46','Anti-Curse_Booster_[46_Grade](Bellato)'
