'0','idbca04','Round_Shield'
'667','idahh50','Protection_Platium_Protector'
'668','idahi50','Vampire_Platium_Protector'
'669','idahj50','Guardian_Platium_Protector'
'670','idahk50','Sharp_Platium_Protector'
'671','idahl50','Grand_Platium_Protector'
'672','idata50','Advanced_Strength_Intense_Platinum_Protector(C)'
'673','idatb50','Saving_Intense_Platinum_Protector(C)'
'674','idatc50','Fine_Intense_Platinum_Protector(C)'
'675','idatd50','Anti-Sharp_Intense_Platinum_Protector(C)'
'676','idate50','Strong_Intense_Platinum_Protector(C)'
'677','idatf50','Solid_Intense_Platinum_Protector(C)'
'678','idatg50','Strength_Intense_Platinum_Protector(C)'
'679','idath50','Protection_Intense_Platinum_Protector(C)'
'680','idati50','Vampire_Intense_Platinum_Protector(C)'
'681','idatj50','Guardian_Intense_Platinum_Protector(C)'
'682','idatk50','Sharp_Intense_Platinum_Protector(C)'
'683','idatl50','Grand_Intense_Platinum_Protector(C)'
'684','idata47','Advanced_Strength_Intense_Thick_Protector(C)'
'685','idatb47','Saving_Intense_Thick_Protector(C)'
'686','idatc47','Fine_Intense_Thick_Protector(C)'
'687','idatd47','Anti-Sharp_Intense_Thick_Protector(C)'
'688','idate47','Strong_Intense_Thick_Protector(C)'
'689','idatf47','Solid_Intense_Thick_Protector(C)'
'690','idatg47','Strength_Intense_Thick_Protector(C)'
'691','idath47','Protection_Intense_Thick_Protector(C)'
'692','idati47','Vampire_Intense_Thick_Protector(C)'
'693','idatj47','Guardian_Intense_Thick_Protector(C)'
'694','idatk47','Sharp_Intense_Thick_Protector(C)'
'695','idatl47','Grand_Intense_Thick_Protector(C)'
'696','idata45','Advanced_Strength_Intense_Golden_Protector(C)'
'697','idatb45','Saving_Intense_Golden_Protector(C)'
'698','idatc45','Fine_Intense_Golden_Protector(C)'
'699','idatd45','Anti-Sharp_Intense_Golden_Protector(C)'
'700','idate45','Strong_Intense_Golden_Protector(C)'
'701','idatf45','Solid_Intense_Golden_Protector(C)'
'702','idatg45','Strength_Intense_Golden_Protector(C)'
'703','idath45','Protection_Intense_Golden_Protector(C)'
'704','idati45','Vampire_Intense_Golden_Protector(C)'
'705','idatj45','Guardian_Intense_Golden_Protector(C)'
'706','idatk45','Sharp_Intense_Golden_Protector(C)'
'707','idatl45','Grand_Intense_Golden_Protector(C)'
'708','idata43','Advanced_Strength_Intense_Beam_Round_Protector(C)'
'709','idatb43','Saving_Intense_Beam_Round_Protector(C)'
'710','idatc43','Fine_Intense_Beam_Round_Protector(C)'
'711','idatd43','Anti-Sharp_Intense_Beam_Round_Protector(C)'
'712','idate43','Strong_Intense_Beam_Round_Protector(C)'
'713','idatf43','Solid_Intense_Beam_Round_Protector(C)'
'714','idatg43','Strength_Intense_Beam_Round_Protector(C)'
'715','idath43','Protection_Intense_Beam_Round_Protector(C)'
'716','idati43','Vampire_Intense_Beam_Round_Protector(C)'
'717','idatj43','Guardian_Intense_Beam_Round_Protector(C)'
'718','idatk43','Sharp_Intense_Beam_Round_Protector(C)'
'719','idatl43','Grand_Intense_Beam_Round_Protector(C)'
'720','idata41','Advanced_Strength_Intense_Beam_Cross_Protector(C)'
'721','idatb41','Saving_Intense_Beam_Cross_Protector(C)'
'722','idatc41','Fine_Intense_Beam_Cross_Protector(C)'
'723','idatd41','Anti-Sharp_Intense_Beam_Cross_Protector(C)'
'724','idate41','Strong_Intense_Beam_Cross_Protector(C)'
'725','idatf41','Solid_Intense_Beam_Cross_Protector(C)'
'726','idatg41','Strength_Intense_Beam_Cross_Protector(C)'
'727','idath41','Protection_Intense_Beam_Cross_Protector(C)'
'728','idati41','Vampire_Intense_Beam_Cross_Protector(C)'
'729','idatj41','Guardian_Intense_Beam_Cross_Protector(C)'
'730','idatk41','Sharp_Intense_Beam_Cross_Protector(C)'
'731','idatl41','Grand_Intense_Beam_Cross_Protector(C)'
'732','idata39','Advanced_Strength_Intense_Round_Protector(C)'
'733','idatb39','Saving_Intense_Round_Protector(C)'
'734','idatc39','Fine_Intense_Round_Protector(C)'
'735','idatd39','Anti-Sharp_Intense_Round_Protector(C)'
'736','idate39','Strong_Intense_Round_Protector(C)'
'737','idatf39','Solid_Intense_Round_Protector(C)'
'738','idatg39','Strength_Intense_Round_Protector(C)'
'739','idath39','Protection_Intense_Round_Protector(C)'
'740','idati39','Vampire_Intense_Round_Protector(C)'
'741','idatj39','Guardian_Intense_Round_Protector(C)'
'742','idatk39','Sharp_Intense_Round_Protector(C)'
'743','idatl39','Grand_Intense_Round_Protector(C)'
'744','idbta50','Advanced_Strength_Intense_Hora_Shield(C)'
'745','idbtb50','Saving_Intense_Hora_Shield(C)'
'746','idbtc50','Fine_Intense_Hora_Shield(C)'
'747','idbtd50','Anti-Sharp_Intense_Hora_Shield(C)'
'748','idbte50','Strong_Intense_Hora_Shield(C)'
'749','idbtf50','Solid_Intense_Hora_Shield(C)'
'750','idbtg50','Strength_Intense_Hora_Shield(C)'
'751','idbth50','Protection_Intense_Hora_Shield(C)'
'752','idbti50','Vampire_Intense_Hora_Shield(C)'
'753','idbtj50','Guardian_Intense_Hora_Shield(C)'
'754','idbtk50','Sharp_Intense_Hora_Shield(C)'
'755','idbtl50','Grand_Intense_Hora_Shield(C)'
'756','idbta47','Advanced_Strength_Intense_Heater_Shield(C)'
'757','idbtb47','Saving_Intense_Heater_Shield(C)'
'758','idbtc47','Fine_Intense_Heater_Shield(C)'
'759','idbtd47','Anti-Sharp_Intense_Heater_Shield(C)'
'760','idbte47','Strong_Intense_Heater_Shield(C)'
'761','idbtf47','Solid_Intense_Heater_Shield(C)'
'762','idbtg47','Strength_Intense_Heater_Shield(C)'
'763','idbth47','Protection_Intense_Heater_Shield(C)'
'764','idbti47','Vampire_Intense_Heater_Shield(C)'
'765','idbtj47','Guardian_Intense_Heater_Shield(C)'
'766','idbtk47','Sharp_Intense_Heater_Shield(C)'
'767','idbtl47','Grand_Intense_Heater_Shield(C)'
'768','idbta45','Advanced_Strength_Beam_Farvis_Shield(C)'
'769','idbtb45','Saving_Beam_Farvis_Shield(C)'
'770','idbtc45','Fine_Beam_Farvis_Shield(C)'
'771','idbtd45','Anti-Sharp_Beam_Farvis_Shield(C)'
'772','idbte45','Strong_Beam_Farvis_Shield(C)'
'773','idbtf45','Solid_Beam_Farvis_Shield(C)'
'774','idbtg45','Strength_Beam_Farvis_Shield(C)'
'775','idbth45','Protection_Beam_Farvis_Shield(C)'
'776','idbti45','Vampire_Beam_Farvis_Shield(C)'
'777','idbtj45','Guardian_Beam_Farvis_Shield(C)'
'778','idbtk45','Sharp_Beam_Farvis_Shield(C)'
'779','idbtl45','Grand_Beam_Farvis_Shield(C)'
'780','idbta43','Advanced_Strength_Intense_Adarga(C)'
'781','idbtb43','Saving_Intense_Adarga(C)'
'782','idbtc43','Fine_Intense_Adarga(C)'
'783','idbtd43','Anti-Sharp_Intense_Adarga(C)'
'784','idbte43','Strong_Intense_Adarga(C)'
'785','idbtf43','Solid_Intense_Adarga(C)'
'786','idbtg43','Strength_Intense_Adarga(C)'
'787','idbth43','Protection_Intense_Adarga(C)'
'788','idbti43','Vampire_Intense_Adarga(C)'
'789','idbtj43','Guardian_Intense_Adarga(C)'
'790','idbtk43','Sharp_Intense_Adarga(C)'
'791','idbtl43','Grand_Intense_Adarga(C)'
'792','idbta41','Advanced_Strength_Intense_Farvis_Shield(C)'
'793','idbtb41','Saving_Intense_Farvis_Shield(C)'
'794','idbtc41','Fine_Intense_Farvis_Shield(C)'
'795','idbtd41','Anti-Sharp_Intense_Farvis_Shield(C)'
'796','idbte41','Strong_Intense_Farvis_Shield(C)'
'797','idbtf41','Solid_Intense_Farvis_Shield(C)'
'798','idbtg41','Strength_Intense_Farvis_Shield(C)'
'799','idbth41','Protection_Intense_Farvis_Shield(C)'
'800','idbti41','Vampire_Intense_Farvis_Shield(C)'
'801','idbtj41','Guardian_Intense_Farvis_Shield(C)'
'802','idbtk41','Sharp_Intense_Farvis_Shield(C)'
'803','idbtl41','Grand_Intense_Farvis_Shield(C)'
'804','idbta39','Advanced_Strength_Intense_Gothic_Shield(C)'
'805','idbtb39','Saving_Intense_Gothic_Shield(C)'
'806','idbtc39','Fine_Intense_Gothic_Shield(C)'
'807','idbtd39','Anti-Sharp_Intense_Gothic_Shield(C)'
'808','idbte39','Strong_Intense_Gothic_Shield(C)'
'809','idbtf39','Solid_Intense_Gothic_Shield(C)'
'810','idbtg39','Strength_Intense_Gothic_Shield(C)'
'811','idbth39','Protection_Intense_Gothic_Shield(C)'
'812','idbti39','Vampire_Intense_Gothic_Shield(C)'
'813','idbtj39','Guardian_Intense_Gothic_Shield(C)'
'814','idbtk39','Sharp_Intense_Gothic_Shield(C)'
'815','idbtl39','Grand_Intense_Gothic_Shield(C)'
'816','idaua50','Advanced_Strength_Intense_Platinum_Protector(C)'
'817','idaub50','Saving_Intense_Platinum_Protector(C)'
'818','idauc50','Fine_Intense_Platinum_Protector(C)'
'819','idaud50','Anti-Sharp_Intense_Platinum_Protector(C)'
'820','idaue50','Strong_Intense_Platinum_Protector(C)'
'821','idauf50','Solid_Intense_Platinum_Protector(C)'
'822','idaug50','Strength_Intense_Platinum_Protector(C)'
'823','idauh50','Protection_Intense_Platinum_Protector(C)'
'824','idaui50','Vampire_Intense_Platinum_Protector(C)'
'825','idauj50','Guardian_Intense_Platinum_Protector(C)'
'826','idauk50','Sharp_Intense_Platinum_Protector(C)'
'827','idaul50','Grand_Intense_Platinum_Protector(C)'
'828','idaua47','Advanced_Strength_Intense_Thick_Protector(C)'
'829','idaub47','Saving_Intense_Thick_Protector(C)'
'830','idauc47','Fine_Intense_Thick_Protector(C)'
'831','idaud47','Anti-Sharp_Intense_Thick_Protector(C)'
'832','idaue47','Strong_Intense_Thick_Protector(C)'
'833','idauf47','Solid_Intense_Thick_Protector(C)'
'834','idaug47','Strength_Intense_Thick_Protector(C)'
'835','idauh47','Protection_Intense_Thick_Protector(C)'
'836','idaui47','Vampire_Intense_Thick_Protector(C)'
'837','idauj47','Guardian_Intense_Thick_Protector(C)'
'838','idauk47','Sharp_Intense_Thick_Protector(C)'
'839','idaul47','Grand_Intense_Thick_Protector(C)'
'840','idaua45','Advanced_Strength_Intense_Golden_Protector(C)'
'841','idaub45','Saving_Intense_Golden_Protector(C)'
'842','idauc45','Fine_Intense_Golden_Protector(C)'
'843','idaud45','Anti-Sharp_Intense_Golden_Protector(C)'
'844','idaue45','Strong_Intense_Golden_Protector(C)'
'845','idauf45','Solid_Intense_Golden_Protector(C)'
'846','idaug45','Strength_Intense_Golden_Protector(C)'
'847','idauh45','Protection_Intense_Golden_Protector(C)'
'848','idaui45','Vampire_Intense_Golden_Protector(C)'
'849','idauj45','Guardian_Intense_Golden_Protector(C)'
'850','idauk45','Sharp_Intense_Golden_Protector(C)'
'851','idaul45','Grand_Intense_Golden_Protector(C)'
'852','idaua43','Advanced_Strength_Intense_Beam_Round_Protector(C)'
'853','idaub43','Saving_Intense_Beam_Round_Protector(C)'
'854','idauc43','Fine_Intense_Beam_Round_Protector(C)'
'855','idaud43','Anti-Sharp_Intense_Beam_Round_Protector(C)'
'856','idaue43','Strong_Intense_Beam_Round_Protector(C)'
'857','idauf43','Solid_Intense_Beam_Round_Protector(C)'
'858','idaug43','Strength_Intense_Beam_Round_Protector(C)'
'859','idauh43','Protection_Intense_Beam_Round_Protector(C)'
'860','idaui43','Vampire_Intense_Beam_Round_Protector(C)'
'861','idauj43','Guardian_Intense_Beam_Round_Protector(C)'
'862','idauk43','Sharp_Intense_Beam_Round_Protector(C)'
'863','idaul43','Grand_Intense_Beam_Round_Protector(C)'
'864','idaua41','Advanced_Strength_Intense_Beam_Cross_Protector(C)'
'865','idaub41','Saving_Intense_Beam_Cross_Protector(C)'
'866','idauc41','Fine_Intense_Beam_Cross_Protector(C)'
'867','idaud41','Anti-Sharp_Intense_Beam_Cross_Protector(C)'
'868','idaue41','Strong_Intense_Beam_Cross_Protector(C)'
'869','idauf41','Solid_Intense_Beam_Cross_Protector(C)'
'870','idaug41','Strength_Intense_Beam_Cross_Protector(C)'
'871','idauh41','Protection_Intense_Beam_Cross_Protector(C)'
'872','idaui41','Vampire_Intense_Beam_Cross_Protector(C)'
'873','idauj41','Guardian_Intense_Beam_Cross_Protector(C)'
'874','idauk41','Sharp_Intense_Beam_Cross_Protector(C)'
'875','idaul41','Grand_Intense_Beam_Cross_Protector(C)'
'876','idaua39','Advanced_Strength_Intense_Round_Protector(C)'
'877','idaub39','Saving_Intense_Round_Protector(C)'
'878','idauc39','Fine_Intense_Round_Protector(C)'
'879','idaud39','Anti-Sharp_Intense_Round_Protector(C)'
'880','idaue39','Strong_Intense_Round_Protector(C)'
'881','idauf39','Solid_Intense_Round_Protector(C)'
'882','idaug39','Strength_Intense_Round_Protector(C)'
'883','idauh39','Protection_Intense_Round_Protector(C)'
'884','idaui39','Vampire_Intense_Round_Protector(C)'
'885','idauj39','Guardian_Intense_Round_Protector(C)'
'886','idauk39','Sharp_Intense_Round_Protector(C)'
'887','idaul39','Grand_Intense_Round_Protector(C)'
'888','idbua50','Advanced_Strength_Intense_Hora_Shield(C)'
'889','idbub50','Saving_Intense_Hora_Shield(C)'
'890','idbuc50','Fine_Intense_Hora_Shield(C)'
'891','idbud50','Anti-Sharp_Intense_Hora_Shield(C)'
'892','idbue50','Strong_Intense_Hora_Shield(C)'
'893','idbuf50','Solid_Intense_Hora_Shield(C)'
'894','idbug50','Strength_Intense_Hora_Shield(C)'
'895','idbuh50','Protection_Intense_Hora_Shield(C)'
'896','idbui50','Vampire_Intense_Hora_Shield(C)'
'897','idbuj50','Guardian_Intense_Hora_Shield(C)'
'898','idbuk50','Sharp_Intense_Hora_Shield(C)'
'899','idbul50','Grand_Intense_Hora_Shield(C)'
'900','idbua47','Advanced_Strength_Intense_Heater_Shield(C)'
'901','idbub47','Saving_Intense_Heater_Shield(C)'
'902','idbuc47','Fine_Intense_Heater_Shield(C)'
'903','idbud47','Anti-Sharp_Intense_Heater_Shield(C)'
'904','idbue47','Strong_Intense_Heater_Shield(C)'
'905','idbuf47','Solid_Intense_Heater_Shield(C)'
'906','idbug47','Strength_Intense_Heater_Shield(C)'
'907','idbuh47','Protection_Intense_Heater_Shield(C)'
'908','idbui47','Vampire_Intense_Heater_Shield(C)'
'909','idbuj47','Guardian_Intense_Heater_Shield(C)'
'910','idbuk47','Sharp_Intense_Heater_Shield(C)'
'911','idbul47','Grand_Intense_Heater_Shield(C)'
'912','idbua45','Advanced_Strength_Beam_Farvis_Shield(C)'
'913','idbub45','Saving_Beam_Farvis_Shield(C)'
'914','idbuc45','Fine_Beam_Farvis_Shield(C)'
'915','idbud45','Anti-Sharp_Beam_Farvis_Shield(C)'
'916','idbue45','Strong_Beam_Farvis_Shield(C)'
'917','idbuf45','Solid_Beam_Farvis_Shield(C)'
'918','idbug45','Strength_Beam_Farvis_Shield(C)'
'919','idbuh45','Protection_Beam_Farvis_Shield(C)'
'920','idbui45','Vampire_Beam_Farvis_Shield(C)'
'921','idbuj45','Guardian_Beam_Farvis_Shield(C)'
'922','idbuk45','Sharp_Beam_Farvis_Shield(C)'
'923','idbul45','Grand_Beam_Farvis_Shield(C)'
'924','idbua43','Advanced_Strength_Intense_Adarga(C)'
'925','idbub43','Saving_Intense_Adarga(C)'
'926','idbuc43','Fine_Intense_Adarga(C)'
'927','idbud43','Anti-Sharp_Intense_Adarga(C)'
'928','idbue43','Strong_Intense_Adarga(C)'
'929','idbuf43','Solid_Intense_Adarga(C)'
'930','idbug43','Strength_Intense_Adarga(C)'
'931','idbuh43','Protection_Intense_Adarga(C)'
'932','idbui43','Vampire_Intense_Adarga(C)'
'933','idbuj43','Guardian_Intense_Adarga(C)'
'934','idbuk43','Sharp_Intense_Adarga(C)'
'935','idbul43','Grand_Intense_Adarga(C)'
'936','idbua41','Advanced_Strength_Intense_Farvis_Shield(C)'
'937','idbub41','Saving_Intense_Farvis_Shield(C)'
'938','idbuc41','Fine_Intense_Farvis_Shield(C)'
'939','idbud41','Anti-Sharp_Intense_Farvis_Shield(C)'
'940','idbue41','Strong_Intense_Farvis_Shield(C)'
'941','idbuf41','Solid_Intense_Farvis_Shield(C)'
'942','idbug41','Strength_Intense_Farvis_Shield(C)'
'943','idbuh41','Protection_Intense_Farvis_Shield(C)'
'944','idbui41','Vampire_Intense_Farvis_Shield(C)'
'945','idbuj41','Guardian_Intense_Farvis_Shield(C)'
'946','idbuk41','Sharp_Intense_Farvis_Shield(C)'
'947','idbul41','Grand_Intense_Farvis_Shield(C)'
'948','idbua39','Advanced_Strength_Intense_Gothic_Shield(C)'
'949','idbub39','Saving_Intense_Gothic_Shield(C)'
'950','idbuc39','Fine_Intense_Gothic_Shield(C)'
'951','idbud39','Anti-Sharp_Intense_Gothic_Shield(C)'
'952','idbue39','Strong_Intense_Gothic_Shield(C)'
'953','idbuf39','Solid_Intense_Gothic_Shield(C)'
'954','idbug39','Strength_Intense_Gothic_Shield(C)'
'955','idbuh39','Protection_Intense_Gothic_Shield(C)'
'956','idbui39','Vampire_Intense_Gothic_Shield(C)'
'957','idbuj39','Guardian_Intense_Gothic_Shield(C)'
'958','idbuk39','Sharp_Intense_Gothic_Shield(C)'
'959','idbul39','Grand_Intense_Gothic_Shield(C)'
'960','idava50','Advanced_Strength_Intense_Platinum_Protector(C)'
'961','idavb50','Saving_Intense_Platinum_Protector(C)'
'962','idavc50','Fine_Intense_Platinum_Protector(C)'
'963','idavd50','Anti-Sharp_Intense_Platinum_Protector(C)'
'964','idave50','Strong_Intense_Platinum_Protector(C)'
'965','idavf50','Solid_Intense_Platinum_Protector(C)'
'966','idavg50','Strength_Intense_Platinum_Protector(C)'
'967','idavh50','Protection_Intense_Platinum_Protector(C)'
'968','idavi50','Vampire_Intense_Platinum_Protector(C)'
'969','idavj50','Guardian_Intense_Platinum_Protector(C)'
'970','idavk50','Sharp_Intense_Platinum_Protector(C)'
'971','idavl50','Grand_Intense_Platinum_Protector(C)'
'972','idava47','Advanced_Strength_Intense_Thick_Protector(C)'
'973','idavb47','Saving_Intense_Thick_Protector(C)'
'974','idavc47','Fine_Intense_Thick_Protector(C)'
'975','idavd47','Anti-Sharp_Intense_Thick_Protector(C)'
'976','idave47','Strong_Intense_Thick_Protector(C)'
'977','idavf47','Solid_Intense_Thick_Protector(C)'
'978','idavg47','Strength_Intense_Thick_Protector(C)'
'979','idavh47','Protection_Intense_Thick_Protector(C)'
'980','idavi47','Vampire_Intense_Thick_Protector(C)'
'981','idavj47','Guardian_Intense_Thick_Protector(C)'
'982','idavk47','Sharp_Intense_Thick_Protector(C)'
'983','idavl47','Grand_Intense_Thick_Protector(C)'
'984','idava45','Advanced_Strength_Intense_Golden_Protector(C)'
'985','idavb45','Saving_Intense_Golden_Protector(C)'
'986','idavc45','Fine_Intense_Golden_Protector(C)'
'987','idavd45','Anti-Sharp_Intense_Golden_Protector(C)'
'988','idave45','Strong_Intense_Golden_Protector(C)'
'989','idavf45','Solid_Intense_Golden_Protector(C)'
'990','idavg45','Strength_Intense_Golden_Protector(C)'
'991','idavh45','Protection_Intense_Golden_Protector(C)'
'992','idavi45','Vampire_Intense_Golden_Protector(C)'
'993','idavj45','Guardian_Intense_Golden_Protector(C)'
'994','idavk45','Sharp_Intense_Golden_Protector(C)'
'995','idavl45','Grand_Intense_Golden_Protector(C)'
'996','idava43','Advanced_Strength_Intense_Beam_Round_Protector(C)'
'997','idavb43','Saving_Intense_Beam_Round_Protector(C)'
'998','idavc43','Fine_Intense_Beam_Round_Protector(C)'
'999','idavd43','Anti-Sharp_Intense_Beam_Round_Protector(C)'
'1000','idave43','Strong_Intense_Beam_Round_Protector(C)'
'1001','idavf43','Solid_Intense_Beam_Round_Protector(C)'
'1002','idavg43','Strength_Intense_Beam_Round_Protector(C)'
'1003','idavh43','Protection_Intense_Beam_Round_Protector(C)'
'1004','idavi43','Vampire_Intense_Beam_Round_Protector(C)'
'1005','idavj43','Guardian_Intense_Beam_Round_Protector(C)'
'1006','idavk43','Sharp_Intense_Beam_Round_Protector(C)'
'1007','idavl43','Grand_Intense_Beam_Round_Protector(C)'
'1008','idava41','Advanced_Strength_Intense_Beam_Cross_Protector(C)'
'1009','idavb41','Saving_Intense_Beam_Cross_Protector(C)'
'1010','idavc41','Fine_Intense_Beam_Cross_Protector(C)'
'1011','idavd41','Anti-Sharp_Intense_Beam_Cross_Protector(C)'
'1012','idave41','Strong_Intense_Beam_Cross_Protector(C)'
'1013','idavf41','Solid_Intense_Beam_Cross_Protector(C)'
'1014','idavg41','Strength_Intense_Beam_Cross_Protector(C)'
'1015','idavh41','Protection_Intense_Beam_Cross_Protector(C)'
'1016','idavi41','Vampire_Intense_Beam_Cross_Protector(C)'
'1017','idavj41','Guardian_Intense_Beam_Cross_Protector(C)'
'1018','idavk41','Sharp_Intense_Beam_Cross_Protector(C)'
'1019','idavl41','Grand_Intense_Beam_Cross_Protector(C)'
'1020','idava39','Advanced_Strength_Intense_Round_Protector(C)'
'1021','idavb39','Saving_Intense_Round_Protector(C)'
'1022','idavc39','Fine_Intense_Round_Protector(C)'
'1023','idavd39','Anti-Sharp_Intense_Round_Protector(C)'
'1024','idave39','Strong_Intense_Round_Protector(C)'
'1025','idavf39','Solid_Intense_Round_Protector(C)'
'1026','idavg39','Strength_Intense_Round_Protector(C)'
'1027','idavh39','Protection_Intense_Round_Protector(C)'
'1028','idavi39','Vampire_Intense_Round_Protector(C)'
'1029','idavj39','Guardian_Intense_Round_Protector(C)'
'1030','idavk39','Sharp_Intense_Round_Protector(C)'
'1031','idavl39','Grand_Intense_Round_Protector(C)'
'1032','idbva50','Advanced_Strength_Intense_Hora_Shield(C)'
'1033','idbvb50','Saving_Intense_Hora_Shield(C)'
'1034','idbvc50','Fine_Intense_Hora_Shield(C)'
'1035','idbvd50','Anti-Sharp_Intense_Hora_Shield(C)'
'1036','idbve50','Strong_Intense_Hora_Shield(C)'
'1037','idbvf50','Solid_Intense_Hora_Shield(C)'
'1038','idbvg50','Strength_Intense_Hora_Shield(C)'
'1039','idbvh50','Protection_Intense_Hora_Shield(C)'
'1040','idbvi50','Vampire_Intense_Hora_Shield(C)'
'1041','idbvj50','Guardian_Intense_Hora_Shield(C)'
'1042','idbvk50','Sharp_Intense_Hora_Shield(C)'
'1043','idbvl50','Grand_Intense_Hora_Shield(C)'
'1044','idbva47','Advanced_Strength_Intense_Heater_Shield(C)'
'1045','idbvb47','Saving_Intense_Heater_Shield(C)'
'1046','idbvc47','Fine_Intense_Heater_Shield(C)'
'1047','idbvd47','Anti-Sharp_Intense_Heater_Shield(C)'
'1048','idbve47','Strong_Intense_Heater_Shield(C)'
'1049','idbvf47','Solid_Intense_Heater_Shield(C)'
'1050','idbvg47','Strength_Intense_Heater_Shield(C)'
'1051','idbvh47','Protection_Intense_Heater_Shield(C)'
'1052','idbvi47','Vampire_Intense_Heater_Shield(C)'
'1053','idbvj47','Guardian_Intense_Heater_Shield(C)'
'1054','idbvk47','Sharp_Intense_Heater_Shield(C)'
'1055','idbvl47','Grand_Intense_Heater_Shield(C)'
'1056','idbva45','Advanced_Strength_Beam_Farvis_Shield(C)'
'1057','idbvb45','Saving_Beam_Farvis_Shield(C)'
'1058','idbvc45','Fine_Beam_Farvis_Shield(C)'
'1059','idbvd45','Anti-Sharp_Beam_Farvis_Shield(C)'
'1060','idbve45','Strong_Beam_Farvis_Shield(C)'
'1061','idbvf45','Solid_Beam_Farvis_Shield(C)'
'1062','idbvg45','Strength_Beam_Farvis_Shield(C)'
'1063','idbvh45','Protection_Beam_Farvis_Shield(C)'
'1064','idbvi45','Vampire_Beam_Farvis_Shield(C)'
'1065','idbvj45','Guardian_Beam_Farvis_Shield(C)'
'1066','idbvk45','Sharp_Beam_Farvis_Shield(C)'
'1067','idbvl45','Grand_Beam_Farvis_Shield(C)'
'1068','idbva43','Advanced_Strength_Intense_Adarga(C)'
'1069','idbvb43','Saving_Intense_Adarga(C)'
'1070','idbvc43','Fine_Intense_Adarga(C)'
'1071','idbvd43','Anti-Sharp_Intense_Adarga(C)'
'1072','idbve43','Strong_Intense_Adarga(C)'
'1073','idbvf43','Solid_Intense_Adarga(C)'
'1074','idbvg43','Strength_Intense_Adarga(C)'
'1075','idbvh43','Protection_Intense_Adarga(C)'
'1076','idbvi43','Vampire_Intense_Adarga(C)'
'1077','idbvj43','Guardian_Intense_Adarga(C)'
'1078','idbvk43','Sharp_Intense_Adarga(C)'
'1079','idbvl43','Grand_Intense_Adarga(C)'
'1080','idbva41','Advanced_Strength_Intense_Farvis_Shield(C)'
'1081','idbvb41','Saving_Intense_Farvis_Shield(C)'
'1082','idbvc41','Fine_Intense_Farvis_Shield(C)'
'1083','idbvd41','Anti-Sharp_Intense_Farvis_Shield(C)'
'1084','idbve41','Strong_Intense_Farvis_Shield(C)'
'1085','idbvf41','Solid_Intense_Farvis_Shield(C)'
'1086','idbvg41','Strength_Intense_Farvis_Shield(C)'
'1087','idbvh41','Protection_Intense_Farvis_Shield(C)'
'1088','idbvi41','Vampire_Intense_Farvis_Shield(C)'
'1089','idbvj41','Guardian_Intense_Farvis_Shield(C)'
'1090','idbvk41','Sharp_Intense_Farvis_Shield(C)'
'1091','idbvl41','Grand_Intense_Farvis_Shield(C)'
'1092','idbva39','Advanced_Strength_Intense_Gothic_Shield(C)'
'1093','idbvb39','Saving_Intense_Gothic_Shield(C)'
'1094','idbvc39','Fine_Intense_Gothic_Shield(C)'
'1095','idbvd39','Anti-Sharp_Intense_Gothic_Shield(C)'
'1096','idbve39','Strong_Intense_Gothic_Shield(C)'
'1097','idbvf39','Solid_Intense_Gothic_Shield(C)'
'1098','idbvg39','Strength_Intense_Gothic_Shield(C)'
'1099','idbvh39','Protection_Intense_Gothic_Shield(C)'
'1100','idbvi39','Vampire_Intense_Gothic_Shield(C)'
'1101','idbvj39','Guardian_Intense_Gothic_Shield(C)'
'1102','idbvk39','Sharp_Intense_Gothic_Shield(C)'
'1103','idbvl39','Grand_Intense_Gothic_Shield(C)'
'1104','idawa50','Advanced_Strength_Intense_Platinum_Protector(C)'
'1105','idawb50','Saving_Intense_Platinum_Protector(C)'
'1106','idawc50','Fine_Intense_Platinum_Protector(C)'
'1107','idawd50','Anti-Sharp_Intense_Platinum_Protector(C)'
'1108','idawe50','Strong_Intense_Platinum_Protector(C)'
'1109','idawf50','Solid_Intense_Platinum_Protector(C)'
'1110','idawg50','Strength_Intense_Platinum_Protector(C)'
'1111','idawh50','Protection_Intense_Platinum_Protector(C)'
'1112','idawi50','Vampire_Intense_Platinum_Protector(C)'
'1113','idawj50','Guardian_Intense_Platinum_Protector(C)'
'1114','idawk50','Sharp_Intense_Platinum_Protector(C)'
'1115','idawl50','Grand_Intense_Platinum_Protector(C)'
'1116','idawa47','Advanced_Strength_Intense_Thick_Protector(C)'
'1117','idawb47','Saving_Intense_Thick_Protector(C)'
'1118','idawc47','Fine_Intense_Thick_Protector(C)'
'1119','idawd47','Anti-Sharp_Intense_Thick_Protector(C)'
'1120','idawe47','Strong_Intense_Thick_Protector(C)'
'1121','idawf47','Solid_Intense_Thick_Protector(C)'
'1122','idawg47','Strength_Intense_Thick_Protector(C)'
'1123','idawh47','Protection_Intense_Thick_Protector(C)'
'1124','idawi47','Vampire_Intense_Thick_Protector(C)'
'1125','idawj47','Guardian_Intense_Thick_Protector(C)'
'1126','idawk47','Sharp_Intense_Thick_Protector(C)'
'1127','idawl47','Grand_Intense_Thick_Protector(C)'
'1128','idawa45','Advanced_Strength_Intense_Golden_Protector(C)'
'1129','idawb45','Saving_Intense_Golden_Protector(C)'
'1130','idawc45','Fine_Intense_Golden_Protector(C)'
