'0','igdbf01','Default_Bellato_Male_Gloves_1'
'1932','igerw50','Vampire_Intense_Metal_Per_Arm(C)'
'1933','igerx50','Guardian_Intense_Metal_Per_Arm(C)'
'1934','igery50','Sharp_Intense_Metal_Per_Arm(C)'
'1935','igerz50','Endurance_Intense_Metal_Per_Arm(C)'
'1936','igefq50','Advanced_Strength_Intense_EW_Arm(C)'
'1937','igefr50','Pain_Intense_EW_Arm(C)'
'1938','igefs50','Strong_Intense_EW_Arm(C)'
'1939','igeft50','Solid_Intense_EW_Arm(C)'
'1940','igefu50','Strength_Intense_EW_Arm(C)'
'1941','igefv50','Protection_Intense_EW_Arm(C)'
'1942','igefw50','Vampire_Intense_EW_Arm(C)'
'1943','igefx50','Guardian_Intense_EW_Arm(C)'
'1944','igefy50','Sharp_Intense_EW_Arm(C)'
'1945','igefz50','Endurance_Intense_EW_Arm(C)'
'1946','igewq47','Advanced_Strength_Intense_Power_Suit_Arm(C)'
'1947','igewr47','Pain_Intense_Power_Suit_Arm(C)'
'1948','igews47','Strong_Intense_Power_Suit_Arm(C)'
'1949','igewt47','Solid_Intense_Power_Suit_Arm(C)'
'1950','igewu47','Strength_Intense_Power_Suit_Arm(C)'
'1951','igewv47','Protection_Intense_Power_Suit_Arm(C)'
'1952','igeww47','Vampire_Intense_Power_Suit_Arm(C)'
'1953','igewx47','Guardian_Intense_Power_Suit_Arm(C)'
'1954','igewy47','Sharp_Intense_Power_Suit_Arm(C)'
'1955','igewz47','Endurance_Intense_Power_Suit_Arm(C)'
'1956','igerq47','Advanced_Strength_Intense_Hora_Piece_Arm(C)'
'1957','igerr47','Pain_Intense_Hora_Piece_Arm(C)'
'1958','igers47','Strong_Intense_Hora_Piece_Arm(C)'
'1959','igert47','Solid_Intense_Hora_Piece_Arm(C)'
'1960','igeru47','Strength_Intense_Hora_Piece_Arm(C)'
'1961','igerv47','Protection_Intense_Hora_Piece_Arm(C)'
'1962','igerw47','Vampire_Intense_Hora_Piece_Arm(C)'
'1963','igerx47','Guardian_Intense_Hora_Piece_Arm(C)'
'1964','igery47','Sharp_Intense_Hora_Piece_Arm(C)'
'1965','igerz47','Endurance_Intense_Hora_Piece_Arm(C)'
'1966','igefq47','Advanced_Strength_Intense_Normal_EW_Arm(C)'
'1967','igefr47','Pain_Intense_Normal_EW_Arm(C)'
'1968','igefs47','Strong_Intense_Normal_EW_Arm(C)'
'1969','igeft47','Solid_Intense_Normal_EW_Arm(C)'
'1970','igefu47','Strength_Intense_Normal_EW_Arm(C)'
'1971','igefv47','Protection_Intense_Normal_EW_Arm(C)'
'1972','igefw47','Vampire_Intense_Normal_EW_Arm(C)'
'1973','igefx47','Guardian_Intense_Normal_EW_Arm(C)'
'1974','igefy47','Sharp_Intense_Normal_EW_Arm(C)'
'1975','igefz47','Endurance_Intense_Normal_EW_Arm(C)'
'1976','igewq45','Advanced_Strength_Intense_Top_Alloy_Arm(C)'
'1977','igewr45','Pain_Intense_Top_Alloy_Arm(C)'
'1978','igews45','Strong_Intense_Top_Alloy_Arm(C)'
'1979','igewt45','Solid_Intense_Top_Alloy_Arm(C)'
'1980','igewu45','Strength_Intense_Top_Alloy_Arm(C)'
'1981','igewv45','Protection_Intense_Top_Alloy_Arm(C)'
'1982','igeww45','Vampire_Intense_Top_Alloy_Arm(C)'
'1983','igewx45','Guardian_Intense_Top_Alloy_Arm(C)'
'1984','igewy45','Sharp_Intense_Top_Alloy_Arm(C)'
'1985','igewz45','Endurance_Intense_Top_Alloy_Arm(C)'
'1986','igerq45','Advanced_Strength_Intense_Vacuum_Arm(C)'
'1987','igerr45','Pain_Intense_Vacuum_Arm(C)'
'1988','igers45','Strong_Intense_Vacuum_Arm(C)'
'1989','igert45','Solid_Intense_Vacuum_Arm(C)'
'1990','igeru45','Strength_Intense_Vacuum_Arm(C)'
'1991','igerv45','Protection_Intense_Vacuum_Arm(C)'
'1992','igerw45','Vampire_Intense_Vacuum_Arm(C)'
'1993','igerx45','Guardian_Intense_Vacuum_Arm(C)'
'1994','igery45','Sharp_Intense_Vacuum_Arm(C)'
'1995','igerz45','Endurance_Intense_Vacuum_Arm(C)'
'1996','igefq45','Advanced_Strength_Intense_Missile_Launcher_Arm(C)'
'1997','igefr45','Pain_Intense_Missile_Launcher_Arm(C)'
'1998','igefs45','Strong_Intense_Missile_Launcher_Arm(C)'
'1999','igeft45','Solid_Intense_Missile_Launcher_Arm(C)'
'2000','igefu45','Strength_Intense_Missile_Launcher_Arm(C)'
'2001','igefv45','Protection_Intense_Missile_Launcher_Arm(C)'
'2002','igefw45','Vampire_Intense_Missile_Launcher_Arm(C)'
'2003','igefx45','Guardian_Intense_Missile_Launcher_Arm(C)'
'2004','igefy45','Sharp_Intense_Missile_Launcher_Arm(C)'
'2005','igefz45','Endurance_Intense_Missile_Launcher_Arm(C)'
'2006','igewq43','Advanced_Strength_Intense_Alloy_Arm(C)'
'2007','igewr43','Pain_Intense_Alloy_Arm(C)'
'2008','igews43','Strong_Intense_Alloy_Arm(C)'
'2009','igewt43','Solid_Intense_Alloy_Arm(C)'
'2010','igewu43','Strength_Intense_Alloy_Arm(C)'
'2011','igewv43','Protection_Intense_Alloy_Arm(C)'
'2012','igeww43','Vampire_Intense_Alloy_Arm(C)'
'2013','igewx43','Guardian_Intense_Alloy_Arm(C)'
'2014','igewy43','Sharp_Intense_Alloy_Arm(C)'
'2015','igewz43','Endurance_Intense_Alloy_Arm(C)'
'2016','igerq43','Advanced_Strength_Intense_Normal_Vacuum_Arm(C)'
'2017','igerr43','Pain_Intense_Normal_Vacuum_Arm(C)'
'2018','igers43','Strong_Intense_Normal_Vacuum_Arm(C)'
'2019','igert43','Solid_Intense_Normal_Vacuum_Arm(C)'
'2020','igeru43','Strength_Intense_Normal_Vacuum_Arm(C)'
'2021','igerv43','Protection_Intense_Normal_Vacuum_Arm(C)'
'2022','igerw43','Vampire_Intense_Normal_Vacuum_Arm(C)'
'2023','igerx43','Guardian_Intense_Normal_Vacuum_Arm(C)'
'2024','igery43','Sharp_Intense_Normal_Vacuum_Arm(C)'
'2025','igerz43','Endurance_Intense_Normal_Vacuum_Arm(C)'
'2026','igefq43','Advanced_Strength_Intense_Normal_Missile_Launcher_Arm(C)'
'2027','igefr43','Pain_Intense_Normal_Missile_Launcher_Arm(C)'
'2028','igefs43','Strong_Intense_Normal_Missile_Launcher_Arm(C)'
'2029','igeft43','Solid_Intense_Normal_Missile_Launcher_Arm(C)'
'2030','igefu43','Strength_Intense_Normal_Missile_Launcher_Arm(C)'
'2031','igefv43','Protection_Intense_Normal_Missile_Launcher_Arm(C)'
'2032','igefw43','Vampire_Intense_Normal_Missile_Launcher_Arm(C)'
'2033','igefx43','Guardian_Intense_Normal_Missile_Launcher_Arm(C)'
'2034','igefy43','Sharp_Intense_Normal_Missile_Launcher_Arm(C)'
'2035','igefz43','Endurance_Intense_Normal_Missile_Launcher_Arm(C)'
'2036','igewq41','Advanced_Strength_Intense_Hora_Arm(C)'
'2037','igewr41','Pain_Intense_Hora_Arm(C)'
'2038','igews41','Strong_Intense_Hora_Arm(C)'
'2039','igewt41','Solid_Intense_Hora_Arm(C)'
'2040','igewu41','Strength_Intense_Hora_Arm(C)'
'2041','igewv41','Protection_Intense_Hora_Arm(C)'
'2042','igeww41','Vampire_Intense_Hora_Arm(C)'
'2043','igewx41','Guardian_Intense_Hora_Arm(C)'
'2044','igewy41','Sharp_Intense_Hora_Arm(C)'
'2045','igewz41','Endurance_Intense_Hora_Arm(C)'
'2046','igerq41','Advanced_Strength_Intense_Hora_Power_Piece_Arm(C)'
'2047','igerr41','Pain_Intense_Hora_Power_Piece_Arm(C)'
'2048','igers41','Strong_Intense_Hora_Power_Piece_Arm(C)'
'2049','igert41','Solid_Intense_Hora_Power_Piece_Arm(C)'
'2050','igeru41','Strength_Intense_Hora_Power_Piece_Arm(C)'
'2051','igerv41','Protection_Intense_Hora_Power_Piece_Arm(C)'
'2052','igerw41','Vampire_Intense_Hora_Power_Piece_Arm(C)'
'2053','igerx41','Guardian_Intense_Hora_Power_Piece_Arm(C)'
'2054','igery41','Sharp_Intense_Hora_Power_Piece_Arm(C)'
'2055','igerz41','Endurance_Intense_Hora_Power_Piece_Arm(C)'
'2056','igefq41','Advanced_Strength_Intense_Basic_Missile_Launcher_Arm(C)'
'2057','igefr41','Pain_Intense_Basic_Missile_Launcher_Arm(C)'
'2058','igefs41','Strong_Intense_Basic_Missile_Launcher_Arm(C)'
'2059','igeft41','Solid_Intense_Basic_Missile_Launcher_Arm(C)'
'2060','igefu41','Strength_Intense_Basic_Missile_Launcher_Arm(C)'
'2061','igefv41','Protection_Intense_Basic_Missile_Launcher_Arm(C)'
'2062','igefw41','Vampire_Intense_Basic_Missile_Launcher_Arm(C)'
'2063','igefx41','Guardian_Intense_Basic_Missile_Launcher_Arm(C)'
'2064','igefy41','Sharp_Intense_Basic_Missile_Launcher_Arm(C)'
'2065','igefz41','Endurance_Intense_Basic_Missile_Launcher_Arm(C)'
'2066','igewq39','Advanced_Strength_Intense_Silver_Arm(C)'
'2067','igewr39','Pain_Intense_Silver_Arm(C)'
'2068','igews39','Strong_Intense_Silver_Arm(C)'
'2069','igewt39','Solid_Intense_Silver_Arm(C)'
'2070','igewu39','Strength_Intense_Silver_Arm(C)'
'2071','igewv39','Protection_Intense_Silver_Arm(C)'
'2072','igeww39','Vampire_Intense_Silver_Arm(C)'
'2073','igewx39','Guardian_Intense_Silver_Arm(C)'
'2074','igewy39','Sharp_Intense_Silver_Arm(C)'
'2075','igewz39','Endurance_Intense_Silver_Arm(C)'
'2076','igerq39','Advanced_Strength_Intense_Per_Arm(C)'
'2077','igerr39','Pain_Intense_Per_Arm(C)'
'2078','igers39','Strong_Intense_Per_Arm(C)'
'2079','igert39','Solid_Intense_Per_Arm(C)'
'2080','igeru39','Strength_Intense_Per_Arm(C)'
'2081','igerv39','Protection_Intense_Per_Arm(C)'
'2082','igerw39','Vampire_Intense_Per_Arm(C)'
'2083','igerx39','Guardian_Intense_Per_Arm(C)'
'2084','igery39','Sharp_Intense_Per_Arm(C)'
'2085','igerz39','Endurance_Intense_Per_Arm(C)'
'2086','igefq39','Advanced_Strength_Intense_Bazooka_Arm(C)'
'2087','igefr39','Pain_Intense_Bazooka_Arm(C)'
'2088','igefs39','Strong_Intense_Bazooka_Arm(C)'
'2089','igeft39','Solid_Intense_Bazooka_Arm(C)'
'2090','igefu39','Strength_Intense_Bazooka_Arm(C)'
'2091','igefv39','Protection_Intense_Bazooka_Arm(C)'
'2092','igefw39','Vampire_Intense_Bazooka_Arm(C)'
'2093','igefx39','Guardian_Intense_Bazooka_Arm(C)'
'2094','igefy39','Sharp_Intense_Bazooka_Arm(C)'
'2095','igefz39','Endurance_Intense_Bazooka_Arm(C)'
'2096','igqwq50','Advanced_Strength_Intense_Bone_Gauntlet(C)'
'2097','igqwr50','Pain_Intense_Bone_Gauntlet(C)'
'2098','igqws50','Strong_Intense_Bone_Gauntlet(C)'
'2099','igqwt50','Solid_Intense_Bone_Gauntlet(C)'
'2100','igqwu50','Strength_Intense_Bone_Gauntlet(C)'
'2101','igqwv50','Protection_Intense_Bone_Gauntlet(C)'
'2102','igqww50','Vampire_Intense_Bone_Gauntlet(C)'
'2103','igqwx50','Guardian_Intense_Bone_Gauntlet(C)'
'2104','igqwy50','Sharp_Intense_Bone_Gauntlet(C)'
'2105','igqwz50','Endurance_Intense_Bone_Gauntlet(C)'
'2106','igqrq50','Advanced_Strength_Intense_Azl_Raiment_Armlet(C)'
'2107','igqrr50','Pain_Intense_Azl_Raiment_Armlet(C)'
'2108','igqrs50','Strong_Intense_Azl_Raiment_Armlet(C)'
'2109','igqrt50','Solid_Intense_Azl_Raiment_Armlet(C)'
'2110','igqru50','Strength_Intense_Azl_Raiment_Armlet(C)'
'2111','igqrv50','Protection_Intense_Azl_Raiment_Armlet(C)'
'2112','igqrw50','Vampire_Intense_Azl_Raiment_Armlet(C)'
'2113','igqrx50','Guardian_Intense_Azl_Raiment_Armlet(C)'
'2114','igqry50','Sharp_Intense_Azl_Raiment_Armlet(C)'
'2115','igqrz50','Endurance_Intense_Azl_Raiment_Armlet(C)'
'2116','igqfq50','Advanced_Strength_Intense_Dru_Glove(C)'
'2117','igqfr50','Pain_Intense_Dru_Glove(C)'
'2118','igqfs50','Strong_Intense_Dru_Glove(C)'
'2119','igqft50','Solid_Intense_Dru_Glove(C)'
'2120','igqfu50','Strength_Intense_Dru_Glove(C)'
'2121','igqfv50','Protection_Intense_Dru_Glove(C)'
'2122','igqfw50','Vampire_Intense_Dru_Glove(C)'
'2123','igqfx50','Guardian_Intense_Dru_Glove(C)'
'2124','igqfy50','Sharp_Intense_Dru_Glove(C)'
'2125','igqfz50','Endurance_Intense_Dru_Glove(C)'
'2126','igqwq47','Advanced_Strength_Intense_JMHora_Gauntlet(C)'
'2127','igqwr47','Pain_Intense_JMHora_Gauntlet(C)'
'2128','igqws47','Strong_Intense_JMHora_Gauntlet(C)'
'2129','igqwt47','Solid_Intense_JMHora_Gauntlet(C)'
'2130','igqwu47','Strength_Intense_JMHora_Gauntlet(C)'
'2131','igqwv47','Protection_Intense_JMHora_Gauntlet(C)'
'2132','igqww47','Vampire_Intense_JMHora_Gauntlet(C)'
'2133','igqwx47','Guardian_Intense_JMHora_Gauntlet(C)'
'2134','igqwy47','Sharp_Intense_JMHora_Gauntlet(C)'
'2135','igqwz47','Endurance_Intense_JMHora_Gauntlet(C)'
'2136','igqrq47','Advanced_Strength_Intense_Ranger_Armlet(C)'
'2137','igqrr47','Pain_Intense_Ranger_Armlet(C)'
'2138','igqrs47','Strong_Intense_Ranger_Armlet(C)'
'2139','igqrt47','Solid_Intense_Ranger_Armlet(C)'
'2140','igqru47','Strength_Intense_Ranger_Armlet(C)'
'2141','igqrv47','Protection_Intense_Ranger_Armlet(C)'
'2142','igqrw47','Vampire_Intense_Ranger_Armlet(C)'
'2143','igqrx47','Guardian_Intense_Ranger_Armlet(C)'
'2144','igqry47','Sharp_Intense_Ranger_Armlet(C)'
'2145','igqrz47','Endurance_Intense_Ranger_Armlet(C)'
'2146','igqfq47','Advanced_Strength_Intense_Decem_Glove(C)'
'2147','igqfr47','Pain_Intense_Decem_Glove(C)'
'2148','igqfs47','Strong_Intense_Decem_Glove(C)'
'2149','igqft47','Solid_Intense_Decem_Glove(C)'
'2150','igqfu47','Strength_Intense_Decem_Glove(C)'
'2151','igqfv47','Protection_Intense_Decem_Glove(C)'
'2152','igqfw47','Vampire_Intense_Decem_Glove(C)'
'2153','igqfx47','Guardian_Intense_Decem_Glove(C)'
'2154','igqfy47','Sharp_Intense_Decem_Glove(C)'
'2155','igqfz47','Endurance_Intense_Decem_Glove(C)'
'2156','igqwq45','Advanced_Strength_Intense_Large_Rogue_Gauntlet(C)'
'2157','igqwr45','Pain_Intense_Large_Rogue_Gauntlet(C)'
'2158','igqws45','Strong_Intense_Large_Rogue_Gauntlet(C)'
'2159','igqwt45','Solid_Intense_Large_Rogue_Gauntlet(C)'
'2160','igqwu45','Strength_Intense_Large_Rogue_Gauntlet(C)'
'2161','igqwv45','Protection_Intense_Large_Rogue_Gauntlet(C)'
'2162','igqww45','Vampire_Intense_Large_Rogue_Gauntlet(C)'
'2163','igqwx45','Guardian_Intense_Large_Rogue_Gauntlet(C)'
'2164','igqwy45','Sharp_Intense_Large_Rogue_Gauntlet(C)'
'2165','igqwz45','Endurance_Intense_Large_Rogue_Gauntlet(C)'
'2166','igqrq45','Advanced_Strength_Intense_Top_Velocity_Armlet(C)'
'2167','igqrr45','Pain_Intense_Top_Velocity_Armlet(C)'
'2168','igqrs45','Strong_Intense_Top_Velocity_Armlet(C)'
'2169','igqrt45','Solid_Intense_Top_Velocity_Armlet(C)'
'2170','igqru45','Strength_Intense_Top_Velocity_Armlet(C)'
'2171','igqrv45','Protection_Intense_Top_Velocity_Armlet(C)'
'2172','igqrw45','Vampire_Intense_Top_Velocity_Armlet(C)'
'2173','igqrx45','Guardian_Intense_Top_Velocity_Armlet(C)'
'2174','igqry45','Sharp_Intense_Top_Velocity_Armlet(C)'
'2175','igqrz45','Endurance_Intense_Top_Velocity_Armlet(C)'
'2176','igqfq45','Advanced_Strength_Intense_Elixir_Glove(C)'
'2177','igqfr45','Pain_Intense_Elixir_Glove(C)'
'2178','igqfs45','Strong_Intense_Elixir_Glove(C)'
'2179','igqft45','Solid_Intense_Elixir_Glove(C)'
'2180','igqfu45','Strength_Intense_Elixir_Glove(C)'
'2181','igqfv45','Protection_Intense_Elixir_Glove(C)'
'2182','igqfw45','Vampire_Intense_Elixir_Glove(C)'
'2183','igqfx45','Guardian_Intense_Elixir_Glove(C)'
'2184','igqfy45','Sharp_Intense_Elixir_Glove(C)'
'2185','igqfz45','Endurance_Intense_Elixir_Glove(C)'
'2186','igqwq43','Advanced_Strength_Intense_Rogue_Gauntlet(C)'
'2187','igqwr43','Pain_Intense_Rogue_Gauntlet(C)'
'2188','igqws43','Strong_Intense_Rogue_Gauntlet(C)'
'2189','igqwt43','Solid_Intense_Rogue_Gauntlet(C)'
'2190','igqwu43','Strength_Intense_Rogue_Gauntlet(C)'
'2191','igqwv43','Protection_Intense_Rogue_Gauntlet(C)'
'2192','igqww43','Vampire_Intense_Rogue_Gauntlet(C)'
'2193','igqwx43','Guardian_Intense_Rogue_Gauntlet(C)'
'2194','igqwy43','Sharp_Intense_Rogue_Gauntlet(C)'
'2195','igqwz43','Endurance_Intense_Rogue_Gauntlet(C)'
'2196','igqrq43','Advanced_Strength_Intense_Velocity_Armlet(C)'
'2197','igqrr43','Pain_Intense_Velocity_Armlet(C)'
'2198','igqrs43','Strong_Intense_Velocity_Armlet(C)'
'2199','igqrt43','Solid_Intense_Velocity_Armlet(C)'
'2200','igqru43','Strength_Intense_Velocity_Armlet(C)'
'2201','igqrv43','Protection_Intense_Velocity_Armlet(C)'
'2202','igqrw43','Vampire_Intense_Velocity_Armlet(C)'
'2203','igqrx43','Guardian_Intense_Velocity_Armlet(C)'
'2204','igqry43','Sharp_Intense_Velocity_Armlet(C)'
'2205','igqrz43','Endurance_Intense_Velocity_Armlet(C)'
'2206','igqfq43','Advanced_Strength_Intense_Sharmans_Glove(C)'
'2207','igqfr43','Pain_Intense_Sharmans_Glove(C)'
'2208','igqfs43','Strong_Intense_Sharmans_Glove(C)'
'2209','igqft43','Solid_Intense_Sharmans_Glove(C)'
'2210','igqfu43','Strength_Intense_Sharmans_Glove(C)'
'2211','igqfv43','Protection_Intense_Sharmans_Glove(C)'
'2212','igqfw43','Vampire_Intense_Sharmans_Glove(C)'
'2213','igqfx43','Guardian_Intense_Sharmans_Glove(C)'
'2214','igqfy43','Sharp_Intense_Sharmans_Glove(C)'
'2215','igqfz43','Endurance_Intense_Sharmans_Glove(C)'
'2216','igqwq41','Advanced_Strength_Intense_Odinz_Gauntlet(C)'
'2217','igqwr41','Pain_Intense_Odinz_Gauntlet(C)'
'2218','igqws41','Strong_Intense_Odinz_Gauntlet(C)'
'2219','igqwt41','Solid_Intense_Odinz_Gauntlet(C)'
'2220','igqwu41','Strength_Intense_Odinz_Gauntlet(C)'
'2221','igqwv41','Protection_Intense_Odinz_Gauntlet(C)'
'2222','igqww41','Vampire_Intense_Odinz_Gauntlet(C)'
'2223','igqwx41','Guardian_Intense_Odinz_Gauntlet(C)'
'2224','igqwy41','Sharp_Intense_Odinz_Gauntlet(C)'
'2225','igqwz41','Endurance_Intense_Odinz_Gauntlet(C)'
'2226','igqrq41','Advanced_Strength_Intense_Glow_Armlet(C)'
'2227','igqrr41','Pain_Intense_Glow_Armlet(C)'
'2228','igqrs41','Strong_Intense_Glow_Armlet(C)'
'2229','igqrt41','Solid_Intense_Glow_Armlet(C)'
'2230','igqru41','Strength_Intense_Glow_Armlet(C)'
'2231','igqrv41','Protection_Intense_Glow_Armlet(C)'
'2232','igqrw41','Vampire_Intense_Glow_Armlet(C)'
'2233','igqrx41','Guardian_Intense_Glow_Armlet(C)'
'2234','igqry41','Sharp_Intense_Glow_Armlet(C)'
'2235','igqrz41','Endurance_Intense_Glow_Armlet(C)'
'2236','igqfq41','Advanced_Strength_Intense_Itaco_Glove(C)'
'2237','igqfr41','Pain_Intense_Itaco_Glove(C)'
'2238','igqfs41','Strong_Intense_Itaco_Glove(C)'
'2239','igqft41','Solid_Intense_Itaco_Glove(C)'
'2240','igqfu41','Strength_Intense_Itaco_Glove(C)'
'2241','igqfv41','Protection_Intense_Itaco_Glove(C)'
'2242','igqfw41','Vampire_Intense_Itaco_Glove(C)'
'2243','igqfx41','Guardian_Intense_Itaco_Glove(C)'
'2244','igqfy41','Sharp_Intense_Itaco_Glove(C)'
'2245','igqfz41','Endurance_Intense_Itaco_Glove(C)'
'2246','igqwq39','Advanced_Strength_Intense_Odinz_Ra_Armlet(C)'
'2247','igqwr39','Pain_Intense_Odinz_Ra_Armlet(C)'
'2248','igqws39','Strong_Intense_Odinz_Ra_Armlet(C)'
'2249','igqwt39','Solid_Intense_Odinz_Ra_Armlet(C)'
'2250','igqwu39','Strength_Intense_Odinz_Ra_Armlet(C)'
'2251','igqwv39','Protection_Intense_Odinz_Ra_Armlet(C)'
'2252','igqww39','Vampire_Intense_Odinz_Ra_Armlet(C)'
'2253','igqwx39','Guardian_Intense_Odinz_Ra_Armlet(C)'
'2254','igqwy39','Sharp_Intense_Odinz_Ra_Armlet(C)'
'2255','igqwz39','Endurance_Intense_Odinz_Ra_Armlet(C)'
'2256','igqrq39','Advanced_Strength_Intense_Limited_Glow_Bracelet(C)'
'2257','igqrr39','Pain_Intense_Limited_Glow_Bracelet(C)'
'2258','igqrs39','Strong_Intense_Limited_Glow_Bracelet(C)'
'2259','igqrt39','Solid_Intense_Limited_Glow_Bracelet(C)'
'2260','igqru39','Strength_Intense_Limited_Glow_Bracelet(C)'
'2261','igqrv39','Protection_Intense_Limited_Glow_Bracelet(C)'
'2262','igqrw39','Vampire_Intense_Limited_Glow_Bracelet(C)'
'2263','igqrx39','Guardian_Intense_Limited_Glow_Bracelet(C)'
'2264','igqry39','Sharp_Intense_Limited_Glow_Bracelet(C)'
'2265','igqrz39','Endurance_Intense_Limited_Glow_Bracelet(C)'
'2266','igqfq39','Advanced_Strength_Intense_Force_Mitten(C)'
'2267','igqfr39','Pain_Intense_Force_Mitten(C)'
'2268','igqfs39','Strong_Intense_Force_Mitten(C)'
'2269','igqft39','Solid_Intense_Force_Mitten(C)'
'2270','igqfu39','Strength_Intense_Force_Mitten(C)'
'2271','igqfv39','Protection_Intense_Force_Mitten(C)'
'2272','igqfw39','Vampire_Intense_Force_Mitten(C)'
'2273','igqfx39','Guardian_Intense_Force_Mitten(C)'
'2274','igqfy39','Sharp_Intense_Force_Mitten(C)'
'2275','igqfz39','Endurance_Intense_Force_Mitten(C)'
'2276','igkwq50','Advanced_Strength_Intense_Golden_Gauntlet(C)'
'2277','igkwr50','Pain_Intense_Golden_Gauntlet(C)'
'2278','igkws50','Strong_Intense_Golden_Gauntlet(C)'
'2279','igkwt50','Solid_Intense_Golden_Gauntlet(C)'
'2280','igkwu50','Strength_Intense_Golden_Gauntlet(C)'
'2281','igkwv50','Protection_Intense_Golden_Gauntlet(C)'
'2282','igkww50','Vampire_Intense_Golden_Gauntlet(C)'
'2283','igkwx50','Guardian_Intense_Golden_Gauntlet(C)'
'2284','igkwy50','Sharp_Intense_Golden_Gauntlet(C)'
'2285','igkwz50','Endurance_Intense_Golden_Gauntlet(C)'
'2286','igkrq50','Advanced_Strength_Intense_Please_Armlet(C)'
'2287','igkrr50','Pain_Intense_Please_Armlet(C)'
'2288','igkrs50','Strong_Intense_Please_Armlet(C)'
'2289','igkrt50','Solid_Intense_Please_Armlet(C)'
'2290','igkru50','Strength_Intense_Please_Armlet(C)'
'2291','igkrv50','Protection_Intense_Please_Armlet(C)'
'2292','igkrw50','Vampire_Intense_Please_Armlet(C)'
'2293','igkrx50','Guardian_Intense_Please_Armlet(C)'
'2294','igkry50','Sharp_Intense_Please_Armlet(C)'
'2295','igkrz50','Endurance_Intense_Please_Armlet(C)'
'2296','igkfq50','Advanced_Strength_Intense_Noble_Hora_Glove(C)'
'2297','igkfr50','Pain_Intense_Noble_Hora_Glove(C)'
'2298','igkfs50','Strong_Intense_Noble_Hora_Glove(C)'
'2299','igkft50','Solid_Intense_Noble_Hora_Glove(C)'
'2300','igkfu50','Strength_Intense_Noble_Hora_Glove(C)'
'2301','igkfv50','Protection_Intense_Noble_Hora_Glove(C)'
'2302','igkfw50','Vampire_Intense_Noble_Hora_Glove(C)'
'2303','igkfx50','Guardian_Intense_Noble_Hora_Glove(C)'
'2304','igkfy50','Sharp_Intense_Noble_Hora_Glove(C)'
'2305','igkfz50','Endurance_Intense_Noble_Hora_Glove(C)'
'2306','igkwq47','Advanced_Strength_Intense_Berserker_Gauntlet(C)'
'2307','igkwr47','Pain_Intense_Berserker_Gauntlet(C)'
'2308','igkws47','Strong_Intense_Berserker_Gauntlet(C)'
'2309','igkwt47','Solid_Intense_Berserker_Gauntlet(C)'
'2310','igkwu47','Strength_Intense_Berserker_Gauntlet(C)'
'2311','igkwv47','Protection_Intense_Berserker_Gauntlet(C)'
'2312','igkww47','Vampire_Intense_Berserker_Gauntlet(C)'
'2313','igkwx47','Guardian_Intense_Berserker_Gauntlet(C)'
'2314','igkwy47','Sharp_Intense_Berserker_Gauntlet(C)'
'2315','igkwz47','Endurance_Intense_Berserker_Gauntlet(C)'
'2316','igkrq47','Advanced_Strength_Intense_Small_Hora_Armlet(C)'
'2317','igkrr47','Pain_Intense_Small_Hora_Armlet(C)'
'2318','igkrs47','Strong_Intense_Small_Hora_Armlet(C)'
'2319','igkrt47','Solid_Intense_Small_Hora_Armlet(C)'
'2320','igkru47','Strength_Intense_Small_Hora_Armlet(C)'
'2321','igkrv47','Protection_Intense_Small_Hora_Armlet(C)'
'2322','igkrw47','Vampire_Intense_Small_Hora_Armlet(C)'
'2323','igkrx47','Guardian_Intense_Small_Hora_Armlet(C)'
'2324','igkry47','Sharp_Intense_Small_Hora_Armlet(C)'
'2325','igkrz47','Endurance_Intense_Small_Hora_Armlet(C)'
'2326','igkfq47','Advanced_Strength_Intense_Noble_Glove(C)'
'2327','igkfr47','Pain_Intense_Noble_Glove(C)'
'2328','igkfs47','Strong_Intense_Noble_Glove(C)'
'2329','igkft47','Solid_Intense_Noble_Glove(C)'
'2330','igkfu47','Strength_Intense_Noble_Glove(C)'
'2331','igkfv47','Protection_Intense_Noble_Glove(C)'
'2332','igkfw47','Vampire_Intense_Noble_Glove(C)'
'2333','igkfx47','Guardian_Intense_Noble_Glove(C)'
'2334','igkfy47','Sharp_Intense_Noble_Glove(C)'
'2335','igkfz47','Endurance_Intense_Baal_Glove(C)'
'2336','igkwq45','Advanced_Strength_Intense_Magnetic_Gauntlet(C)'
'2337','igkwr45','Pain_Intense_Magnetic_Gauntlet(C)'
'2338','igkws45','Strong_Intense_Magnetic_Gauntlet(C)'
'2339','igkwt45','Solid_Intense_Magnetic_Gauntlet(C)'
'2340','igkwu45','Strength_Intense_Magnetic_Gauntlet(C)'
'2341','igkwv45','Protection_Intense_Magnetic_Gauntlet(C)'
'2342','igkww45','Vampire_Intense_Magnetic_Gauntlet(C)'
'2343','igkwx45','Guardian_Intense_Magnetic_Gauntlet(C)'
'2344','igkwy45','Sharp_Intense_Magnetic_Gauntlet(C)'
'2345','igkwz45','Endurance_Intense_Magnetic_Gauntlet(C)'
'2346','igkrq45','Advanced_Strength_Intense_Dragon_Feather_Armlet(C)'
'2347','igkrr45','Pain_Intense_Dragon_Feather_Armlet(C)'
'2348','igkrs45','Strong_Intense_Dragon_Feather_Armlet(C)'
