'0','ihdbf01','Default_Bellato_Male_Helmet1'
'2139','ihqrt47','Solid_Intense_Ranger_HeadGear(C)'
'2140','ihqru47','Strength_Intense_Ranger_HeadGear(C)'
'2141','ihqrv47','Protectoion_Intense_Ranger_HeadGear(C)'
'2142','ihqrw47','Vampire_Intense_Ranger_HeadGear(C)'
'2143','ihqrx47','Guardian_Intense_Ranger_HeadGear(C)'
'2144','ihqry47','Sharp_Intense_Ranger_HeadGear(C)'
'2145','ihqrz47','Endurance_Intense_Ranger_HeadGear(C)'
'2146','ihqfq47','Advanced_Strength_Intense_Decem_Amice(C)'
'2147','ihqfr47','Fine_Intense_Decem_Amice(C)'
'2148','ihqfs47','Strong_Intense_Decem_Amice(C)'
'2149','ihqft47','Solid_Intense_Decem_Amice(C)'
'2150','ihqfu47','Strength_Intense_Decem_Amice(C)'
'2151','ihqfv47','Protectoion_Intense_Decem_Amice(C)'
'2152','ihqfw47','Vampire_Intense_Decem_Amice(C)'
'2153','ihqfx47','Guardian_Intense_Decem_Amice(C)'
'2154','ihqfy47','Sharp_Intense_Decem_Amice(C)'
'2155','ihqfz47','Endurance_Intense_Decem_Amice(C)'
'2156','ihqwq45','Advanced_Strength_Intense_Large_Rogue_FullHelm(C)'
'2157','ihqwr45','Fine_Intense_Large_Rogue_FullHelm(C)'
'2158','ihqws45','Strong_Intense_Large_Rogue_FullHelm(C)'
'2159','ihqwt45','Solid_Intense_Large_Rogue_FullHelm(C)'
'2160','ihqwu45','Strength_Intense_Large_Rogue_FullHelm(C)'
'2161','ihqwv45','Protectoion_Intense_Large_Rogue_FullHelm(C)'
'2162','ihqww45','Vampire_Intense_Large_Rogue_FullHelm(C)'
'2163','ihqwx45','Guardian_Intense_Large_Rogue_FullHelm(C)'
'2164','ihqwy45','Sharp_Intense_Large_Rogue_FullHelm(C)'
'2165','ihqwz45','Endurance_Intense_Large_Rogue_FullHelm(C)'
'2166','ihqrq45','Advanced_Strength_Intense_Top_Velocity_HeadGear(C)'
'2167','ihqrr45','Fine_Intense_Top_Velocity_HeadGear(C)'
'2168','ihqrs45','Strong_Intense_Top_Velocity_HeadGear(C)'
'2169','ihqrt45','Solid_Intense_Top_Velocity_HeadGear(C)'
'2170','ihqru45','Strength_Intense_Top_Velocity_HeadGear(C)'
'2171','ihqrv45','Protectoion_Intense_Top_Velocity_HeadGear(C)'
'2172','ihqrw45','Vampire_Intense_Top_Velocity_HeadGear(C)'
'2173','ihqrx45','Guardian_Intense_Top_Velocity_HeadGear(C)'
'2174','ihqry45','Sharp_Intense_Top_Velocity_HeadGear(C)'
'2175','ihqrz45','Endurance_Intense_Top_Velocity_HeadGear(C)'
'2176','ihqfq45','Advanced_Strength_Intense_Elixir_Amice(C)'
'2177','ihqfr45','Fine_Intense_Elixir_Amice(C)'
'2178','ihqfs45','Strong_Intense_Elixir_Amice(C)'
'2179','ihqft45','Solid_Intense_Elixir_Amice(C)'
'2180','ihqfu45','Strength_Intense_Elixir_Amice(C)'
'2181','ihqfv45','Protectoion_Intense_Elixir_Amice(C)'
'2182','ihqfw45','Vampire_Intense_Elixir_Amice(C)'
'2183','ihqfx45','Guardian_Intense_Elixir_Amice(C)'
'2184','ihqfy45','Sharp_Intense_Elixir_Amice(C)'
'2185','ihqfz45','Endurance_Intense_Elixir_Amice(C)'
'2186','ihqwq43','Advanced_Strength_Intense_Rogue_FullHelm(C)'
'2187','ihqwr43','Fine_Intense_Rogue_FullHelm(C)'
'2188','ihqws43','Strong_Intense_Rogue_FullHelm(C)'
'2189','ihqwt43','Solid_Intense_Rogue_FullHelm(C)'
'2190','ihqwu43','Strength_Intense_Rogue_FullHelm(C)'
'2191','ihqwv43','Protectoion_Intense_Rogue_FullHelm(C)'
'2192','ihqww43','Vampire_Intense_Rogue_FullHelm(C)'
'2193','ihqwx43','Guardian_Intense_Rogue_FullHelm(C)'
'2194','ihqwy43','Sharp_Intense_Rogue_FullHelm(C)'
'2195','ihqwz43','Endurance_Intense_Rogue_FullHelm(C)'
'2196','ihqrq43','Advanced_Strength_Intense_Velocity_HeadGear(C)'
'2197','ihqrr43','Fine_Intense_Velocity_HeadGear(C)'
'2198','ihqrs43','Strong_Intense_Velocity_HeadGear(C)'
'2199','ihqrt43','Solid_Intense_Velocity_HeadGear(C)'
'2200','ihqru43','Strength_Intense_Velocity_HeadGear(C)'
'2201','ihqrv43','Protectoion_Intense_Velocity_HeadGear(C)'
'2202','ihqrw43','Vampire_Intense_Velocity_HeadGear(C)'
'2203','ihqrx43','Guardian_Intense_Velocity_HeadGear(C)'
'2204','ihqry43','Sharp_Intense_Velocity_HeadGear(C)'
'2205','ihqrz43','Endurance_Intense_Velocity_HeadGear(C)'
'2206','ihqfq43','Advanced_Strength_Intense_Shamans_Amice(C)'
'2207','ihqfr43','Fine_Intense_Shamans_Amice(C)'
'2208','ihqfs43','Strong_Intense_Shamans_Amice(C)'
'2209','ihqft43','Solid_Intense_Shamans_Amice(C)'
'2210','ihqfu43','Strength_Intense_Shamans_Amice(C)'
'2211','ihqfv43','Protectoion_Intense_Shamans_Amice(C)'
'2212','ihqfw43','Vampire_Intense_Shamans_Amice(C)'
'2213','ihqfx43','Guardian_Intense_Shamans_Amice(C)'
'2214','ihqfy43','Sharp_Intense_Shamans_Amice(C)'
'2215','ihqfz43','Endurance_Intense_Shamans_Amice(C)'
'2216','ihqwq41','Advanced_Strength_Intense_Odins_FullHelm(C)'
'2217','ihqwr41','Fine_Intense_Odins_FullHelm(C)'
'2218','ihqws41','Strong_Intense_Odins_FullHelm(C)'
'2219','ihqwt41','Solid_Intense_Odins_FullHelm(C)'
'2220','ihqwu41','Strength_Intense_Odins_FullHelm(C)'
'2221','ihqwv41','Protectoion_Intense_Odins_FullHelm(C)'
'2222','ihqww41','Vampire_Intense_Odins_FullHelm(C)'
'2223','ihqwx41','Guardian_Intense_Odins_FullHelm(C)'
'2224','ihqwy41','Sharp_Intense_Odins_FullHelm(C)'
'2225','ihqwz41','Endurance_Intense_Odins_FullHelm(C)'
'2226','ihqrq41','Advanced_Strength_Intense_Glow_HeadGear(C)'
'2227','ihqrr41','Fine_Intense_Glow_HeadGear(C)'
'2228','ihqrs41','Strong_Intense_Glow_HeadGear(C)'
'2229','ihqrt41','Solid_Intense_Glow_HeadGear(C)'
'2230','ihqru41','Strength_Intense_Glow_HeadGear(C)'
'2231','ihqrv41','Protectoion_Intense_Glow_HeadGear(C)'
'2232','ihqrw41','Vampire_Intense_Glow_HeadGear(C)'
'2233','ihqrx41','Guardian_Intense_Glow_HeadGear(C)'
'2234','ihqry41','Sharp_Intense_Glow_HeadGear(C)'
'2235','ihqrz41','Endurance_Intense_Glow_HeadGear(C)'
'2236','ihqfq41','Advanced_Strength_Intense_Ithaco_Amice(C)'
'2237','ihqfr41','Fine_Intense_Ithaco_Amice(C)'
'2238','ihqfs41','Strong_Intense_Ithaco_Amice(C)'
'2239','ihqft41','Solid_Intense_Ithaco_Amice(C)'
'2240','ihqfu41','Strength_Intense_Ithaco_Amice(C)'
'2241','ihqfv41','Protectoion_Intense_Ithaco_Amice(C)'
'2242','ihqfw41','Vampire_Intense_Ithaco_Amice(C)'
'2243','ihqfx41','Guardian_Intense_Ithaco_Amice(C)'
'2244','ihqfy41','Sharp_Intense_Ithaco_Amice(C)'
'2245','ihqfz41','Endurance_Intense_Ithaco_Amice(C)'
'2246','ihqwq39','Advanced_Strength_Intense_Odins_La_FullHelm(C)'
'2247','ihqwr39','Fine_Intense_Odins_La_FullHelm(C)'
'2248','ihqws39','Strong_Intense_Odins_La_FullHelm(C)'
'2249','ihqwt39','Solid_Intense_Odins_La_FullHelm(C)'
'2250','ihqwu39','Strength_Intense_Odins_La_FullHelm(C)'
'2251','ihqwv39','Protectoion_Intense_Odins_La_FullHelm(C)'
'2252','ihqww39','Vampire_Intense_Odins_La_FullHelm(C)'
'2253','ihqwx39','Guardian_Intense_Odins_La_FullHelm(C)'
'2254','ihqwy39','Sharp_Intense_Odins_La_FullHelm(C)'
'2255','ihqwz39','Endurance_Intense_Odins_La_FullHelm(C)'
'2256','ihqrq39','Advanced_Strength_Intense_Limit_Glow_HeadGear(C)'
'2257','ihqrr39','Fine_Intense_Limit_Glow_HeadGear(C)'
'2258','ihqrs39','Strong_Intense_Limit_Glow_HeadGear(C)'
'2259','ihqrt39','Solid_Intense_Limit_Glow_HeadGear(C)'
'2260','ihqru39','Strength_Intense_Limit_Glow_HeadGear(C)'
'2261','ihqrv39','Protectoion_Intense_Limit_Glow_HeadGear(C)'
'2262','ihqrw39','Vampire_Intense_Limit_Glow_HeadGear(C)'
'2263','ihqrx39','Guardian_Intense_Limit_Glow_HeadGear(C)'
'2264','ihqry39','Sharp_Intense_Limit_Glow_HeadGear(C)'
'2265','ihqrz39','Endurance_Intense_Limit_Glow_HeadGear(C)'
'2266','ihqfq39','Advanced_Strength_Intense_Force_Amice(C)'
'2267','ihqfr39','Fine_Intense_Force_Amice(C)'
'2268','ihqfs39','Strong_Intense_Force_Amice(C)'
'2269','ihqft39','Solid_Intense_Force_Amice(C)'
'2270','ihqfu39','Strength_Intense_Force_Amice(C)'
'2271','ihqfv39','Protectoion_Intense_Force_Amice(C)'
'2272','ihqfw39','Vampire_Intense_Force_Amice(C)'
'2273','ihqfx39','Guardian_Intense_Force_Amice(C)'
'2274','ihqfy39','Sharp_Intense_Force_Amice(C)'
'2275','ihqfz39','Endurance_Intense_Force_Amice(C)'
'2276','ihkwq50','Advanced_Strength_Intense_Golden_FullHelm(C)'
'2277','ihkwr50','Fine_Intense_Golden_FullHelm(C)'
'2278','ihkws50','Strong_Intense_Golden_FullHelm(C)'
'2279','ihkwt50','Solid_Intense_Golden_FullHelm(C)'
'2280','ihkwu50','Strength_Intense_Golden_FullHelm(C)'
'2281','ihkwv50','Protectoion_Intense_Golden_FullHelm(C)'
'2282','ihkww50','Vampire_Intense_Golden_FullHelm(C)'
'2283','ihkwx50','Guardian_Intense_Golden_FullHelm(C)'
'2284','ihkwy50','Sharp_Intense_Golden_FullHelm(C)'
'2285','ihkwz50','Endurance_Intense_Golden_FullHelm(C)'
'2286','ihkrq50','Advanced_Strength_Intense_Fleets_HeadGear(C)'
'2287','ihkrr50','Fine_Intense_Fleets_HeadGear(C)'
'2288','ihkrs50','Strong_Intense_Fleets_HeadGear(C)'
'2289','ihkrt50','Solid_Intense_Fleets_HeadGear(C)'
'2290','ihkru50','Strength_Intense_Fleets_HeadGear(C)'
'2291','ihkrv50','Protectoion_Intense_Fleets_HeadGear(C)'
'2292','ihkrw50','Vampire_Intense_Fleets_HeadGear(C)'
'2293','ihkrx50','Guardian_Intense_Fleets_HeadGear(C)'
'2294','ihkry50','Sharp_Intense_Fleets_HeadGear(C)'
'2295','ihkrz50','Endurance_Intense_Fleets_HeadGear(C)'
'2296','ihkfq50','Advanced_Strength_Intense_Noble_Hora_Amice(C)'
'2297','ihkfr50','Fine_Intense_Noble_Hora_Amice(C)'
'2298','ihkfs50','Strong_Intense_Noble_Hora_Amice(C)'
'2299','ihkft50','Solid_Intense_Noble_Hora_Amice(C)'
'2300','ihkfu50','Strength_Intense_Noble_Hora_Amice(C)'
'2301','ihkfv50','Protectoion_Intense_Noble_Hora_Amice(C)'
'2302','ihkfw50','Vampire_Intense_Noble_Hora_Amice(C)'
'2303','ihkfx50','Guardian_Intense_Noble_Hora_Amice(C)'
'2304','ihkfy50','Sharp_Intense_Noble_Hora_Amice(C)'
'2305','ihkfz50','Endurance_Intense_Noble_Hora_Amice(C)'
'2306','ihkwq47','Advanced_Strength_Intense_Berserker_FullHelm(C)'
'2307','ihkwr47','Fine_Intense_Berserker_FullHelm(C)'
'2308','ihkws47','Strong_Intense_Berserker_FullHelm(C)'
'2309','ihkwt47','Solid_Intense_Berserker_FullHelm(C)'
'2310','ihkwu47','Strength_Intense_Berserker_FullHelm(C)'
'2311','ihkwv47','Protectoion_Intense_Berserker_FullHelm(C)'
'2312','ihkww47','Vampire_Intense_Berserker_FullHelm(C)'
'2313','ihkwx47','Guardian_Intense_Berserker_FullHelm(C)'
'2314','ihkwy47','Sharp_Intense_Berserker_FullHelm(C)'
'2315','ihkwz47','Endurance_Intense_Berserker_FullHelm(C)'
'2316','ihkrq47','Advanced_Strength_Intense_Small_Hora_HeadGear(C)'
'2317','ihkrr47','Fine_Intense_Small_Hora_HeadGear(C)'
'2318','ihkrs47','Strong_Intense_Small_Hora_HeadGear(C)'
'2319','ihkrt47','Solid_Intense_Small_Hora_HeadGear(C)'
'2320','ihkru47','Strength_Intense_Small_Hora_HeadGear(C)'
'2321','ihkrv47','Protectoion_Intense_Small_Hora_HeadGear(C)'
'2322','ihkrw47','Vampire_Intense_Small_Hora_HeadGear(C)'
'2323','ihkrx47','Guardian_Intense_Small_Hora_HeadGear(C)'
'2324','ihkry47','Sharp_Intense_Small_Hora_HeadGear(C)'
'2325','ihkrz47','Endurance_Intense_Small_Hora_HeadGear(C)'
'2326','ihkfq47','Advanced_Strength_Intense_Noble__Amice(C)'
'2327','ihkfr47','Fine_Intense_Noble__Amice(C)'
'2328','ihkfs47','Strong_Intense_Noble__Amice(C)'
'2329','ihkft47','Solid_Intense_Noble__Amice(C)'
'2330','ihkfu47','Strength_Intense_Noble__Amice(C)'
'2331','ihkfv47','Protectoion_Intense_Noble__Amice(C)'
'2332','ihkfw47','Vampire_Intense_Noble__Amice(C)'
'2333','ihkfx47','Guardian_Intense_Noble__Amice(C)'
'2334','ihkfy47','Sharp_Intense_Noble__Amice(C)'
'2335','ihkfz47','Endurance_Intense_Noble__Amice(C)'
'2336','ihkwq45','Advanced_Strength_Intense_Magnetic_FullHelm(C)'
'2337','ihkwr45','Fine_Intense_Magnetic_FullHelm(C)'
'2338','ihkws45','Strong_Intense_Magnetic_FullHelm(C)'
'2339','ihkwt45','Solid_Intense_Magnetic_FullHelm(C)'
'2340','ihkwu45','Strength_Intense_Magnetic_FullHelm(C)'
'2341','ihkwv45','Protectoion_Intense_Magnetic_FullHelm(C)'
'2342','ihkww45','Vampire_Intense_Magnetic_FullHelm(C)'
'2343','ihkwx45','Guardian_Intense_Magnetic_FullHelm(C)'
'2344','ihkwy45','Sharp_Intense_Magnetic_FullHelm(C)'
'2345','ihkwz45','Endurance_Intense_Magnetic_FullHelm(C)'
'2346','ihkrq45','Advanced_Strength_Intense_Dragon_Feather_HeadGear(C)'
'2347','ihkrr45','Fine_Intense_Dragon_Feather_HeadGear(C)'
'2348','ihkrs45','Strong_Intense_Dragon_Feather_HeadGear(C)'
'2349','ihkrt45','Solid_Intense_Dragon_Feather_HeadGear(C)'
'2350','ihkru45','Strength_Intense_Dragon_Feather_HeadGear(C)'
'2351','ihkrv45','Protectoion_Intense_Dragon_Feather_HeadGear(C)'
'2352','ihkrw45','Vampire_Intense_Dragon_Feather_HeadGear(C)'
'2353','ihkrx45','Guardian_Intense_Dragon_Feather_HeadGear(C)'
'2354','ihkry45','Sharp_Intense_Dragon_Feather_HeadGear(C)'
'2355','ihkrz45','Endurance_Intense_Dragon_Feather_HeadGear(C)'
'2356','ihkfq45','Advanced_Strength_Intense_Baal_Amice(C)'
'2357','ihkfr45','Fine_Intense_Baal_Amice(C)'
'2358','ihkfs45','Strong_Intense_Baal_Amice(C)'
'2359','ihkft45','Solid_Intense_Baal_Amice(C)'
'2360','ihkfu45','Strength_Intense_Baal_Amice(C)'
'2361','ihkfv45','Protectoion_Intense_Baal_Amice(C)'
'2362','ihkfw45','Vampire_Intense_Baal_Amice(C)'
'2363','ihkfx45','Guardian_Intense_Baal_Amice(C)'
'2364','ihkfy45','Sharp_Intense_Baal_Amice(C)'
'2365','ihkfz45','Endurance_Intense_Baal_Amice(C)'
'2366','ihkwq43','Advanced_Strength_Intense_Chip_Magnetic_FullHelm(C)'
'2367','ihkwr43','Fine_Intense_Chip_Magnetic_FullHelm(C)'
'2368','ihkws43','Strong_Intense_Chip_Magnetic_FullHelm(C)'
'2369','ihkwt43','Solid_Intense_Chip_Magnetic_FullHelm(C)'
'2370','ihkwu43','Strength_Intense_Chip_Magnetic_FullHelm(C)'
'2371','ihkwv43','Protectoion_Intense_Chip_Magnetic_FullHelm(C)'
'2372','ihkww43','Vampire_Intense_Chip_Magnetic_FullHelm(C)'
'2373','ihkwx43','Guardian_Intense_Chip_Magnetic_FullHelm(C)'
'2374','ihkwy43','Sharp_Intense_Chip_Magnetic_FullHelm(C)'
'2375','ihkwz43','Endurance_Intense_Chip_Magnetic_FullHelm(C)'
'2376','ihkrq43','Advanced_Strength_Intense_Feather_HeadGear(C)'
'2377','ihkrr43','Fine_Intense_Feather_HeadGear(C)'
'2378','ihkrs43','Strong_Intense_Feather_HeadGear(C)'
'2379','ihkrt43','Solid_Intense_Feather_HeadGear(C)'
'2380','ihkru43','Strength_Intense_Feather_HeadGear(C)'
'2381','ihkrv43','Protectoion_Intense_Feather_HeadGear(C)'
'2382','ihkrw43','Vampire_Intense_Feather_HeadGear(C)'
'2383','ihkrx43','Guardian_Intense_Feather_HeadGear(C)'
'2384','ihkry43','Sharp_Intense_Feather_HeadGear(C)'
'2385','ihkrz43','Endurance_Intense_Feather_HeadGear(C)'
'2386','ihkfq43','Advanced_Strength_Intense_Simple_Baal_Amice(C)'
'2387','ihkfr43','Fine_Intense_Simple_Baal_Amice(C)'
'2388','ihkfs43','Strong_Intense_Simple_Baal_Amice(C)'
'2389','ihkft43','Solid_Intense_Simple_Baal_Amice(C)'
'2390','ihkfu43','Strength_Intense_Simple_Baal_Amice(C)'
'2391','ihkfv43','Protectoion_Intense_Simple_Baal_Amice(C)'
'2392','ihkfw43','Vampire_Intense_Simple_Baal_Amice(C)'
'2393','ihkfx43','Guardian_Intense_Simple_Baal_Amice(C)'
'2394','ihkfy43','Sharp_Intense_Simple_Baal_Amice(C)'
'2395','ihkfz43','Endurance_Intense_Simple_Baal_Amice(C)'
'2396','ihkwq41','Advanced_Strength_Intense_Double_Core_FullHelm(C)'
'2397','ihkwr41','Fine_Intense_Double_Core_FullHelm(C)'
'2398','ihkws41','Strong_Intense_Double_Core_FullHelm(C)'
'2399','ihkwt41','Solid_Intense_Double_Core_FullHelm(C)'
'2400','ihkwu41','Strength_Intense_Double_Core_FullHelm(C)'
'2401','ihkwv41','Protectoion_Intense_Double_Core_FullHelm(C)'
'2402','ihkww41','Vampire_Intense_Double_Core_FullHelm(C)'
'2403','ihkwx41','Guardian_Intense_Double_Core_FullHelm(C)'
'2404','ihkwy41','Sharp_Intense_Double_Core_FullHelm(C)'
'2405','ihkwz41','Endurance_Intense_Double_Core_FullHelm(C)'
'2406','ihkrq41','Advanced_Strength_Intense_El_HeadGear(C)'
'2407','ihkrr41','Fine_Intense_El_HeadGear(C)'
'2408','ihkrs41','Strong_Intense_El_HeadGear(C)'
'2409','ihkrt41','Solid_Intense_El_HeadGear(C)'
'2410','ihkru41','Strength_Intense_El_HeadGear(C)'
'2411','ihkrv41','Protectoion_Intense_El_HeadGear(C)'
'2412','ihkrw41','Vampire_Intense_El_HeadGear(C)'
'2413','ihkrx41','Guardian_Intense_El_HeadGear(C)'
'2414','ihkry41','Sharp_Intense_El_HeadGear(C)'
'2415','ihkrz41','Endurance_Intense_El_HeadGear(C)'
'2416','ihkfq41','Advanced_Strength_Intense_Bless_Amice(C)'
'2417','ihkfr41','Fine_Intense_Bless_Amice(C)'
'2418','ihkfs41','Strong_Intense_Bless_Amice(C)'
'2419','ihkft41','Solid_Intense_Bless_Amice(C)'
'2420','ihkfu41','Strength_Intense_Bless_Amice(C)'
'2421','ihkfv41','Protectoion_Intense_Bless_Amice(C)'
'2422','ihkfw41','Vampire_Intense_Bless_Amice(C)'
'2423','ihkfx41','Guardian_Intense_Bless_Amice(C)'
'2424','ihkfy41','Sharp_Intense_Bless_Amice(C)'
'2425','ihkfz41','Endurance_Intense_Bless_Amice(C)'
'2426','ihkwq39','Advanced_Strength_Intense_Core_FullHelm(C)'
'2427','ihkwr39','Fine_Intense_Core_FullHelm(C)'
'2428','ihkws39','Strong_Intense_Core_FullHelm(C)'
'2429','ihkwt39','Solid_Intense_Core_FullHelm(C)'
'2430','ihkwu39','Strength_Intense_Core_FullHelm(C)'
'2431','ihkwv39','Protectoion_Intense_Core_FullHelm(C)'
'2432','ihkww39','Vampire_Intense_Core_FullHelm(C)'
'2433','ihkwx39','Guardian_Intense_Core_FullHelm(C)'
'2434','ihkwy39','Sharp_Intense_Core_FullHelm(C)'
'2435','ihkwz39','Endurance_Intense_Core_FullHelm(C)'
'2436','ihkrq39','Advanced_Strength_Intense_Tiny_El_HeadGear(C)'
'2437','ihkrr39','Fine_Intense_Tiny_El_HeadGear(C)'
'2438','ihkrs39','Strong_Intense_Tiny_El_HeadGear(C)'
'2439','ihkrt39','Solid_Intense_Tiny_El_HeadGear(C)'
'2440','ihkru39','Strength_Intense_Tiny_El_HeadGear(C)'
'2441','ihkrv39','Protectoion_Intense_Tiny_El_HeadGear(C)'
'2442','ihkrw39','Vampire_Intense_Tiny_El_HeadGear(C)'
'2443','ihkrx39','Guardian_Intense_Tiny_El_HeadGear(C)'
'2444','ihkry39','Sharp_Intense_Tiny_El_HeadGear(C)'
'2445','ihkrz39','Endurance_Intense_Tiny_El_HeadGear(C)'
'2446','ihkfq39','Advanced_Strength_Intense_Battle_HeadTie(C)'
'2447','ihkfr39','Fine_Intense_Battle_HeadTie(C)'
'2448','ihkfs39','Strong_Intense_Battle_HeadTie(C)'
'2449','ihkft39','Solid_Intense_Battle_HeadTie(C)'
'2450','ihkfu39','Strength_Intense_Battle_HeadTie(C)'
'2451','ihkfv39','Protectoion_Intense_Battle_HeadTie(C)'
'2452','ihkfw39','Vampire_Intense_Battle_HeadTie(C)'
'2453','ihkfx39','Guardian_Intense_Battle_HeadTie(C)'
'2454','ihkfy39','Sharp_Intense_Battle_HeadTie(C)'
'2455','ihkfz39','Endurance_Intense_Battle_HeadTie(C)'
'2456','ihfwq50','Advanced_Strength_Intense_Temple_Beam_Head(C)'
'2457','ihfwr50','Fine_Intense_Temple_Beam_Head(C)'
'2458','ihfws50','Strong_Intense_Temple_Beam_Head(C)'
'2459','ihfwt50','Solid_Intense_Temple_Beam_Head(C)'
'2460','ihfwu50','Strength_Intense_Temple_Beam_Head(C)'
'2461','ihfwv50','Protectoion_Intense_Temple_Beam_Head(C)'
'2462','ihfww50','Vampire_Intense_Temple_Beam_Head(C)'
'2463','ihfwx50','Guardian_Intense_Temple_Beam_Head(C)'
'2464','ihfwy50','Sharp_Intense_Temple_Beam_Head(C)'
'2465','ihfwz50','Endurance_Intense_Temple_Beam_Head(C)'
'2466','ihfrq50','Advanced_Strength_Intense_Metal_Fur_Head(C)'
'2467','ihfrr50','Fine_Intense_Metal_Fur_Head(C)'
'2468','ihfrs50','Strong_Intense_Metal_Fur_Head(C)'
'2469','ihfrt50','Solid_Intense_Metal_Fur_Head(C)'
'2470','ihfru50','Strength_Intense_Metal_Fur_Head(C)'
'2471','ihfrv50','Protectoion_Intense_Metal_Fur_Head(C)'
'2472','ihfrw50','Vampire_Intense_Metal_Fur_Head(C)'
'2473','ihfrx50','Guardian_Intense_Metal_Fur_Head(C)'
'2474','ihfry50','Sharp_Intense_Metal_Fur_Head(C)'
'2475','ihfrz50','Endurance_Intense_Metal_Fur_Head(C)'
'2476','ihffq50','Advanced_Strength_Intense_EW_Head(C)'
'2477','ihffr50','Fine_Intense_EW_Head(C)'
'2478','ihffs50','Strong_Intense_EW_Head(C)'
'2479','ihfft50','Solid_Intense_EW_Head(C)'
'2480','ihffu50','Strength_Intense_EW_Head(C)'
'2481','ihffv50','Protectoion_Intense_EW_Head(C)'
'2482','ihffw50','Vampire_Intense_EW_Head(C)'
'2483','ihffx50','Guardian_Intense_EW_Head(C)'
'2484','ihffy50','Sharp_Intense_EW_Head(C)'
'2485','ihffz50','Endurance_Intense_EW_Head(C)'
'2486','ihfwq47','Advanced_Strength_Intense_Power_Shoot_Head(C)'
'2487','ihfwr47','Fine_Intense_Power_Shoot_Head(C)'
'2488','ihfws47','Strong_Intense_Power_Shoot_Head(C)'
'2489','ihfwt47','Solid_Intense_Power_Shoot_Head(C)'
'2490','ihfwu47','Strength_Intense_Power_Shoot_Head(C)'
'2491','ihfwv47','Protectoion_Intense_Power_Shoot_Head(C)'
'2492','ihfww47','Vampire_Intense_Power_Shoot_Head(C)'
'2493','ihfwx47','Guardian_Intense_Power_Shoot_Head(C)'
'2494','ihfwy47','Sharp_Intense_Power_Shoot_Head(C)'
'2495','ihfwz47','Endurance_Intense_Power_Shoot_Head(C)'
'2496','ihfrq47','Advanced_Strength_Intense_Hora_Piece_Head(C)'
'2497','ihfrr47','Fine_Intense_Hora_Piece_Head(C)'
'2498','ihfrs47','Strong_Intense_Hora_Piece_Head(C)'
'2499','ihfrt47','Solid_Intense_Hora_Piece_Head(C)'
'2500','ihfru47','Strength_Intense_Hora_Piece_Head(C)'
'2501','ihfrv47','Protectoion_Intense_Hora_Piece_Head(C)'
'2502','ihfrw47','Vampire_Intense_Hora_Piece_Head(C)'
'2503','ihfrx47','Guardian_Intense_Hora_Piece_Head(C)'
'2504','ihfry47','Sharp_Intense_Hora_Piece_Head(C)'
'2505','ihfrz47','Endurance_Intense_Hora_Piece_Head(C)'
'2506','ihffq47','Advanced_Strength_Intense_Normal_EW_Head(C)'
'2507','ihffr47','Fine_Intense_Normal_EW_Head(C)'
'2508','ihffs47','Strong_Intense_Normal_EW_Head(C)'
'2509','ihfft47','Solid_Intense_Normal_EW_Head(C)'
'2510','ihffu47','Strength_Intense_Normal_EW_Head(C)'
'2511','ihffv47','Protectoion_Intense_Normal_EW_Head(C)'
'2512','ihffw47','Vampire_Intense_Normal_EW_Head(C)'
'2513','ihffx47','Guardian_Intense_Normal_EW_Head(C)'
'2514','ihffy47','Sharp_Intense_Normal_EW_Head(C)'
'2515','ihffz47','Endurance_Intense_Normal_EW_Head(C)'
'2516','ihfwq45','Advanced_Strength_Intense_Top_Elloy_Head(C)'
'2517','ihfwr45','Fine_Intense_Top_Elloy_Head(C)'
'2518','ihfws45','Strong_Intense_Top_Elloy_Head(C)'
'2519','ihfwt45','Solid_Intense_Top_Elloy_Head(C)'
'2520','ihfwu45','Strength_Intense_Top_Elloy_Head(C)'
'2521','ihfwv45','Protectoion_Intense_Top_Elloy_Head(C)'
'2522','ihfww45','Vampire_Intense_Top_Elloy_Head(C)'
'2523','ihfwx45','Guardian_Intense_Top_Elloy_Head(C)'
'2524','ihfwy45','Sharp_Intense_Top_Elloy_Head(C)'
'2525','ihfwz45','Endurance_Intense_Top_Elloy_Head(C)'
'2526','ihfrq45','Advanced_Strength_Intense_Vacuum_Head(C)'
'2527','ihfrr45','Fine_Intense_Vacuum_Head(C)'
'2528','ihfrs45','Strong_Intense_Vacuum_Head(C)'
'2529','ihfrt45','Solid_Intense_Vacuum_Head(C)'
'2530','ihfru45','Strength_Intense_Vacuum_Head(C)'
'2531','ihfrv45','Protectoion_Intense_Vacuum_Head(C)'
'2532','ihfrw45','Vampire_Intense_Vacuum_Head(C)'
'2533','ihfrx45','Guardian_Intense_Vacuum_Head(C)'
'2534','ihfry45','Sharp_Intense_Vacuum_Head(C)'
'2535','ihfrz45','Endurance_Intense_Vacuum_Head(C)'
'2536','ihffq45','Advanced_Strength_Intense_Missile_Launcher_Head(C)'
'2537','ihffr45','Fine_Intense_Missile_Launcher_Head(C)'
'2538','ihffs45','Strong_Intense_Missile_Launcher_Head(C)'
'2539','ihfft45','Solid_Intense_Missile_Launcher_Head(C)'
'2540','ihffu45','Strength_Intense_Missile_Launcher_Head(C)'
'2541','ihffv45','Protectoion_Intense_Missile_Launcher_Head(C)'
