'0','iwkna01','Dagger(A)'
'3551','iwbhc01','Fine_Short_Bow'
'3552','iwbhd01','Smart_Short_Bow'
'3553','iwbhe01','Strong_Short_Bow'
'3554','iwbhf01','Solid_Short_Bow'
'3555','iwbhg01','Strength_Short_Bow'
'3556','iwbhh01','Advanced_Strength_Short_Bow'
'3557','iwbhi01','Vampire_Short_Bow'
'3558','iwbhj01','Guardian_Short_Bow'
'3559','iwbhk01','Sharp_Short_Bow'
'3560','iwbhl01','Grand_Short_Bow'
'3561','iwbha02','Wind_Long_Bow'
'3562','iwbhb02','Endurance_Long_Bow'
'3563','iwbhc02','Fine_Long_Bow'
'3564','iwbhd02','Smart_Long_Bow'
'3565','iwbhe02','Strong_Long_Bow'
'3566','iwbhf02','Solid_Long_Bow'
'3567','iwbhg02','Strength_Long_Bow'
'3568','iwbhh02','Advanced_Strength_Long_Bow'
'3569','iwbhi02','Vampire_Long_Bow'
'3570','iwbhj02','Guardian_Long_Bow'
'3571','iwbhk02','Sharp_Long_Bow'
'3572','iwbhl02','Grand_Long_Bow'
'3573','iwbha03','Wind_Battle_Bow'
'3574','iwbhb03','Endurance_Battle_Bow'
'3575','iwbhc03','Fine_Battle_Bow'
'3576','iwbhd03','Smart_Battle_Bow'
'3577','iwbhe03','Strong_Battle_Bow'
'3578','iwbhf03','Solid_Battle_Bow'
'3579','iwbhg03','Strength_Battle_Bow'
'3580','iwbhh03','Advanced_Strength_Battle_Bow'
'3581','iwbhi03','Vampire_Battle_Bow'
'3582','iwbhj03','Guardian_Battle_Bow'
'3583','iwbhk03','Sharp_Battle_Bow'
'3584','iwbhl03','Grand_Battle_Bow'
'3585','iwbha05','Wind_Assembly_Bow'
'3586','iwbhb05','Endurance_Assembly_Bow'
'3587','iwbhc05','Fine_Assembly_Bow'
'3588','iwbhd05','Smart_Assembly_Bow'
'3589','iwbhe05','Strong_Assembly_Bow'
'3590','iwbhf05','Solid_Assembly_Bow'
'3591','iwbhg05','Strength_Assembly_Bow'
'3592','iwbhh05','Advanced_Strength_Assembly_Bow'
'3593','iwbhi05','Vampire_Assembly_Bow'
'3594','iwbhj05','Guardian_Assembly_Bow'
'3595','iwbhk05','Sharp_Assembly_Bow'
'3596','iwbhl05','Grand_Assembly_Bow'
'3597','iwbha07','Wind_Assembly_Long_Bow'
'3598','iwbhb07','Endurance_Assembly_Long_Bow'
'3599','iwbhc07','Fine_Assembly_Long_Bow'
'3600','iwbhd07','Smart_Assembly_Long_Bow'
'3601','iwbhe07','Strong_Assembly_Long_Bow'
'3602','iwbhf07','Solid_Assembly_Long_Bow'
'3603','iwbhg07','Strength_Assembly_Long_Bow'
'3604','iwbhh07','Advanced_Strength_Assembly_Long_Bow'
'3605','iwbhi07','Vampire_Assembly_Long_Bow'
'3606','iwbhj07','Guardian_Assembly_Long_Bow'
'3607','iwbhk07','Sharp_Assembly_Long_Bow'
'3608','iwbhl07','Grand_Assembly_Long_Bow'
'3609','iwbha10','Wind_CrossBow'
'3610','iwbhb10','Endurance_CrossBow'
'3611','iwbhc10','Fine_CrossBow'
'3612','iwbhd10','Smart_CrossBow'
'3613','iwbhe10','Strong_CrossBow'
'3614','iwbhf10','Solid_CrossBow'
'3615','iwbhg10','Strength_CrossBow'
'3616','iwbhh10','Advanced_Strength_CrossBow'
'3617','iwbhi10','Vampire_CrossBow'
'3618','iwbhj10','Guardian_CrossBow'
'3619','iwbhk10','Sharp_CrossBow'
'3620','iwbhl10','Grand_CrossBow'
'3621','iwbha12','Wind_Composite_Bow'
'3622','iwbhb12','Endurance_Composite_Bow'
'3623','iwbhc12','Fine_Composite_Bow'
'3624','iwbhd12','Smart_Composite_Bow'
'3625','iwbhe12','Strong_Composite_Bow'
'3626','iwbhf12','Solid_Composite_Bow'
'3627','iwbhg12','Strength_Composite_Bow'
'3628','iwbhh12','Advanced_Strength_Composite_Bow'
'3629','iwbhi12','Vampire_Composite_Bow'
'3630','iwbhj12','Guardian_Composite_Bow'
'3631','iwbhk12','Sharp_Composite_Bow'
'3632','iwbhl12','Grand_Composite_Bow'
'3633','iwbha15','Wind_Assembly_CrossBow'
'3634','iwbhb15','Endurance_Assembly_CrossBow'
'3635','iwbhc15','Fine_Assembly_CrossBow'
'3636','iwbhd15','Smart_Assembly_CrossBow'
'3637','iwbhe15','Strong_Assembly_CrossBow'
'3638','iwbhf15','Solid_Assembly_CrossBow'
'3639','iwbhg15','Strength_Assembly_CrossBow'
'3640','iwbhh15','Advanced_Strength_Assembly_CrossBow'
'3641','iwbhi15','Vampire_Assembly_CrossBow'
'3642','iwbhj15','Guardian_Assembly_CrossBow'
'3643','iwbhk15','Sharp_Assembly_CrossBow'
'3644','iwbhl15','Grand_Assembly_CrossBow'
'3645','iwbha18','Wind_Tower_Bow'
'3646','iwbhb18','Endurance_Tower_Bow'
'3647','iwbhc18','Fine_Tower_Bow'
'3648','iwbhd18','Smart_Tower_Bow'
'3649','iwbhe18','Strong_Tower_Bow'
'3650','iwbhf18','Solid_Tower_Bow'
'3651','iwbhg18','Strength_Tower_Bow'
'3652','iwbhh18','Advanced_Strength_Tower_Bow'
'3653','iwbhi18','Vampire_Tower_Bow'
'3654','iwbhj18','Guardian_Tower_Bow'
'3655','iwbhk18','Sharp_Tower_Bow'
'3656','iwbhl18','Grand_Tower_Bow'
'3657','iwbha20','Wind_Beam_Bow'
'3658','iwbhb20','Endurance_Beam_Bow'
'3659','iwbhc20','Fine_Beam_Bow'
'3660','iwbhd20','Smart_Beam_Bow'
'3661','iwbhe20','Strong_Beam_Bow'
'3662','iwbhf20','Solid_Beam_Bow'
'3663','iwbhg20','Strength_Beam_Bow'
'3664','iwbhh20','Advanced_Strength_Beam_Bow'
'3665','iwbhi20','Vampire_Beam_Bow'
'3666','iwbhj20','Guardian_Beam_Bow'
'3667','iwbhk20','Sharp_Beam_Bow'
'3668','iwbhl20','Grand_Beam_Bow'
'3669','iwbha22','Wind_Beam_CrossBow'
'3670','iwbhb22','Endurance_Beam_CrossBow'
'3671','iwbhc22','Fine_Beam_CrossBow'
'3672','iwbhd22','Smart_Beam_CrossBow'
'3673','iwbhe22','Strong_Beam_CrossBow'
'3674','iwbhf22','Solid_Beam_CrossBow'
'3675','iwbhg22','Strength_Beam_CrossBow'
'3676','iwbhh22','Advanced_Strength_Beam_CrossBow'
'3677','iwbhi22','Vampire_Beam_CrossBow'
'3678','iwbhj22','Guardian_Beam_CrossBow'
'3679','iwbhk22','Sharp_Beam_CrossBow'
'3680','iwbhl22','Grand_Beam_CrossBow'
'3681','iwbha25','Wind_Beam_Assembly_Long_Bow'
'3682','iwbhb25','Endurance_Beam_Assembly_Long_Bow'
'3683','iwbhc25','Fine_Beam_Assembly_Long_Bow'
'3684','iwbhd25','Smart_Beam_Assembly_Long_Bow'
'3685','iwbhe25','Strong_Beam_Assembly_Long_Bow'
'3686','iwbhf25','Solid_Beam_Assembly_Long_Bow'
'3687','iwbhg25','Strength_Beam_Assembly_Long_Bow'
'3688','iwbhh25','Advanced_Strength_Beam_Assembly_Long_Bow'
'3689','iwbhi25','Vampire_Beam_Assembly_Long_Bow'
'3690','iwbhj25','Guardian_Beam_Assembly_Long_Bow'
'3691','iwbhk25','Sharp_Beam_Assembly_Long_Bow'
'3692','iwbhl25','Grand_Beam_Assembly_Long_Bow'
'3693','iwbha28','Wind_Beam_Assembly_CrossBow'
'3694','iwbhb28','Endurance_Beam_Assembly_CrossBow'
'3695','iwbhc28','Fine_Beam_Assembly_CrossBow'
'3696','iwbhd28','Smart_Beam_Assembly_CrossBow'
'3697','iwbhe28','Strong_Beam_Assembly_CrossBow'
'3698','iwbhf28','Solid_Beam_Assembly_CrossBow'
'3699','iwbhg28','Strength_Beam_Assembly_CrossBow'
'3700','iwbhh28','Advanced_Strength_Beam_Assembly_CrossBow'
'3701','iwbhi28','Vampire_Beam_Assembly_CrossBow'
'3702','iwbhj28','Guardian_Beam_Assembly_CrossBow'
'3703','iwbhk28','Sharp_Beam_Assembly_CrossBow'
'3704','iwbhl28','Grand_Beam_Assembly_CrossBow'
'3705','iwbha30','Wind_Siege_Bow'
'3706','iwbhb30','Endurance_Siege_Bow'
'3707','iwbhc30','Fine_Siege_Bow'
'3708','iwbhd30','Smart_Siege_Bow'
'3709','iwbhe30','Strong_Siege_Bow'
'3710','iwbhf30','Solid_Siege_Bow'
'3711','iwbhg30','Strength_Siege_Bow'
'3712','iwbhh30','Advanced_Strength_Siege_Bow'
'3713','iwbhi30','Vampire_Siege_Bow'
'3714','iwbhj30','Guardian_Siege_Bow'
'3715','iwbhk30','Sharp_Siege_Bow'
'3716','iwbhl30','Grand_Siege_Bow'
'3717','iwbha35','Wind_Gun_Bow'
'3718','iwbhb35','Endurance_Gun_Bow'
'3719','iwbhc35','Fine_Gun_Bow'
'3720','iwbhd35','Smart_Gun_Bow'
'3721','iwbhe35','Strong_Gun_Bow'
'3722','iwbhf35','Solid_Gun_Bow'
'3723','iwbhg35','Strength_Gun_Bow'
'3724','iwbhh35','Advanced_Strength_Gun_Bow'
'3725','iwbhi35','Vampire_Gun_Bow'
'3726','iwbhj35','Guardian_Gun_Bow'
'3727','iwbhk35','Sharp_Gun_Bow'
'3728','iwbhl35','Grand_Gun_Bow'
'3729','iwbha40','Wind_Beam_Siege_Bow'
'3730','iwbhb40','Endurance_Beam_Siege_Bow'
'3731','iwbhc40','Fine_Beam_Siege_Bow'
'3732','iwbhd40','Smart_Beam_Siege_Bow'
'3733','iwbhe40','Strong_Beam_Siege_Bow'
'3734','iwbhf40','Solid_Beam_Siege_Bow'
'3735','iwbhg40','Strength_Beam_Siege_Bow'
'3736','iwbhh40','Advanced_Strength_Beam_Siege_Bow'
'3737','iwbhi40','Vampire_Beam_Siege_Bow'
'3738','iwbhj40','Guardian_Beam_Siege_Bow'
'3739','iwbhk40','Sharp_Beam_Siege_Bow'
'3740','iwbhl40','Grand_Beam_Siege_Bow'
'3741','iwbha45','Wind_Beam_Gun_Bow'
'3742','iwbhb45','Endurance_Beam_Gun_Bow'
'3743','iwbhc45','Fine_Beam_Gun_Bow'
'3744','iwbhd45','Smart_Beam_Gun_Bow'
'3745','iwbhe45','Strong_Beam_Gun_Bow'
'3746','iwbhf45','Solid_Beam_Gun_Bow'
'3747','iwbhg45','Strength_Beam_Gun_Bow'
'3748','iwbhh45','Advanced_Strength_Beam_Gun_Bow'
'3749','iwbhi45','Vampire_Beam_Gun_Bow'
'3750','iwbhj45','Guardian_Beam_Gun_Bow'
'3751','iwbhk45','Sharp_Beam_Gun_Bow'
'3752','iwbhl45','Grand_Beam_Gun_Bow'
'3753','iwbha50','Wind_Hora_Bow'
'3754','iwbhb50','Endurance_Hora_Bow'
'3755','iwbhc50','Fine_Hora_Bow'
'3756','iwbhd50','Smart_Hora_Bow'
'3757','iwbhe50','Strong_Hora_Bow'
'3758','iwbhf50','Solid_Hora_Bow'
'3759','iwbhg50','Strength_Hora_Bow'
'3760','iwbhh50','Advanced_Strength_Hora_Bow'
'3761','iwbhi50','Vampire_Hora_Bow'
'3762','iwbhj50','Guardian_Hora_Bow'
'3763','iwbhk50','Sharp_Hora_Bow'
'3764','iwbhl50','Grand_Hora_Bow'
'3765','iwuha01','Wind_Launcher1'
'3766','iwuhb01','Endurance_Launcher1'
'3767','iwuhc01','Fine_Launcher1'
'3768','iwuhd01','Smart_Launcher1'
'3769','iwuhe01','Strong_Launcher1'
'3770','iwuhf01','Solid_Launcher1'
'3771','iwuhg01','Strength_Launcher1'
'3772','iwuhh01','Advanced_Strength_Launcher1'
'3773','iwuhi01','Vampire_Launcher1'
'3774','iwuhj01','Guardian_Launcher1'
'3775','iwuhk01','Sharp_Launcher1'
'3776','iwuhl01','Grand_Launcher1'
'3777','iwuha02','Wind_Launcher2'
'3778','iwuhb02','Endurance_Launcher2'
'3779','iwuhc02','Fine_Launcher2'
'3780','iwuhd02','Smart_Launcher2'
'3781','iwuhe02','Strong_Launcher2'
'3782','iwuhf02','Solid_Launcher2'
'3783','iwuhg02','Strength_Launcher2'
'3784','iwuhh02','Advanced_Strength_Launcher2'
'3785','iwuhi02','Vampire_Launcher2'
'3786','iwuhj02','Guardian_Launcher2'
'3787','iwuhk02','Sharp_Launcher2'
'3788','iwuhl02','Grand_Launcher2'
'3789','iwuha03','Wind_Launcher3'
'3790','iwuhb03','Endurance_Launcher3'
'3791','iwuhc03','Fine_Launcher3'
'3792','iwuhd03','Smart_Launcher3'
'3793','iwuhe03','Strong_Launcher3'
'3794','iwuhf03','Solid_Launcher3'
'3795','iwuhg03','Strength_Launcher3'
'3796','iwuhh03','Advanced_Strength_Launcher3'
'3797','iwuhi03','Vampire_Launcher3'
'3798','iwuhj03','Guardian_Launcher3'
'3799','iwuhk03','Sharp_Launcher3'
'3800','iwuhl03','Grand_Launcher3'
'3801','iwuha05','Wind_Launcher5'
'3802','iwuhb05','Endurance_Launcher5'
'3803','iwuhc05','Fine_Launcher5'
'3804','iwuhd05','Smart_Launcher5'
'3805','iwuhe05','Strong_Launcher5'
'3806','iwuhf05','Solid_Launcher5'
'3807','iwuhg05','Strength_Launcher5'
'3808','iwuhh05','Advanced_Strength_Launcher5'
'3809','iwuhi05','Vampire_Launcher5'
'3810','iwuhj05','Guardian_Launcher5'
'3811','iwuhk05','Sharp_Launcher5'
'3812','iwuhl05','Grand_Launcher5'
'3813','iwuha07','Wind_Launcher7'
'3814','iwuhb07','Endurance_Launcher7'
'3815','iwuhc07','Fine_Launcher7'
'3816','iwuhd07','Smart_Launcher7'
'3817','iwuhe07','Strong_Launcher7'
'3818','iwuhf07','Solid_Launcher7'
'3819','iwuhg07','Strength_Launcher7'
'3820','iwuhh07','Advanced_Strength_Launcher7'
'3821','iwuhi07','Vampire_Launcher7'
'3822','iwuhj07','Guardian_Launcher7'
'3823','iwuhk07','Sharp_Launcher7'
'3824','iwuhl07','Grand_Launcher7'
'3825','iwuha10','Wind_Launcher10'
'3826','iwuhb10','Endurance_Launcher10'
'3827','iwuhc10','Fine_Launcher10'
'3828','iwuhd10','Smart_Launcher10'
'3829','iwuhe10','Strong_Launcher10'
'3830','iwuhf10','Solid_Launcher10'
'3831','iwuhg10','Strength_Launcher10'
'3832','iwuhh10','Advanced_Strength_Launcher10'
'3833','iwuhi10','Vampire_Launcher10'
'3834','iwuhj10','Guardian_Launcher10'
'3835','iwuhk10','Sharp_Launcher10'
'3836','iwuhl10','Grand_Launcher10'
'3837','iwuha12','Wind_Launcher12'
'3838','iwuhb12','Endurance_Launcher12'
'3839','iwuhc12','Fine_Launcher12'
'3840','iwuhd12','Smart_Launcher12'
'3841','iwuhe12','Strong_Launcher12'
'3842','iwuhf12','Solid_Launcher12'
'3843','iwuhg12','Strength_Launcher12'
'3844','iwuhh12','Advanced_Strength_Launcher12'
'3845','iwuhi12','Vampire_Launcher12'
'3846','iwuhj12','Guardian_Launcher12'
'3847','iwuhk12','Sharp_Launcher12'
'3848','iwuhl12','Grand_Launcher12'
'3849','iwuha15','Wind_Mini_Rocket_Launcher'
'3850','iwuhb15','Endurance_Mini_Rocket_Launcher'
'3851','iwuhc15','Fine_Mini_Rocket_Launcher'
'3852','iwuhd15','Smart_Mini_Rocket_Launcher'
'3853','iwuhe15','Strong_Mini_Rocket_Launcher'
'3854','iwuhf15','Solid_Mini_Rocket_Launcher'
'3855','iwuhg15','Strength_Mini_Rocket_Launcher'
'3856','iwuhh15','Advanced_Strength_Mini_Rocket_Launcher'
'3857','iwuhi15','Vampire_Mini_Rocket_Launcher'
'3858','iwuhj15','Guardian_Mini_Rocket_Launcher'
'3859','iwuhk15','Sharp_Mini_Rocket_Launcher'
'3860','iwuhl15','Grand_Mini_Rocket_Launcher'
'3861','iwuha18','Wind_Rocket_Launcher'
'3862','iwuhb18','Endurance_Rocket_Launcher'
'3863','iwuhc18','Fine_Rocket_Launcher'
'3864','iwuhd18','Smart_Rocket_Launcher'
'3865','iwuhe18','Strong_Rocket_Launcher'
'3866','iwuhf18','Solid_Rocket_Launcher'
'3867','iwuhg18','Strength_Rocket_Launcher'
'3868','iwuhh18','Advanced_Strength_Rocket_Launcher'
'3869','iwuhi18','Vampire_Rocket_Launcher'
'3870','iwuhj18','Guardian_Rocket_Launcher'
'3871','iwuhk18','Sharp_Rocket_Launcher'
'3872','iwuhl18','Grand_Rocket_Launcher'
'3873','iwuha20','Wind_Redeemer'
'3874','iwuhb20','Endurance_Redeemer'
'3875','iwuhc20','Fine_Redeemer'
'3876','iwuhd20','Smart_Redeemer'
'3877','iwuhe20','Strong_Redeemer'
'3878','iwuhf20','Solid_Redeemer'
'3879','iwuhg20','Strength_Redeemer'
'3880','iwuhh20','Advanced_Strength_Redeemer'
'3881','iwuhi20','Vampire_Redeemer'
'3882','iwuhj20','Guardian_Redeemer'
'3883','iwuhk20','Sharp_Redeemer'
'3884','iwuhl20','Grand_Redeemer'
'3885','iwuha22','Wind_Intense_Launcher22'
'3886','iwuhb22','Endurance_Intense_Launcher22'
'3887','iwuhc22','Fine_Intense_Launcher22'
'3888','iwuhd22','Smart_Intense_Launcher22'
'3889','iwuhe22','Strong_Intense_Launcher22'
'3890','iwuhf22','Solid_Intense_Launcher22'
'3891','iwuhg22','Strength_Intense_Launcher22'
'3892','iwuhh22','Advanced_Strength_Intense_Launcher22'
'3893','iwuhi22','Vampire_Intense_Launcher22'
'3894','iwuhj22','Guardian_Intense_Launcher22'
'3895','iwuhk22','Sharp_Intense_Launcher22'
'3896','iwuhl22','Grand_Intense_Launcher22'
'3897','iwuha25','Wind_Roburite_Shooter'
'3898','iwuhb25','Endurance_Roburite_Shooter'
'3899','iwuhc25','Fine_Roburite_Shooter'
'3900','iwuhd25','Smart_Roburite_Shooter'
'3901','iwuhe25','Strong_Roburite_Shooter'
'3902','iwuhf25','Solid_Roburite_Shooter'
'3903','iwuhg25','Strength_Roburite_Shooter'
'3904','iwuhh25','Advanced_Strength_Roburite_Shooter'
'3905','iwuhi25','Vampire_Roburite_Shooter'
'3906','iwuhj25','Guardian_Roburite_Shooter'
'3907','iwuhk25','Sharp_Roburite_Shooter'
'3908','iwuhl25','Grand_Roburite_Shooter'
'3909','iwuha28','Wind_Launcher28'
'3910','iwuhb28','Endurance_Launcher28'
'3911','iwuhc28','Fine_Launcher28'
'3912','iwuhd28','Smart_Launcher28'
'3913','iwuhe28','Strong_Launcher28'
'3914','iwuhf28','Solid_Launcher28'
'3915','iwuhg28','Strength_Launcher28'
'3916','iwuhh28','Advanced_Strength_Launcher28'
'3917','iwuhi28','Vampire_Launcher28'
'3918','iwuhj28','Guardian_Launcher28'
'3919','iwuhk28','Sharp_Launcher28'
'3920','iwuhl28','Grand_Launcher28'
'3921','iwuha30','Wind_Cannon'
'3922','iwuhb30','Endurance_Cannon'
'3923','iwuhc30','Fine_Cannon'
'3924','iwuhd30','Smart_Cannon'
'3925','iwuhe30','Strong_Cannon'
'3926','iwuhf30','Solid_Cannon'
'3927','iwuhg30','Strength_Cannon'
'3928','iwuhh30','Advanced_Strength_Cannon'
'3929','iwuhi30','Vampire_Cannon'
'3930','iwuhj30','Guardian_Cannon'
'3931','iwuhk30','Sharp_Cannon'
'3932','iwuhl30','Grand_Cannon'
'3933','iwuha35','Wind_Bazooka'
'3934','iwuhb35','Endurance_Bazooka'
'3935','iwuhc35','Fine_Bazooka'
'3936','iwuhd35','Smart_Bazooka'
'3937','iwuhe35','Strong_Bazooka'
'3938','iwuhf35','Solid_Bazooka'
'3939','iwuhg35','Strength_Bazooka'
'3940','iwuhh35','Advanced_Strength_Bazooka'
'3941','iwuhi35','Vampire_Bazooka'
'3942','iwuhj35','Guardian_Bazooka'
'3943','iwuhk35','Sharp_Bazooka'
'3944','iwuhl35','Grand_Bazooka'
'3945','iwuha40','Wind_Launcher40'
'3946','iwuhb40','Endurance_Launcher40'
'3947','iwuhc40','Fine_Launcher40'
'3948','iwuhd40','Smart_Launcher40'
'3949','iwuhe40','Strong_Launcher40'
'3950','iwuhf40','Solid_Launcher40'
'3951','iwuhg40','Strength_Launcher40'
'3952','iwuhh40','Advanced_Strength_Launcher40'
'3953','iwuhi40','Vampire_Launcher40'
'3954','iwuhj40','Guardian_Launcher40'
'3955','iwuhk40','Sharp_Launcher40'
'3956','iwuhl40','Grand_Launcher40'
'3957','iwuha45','Wind_Missile_Launcher'
'3958','iwuhb45','Endurance_Missile_Launcher'
'3959','iwuhc45','Fine_Missile_Launcher'
'3960','iwuhd45','Smart_Missile_Launcher'
'3961','iwuhe45','Strong_Missile_Launcher'
'3962','iwuhf45','Solid_Missile_Launcher'
'3963','iwuhg45','Strength_Missile_Launcher'
'3964','iwuhh45','Advanced_Strength_Missile_Launcher'
'3965','iwuhi45','Vampire_Missile_Launcher'
'3966','iwuhj45','Guardian_Missile_Launcher'
'3967','iwuhk45','Sharp_Missile_Launcher'
'3968','iwuhl45','Grand_Missile_Launcher'
'3969','iwuha50','Wind_Launcher50'
'3970','iwuhb50','Endurance_Launcher50'
'3971','iwuhc50','Fine_Launcher50'
'3972','iwuhd50','Smart_Launcher50'
'3973','iwuhe50','Strong_Launcher50'
'3974','iwuhf50','Solid_Launcher50'
'3975','iwuhg50','Strength_Launcher50'
'3976','iwuhh50','Advanced_Strength_Launcher50'
'3977','iwuhi50','Vampire_Launcher50'
'3978','iwuhj50','Guardian_Launcher50'
'3979','iwuhk50','Sharp_Launcher50'
'3980','iwuhl50','Grand_Launcher50'
'3981','iwaha01','Wind_Faust1'
'3982','iwahb01','Endurance_Faust1'
'3983','iwahc01','Fine_Faust1'
'3984','iwahd01','Smart_Faust1'
'3985','iwahe01','Strong_Faust1'
'3986','iwahf01','Solid_Faust1'
'3987','iwahg01','Strength_Faust1'
'3988','iwahh01','Advanced_Strength_Faust1'
'3989','iwahi01','Vampire_Faust1'
'3990','iwahj01','Guardian_Faust1'
'3991','iwahk01','Sharp_Faust1'
'3992','iwahl01','Grand_Faust1'
'3993','iwaha02','Wind_Faust2'
'3994','iwahb02','Endurance_Faust2'
'3995','iwahc02','Fine_Faust2'
'3996','iwahd02','Smart_Faust2'
'3997','iwahe02','Strong_Faust2'
'3998','iwahf02','Solid_Faust2'
'3999','iwahg02','Strength_Faust2'
'4000','iwahh02','Advanced_Strength_Faust2'
'4001','iwahi02','Vampire_Faust2'
'4002','iwahj02','Guardian_Faust2'
'4003','iwahk02','Sharp_Faust2'
'4004','iwahl02','Grand_Faust2'
'4005','iwaha03','Wind_Faust3'
'4006','iwahb03','Endurance_Faust3'
'4007','iwahc03','Fine_Faust3'
'4008','iwahd03','Smart_Faust3'
'4009','iwahe03','Strong_Faust3'
'4010','iwahf03','Solid_Faust3'
'4011','iwahg03','Strength_Faust3'
'4012','iwahh03','Advanced_Strength_Faust3'
'4013','iwahi03','Vampire_Faust3'
'4014','iwahj03','Guardian_Faust3'
'4015','iwahk03','Sharp_Faust3'
'4016','iwahl03','Grand_Faust3'
'4017','iwaha05','Wind_Faust5'
'4018','iwahb05','Endurance_Faust5'
'4019','iwahc05','Fine_Faust5'
'4020','iwahd05','Smart_Faust5'
'4021','iwahe05','Strong_Faust5'
'4022','iwahf05','Solid_Faust5'
'4023','iwahg05','Strength_Faust5'
'4024','iwahh05','Advanced_Strength_Faust5'
'4025','iwahi05','Vampire_Faust5'
'4026','iwahj05','Guardian_Faust5'
'4027','iwahk05','Sharp_Faust5'
'4028','iwahl05','Grand_Faust5'
'4029','iwaha07','Wind_Faust7'
'4030','iwahb07','Endurance_Faust7'
'4031','iwahc07','Fine_Faust7'
'4032','iwahd07','Smart_Faust7'
'4033','iwahe07','Strong_Faust7'
'4034','iwahf07','Solid_Faust7'
'4035','iwahg07','Strength_Faust7'
'4036','iwahh07','Advanced_Strength_Faust7'
'4037','iwahi07','Vampire_Faust7'
'4038','iwahj07','Guardian_Faust7'
'4039','iwahk07','Sharp_Faust7'
'4040','iwahl07','Grand_Faust7'
'4041','iwaha10','Wind_Faust10'
'4042','iwahb10','Endurance_Faust10'
'4043','iwahc10','Fine_Faust10'
'4044','iwahd10','Smart_Faust10'
'4045','iwahe10','Strong_Faust10'
'4046','iwahf10','Solid_Faust10'
'4047','iwahg10','Strength_Faust10'
'4048','iwahh10','Advanced_Strength_Faust10'
'4049','iwahi10','Vampire_Faust10'
'4050','iwahj10','Guardian_Faust10'
'4051','iwahk10','Sharp_Faust10'
'4052','iwahl10','Grand_Faust10'
'4053','iwaha12','Wind_Faust12'
'4054','iwahb12','Endurance_Faust12'
'4055','iwahc12','Fine_Faust12'
'4056','iwahd12','Smart_Faust12'
'4057','iwahe12','Strong_Faust12'
'4058','iwahf12','Solid_Faust12'
'4059','iwahg12','Strength_Faust12'
'4060','iwahh12','Advanced_Strength_Faust12'
'4061','iwahi12','Vampire_Faust12'
'4062','iwahj12','Guardian_Faust12'
'4063','iwahk12','Sharp_Faust12'
'4064','iwahl12','Grand_Faust12'
'4065','iwaha15','Wind_Faust15'
'4066','iwahb15','Endurance_Faust15'
'4067','iwahc15','Fine_Faust15'
'4068','iwahd15','Smart_Faust15'
'4069','iwahe15','Strong_Faust15'
'4070','iwahf15','Solid_Faust15'
'4071','iwahg15','Strength_Faust15'
'4072','iwahh15','Advanced_Strength_Faust15'
'4073','iwahi15','Vampire_Faust15'
'4074','iwahj15','Guardian_Faust15'
'4075','iwahk15','Sharp_Faust15'
'4076','iwahl15','Grand_Faust15'
'4077','iwaha18','Wind_Faust18'
'4078','iwahb18','Endurance_Faust18'
'4079','iwahc18','Fine_Faust18'
'4080','iwahd18','Smart_Faust18'
'4081','iwahe18','Strong_Faust18'
'4082','iwahf18','Solid_Faust18'
'4083','iwahg18','Strength_Faust18'
'4084','iwahh18','Advanced_Strength_Faust18'
'4085','iwahi18','Vampire_Faust18'
'4086','iwahj18','Guardian_Faust18'
'4087','iwahk18','Sharp_Faust18'
'4088','iwahl18','Grand_Faust18'
'4089','iwaha20','Wind_Faust20'
'4090','iwahb20','Endurance_Faust20'
'4091','iwahc20','Fine_Faust20'
'4092','iwahd20','Smart_Faust20'
'4093','iwahe20','Strong_Faust20'
'4094','iwahf20','Solid_Faust20'
'4095','iwahg20','Strength_Faust20'
'4096','iwahh20','Advanced_Strength_Faust20'
'4097','iwahi20','Vampire_Faust20'
'4098','iwahj20','Guardian_Faust20'
'4099','iwahk20','Sharp_Faust20'
'4100','iwahl20','Grand_Faust20'
'4101','iwaha22','Wind_Faust22'
'4102','iwahb22','Endurance_Faust22'
'4103','iwahc22','Fine_Faust22'
'4104','iwahd22','Smart_Faust22'
'4105','iwahe22','Strong_Faust22'
'4106','iwahf22','Solid_Faust22'
'4107','iwahg22','Strength_Faust22'
'4108','iwahh22','Advanced_Strength_Faust22'
'4109','iwahi22','Vampire_Faust22'
'4110','iwahj22','Guardian_Faust22'
'4111','iwahk22','Sharp_Faust22'
'4112','iwahl22','Grand_Faust22'
'4113','iwaha25','Wind_Faust25'
'4114','iwahb25','Endurance_Faust25'
'4115','iwahc25','Fine_Faust25'
'4116','iwahd25','Smart_Faust25'
'4117','iwahe25','Strong_Faust25'
'4118','iwahf25','Solid_Faust25'
'4119','iwahg25','Strength_Faust25'
'4120','iwahh25','Advanced_Strength_Faust25'
'4121','iwahi25','Vampire_Faust25'
'4122','iwahj25','Guardian_Faust25'
'4123','iwahk25','Sharp_Faust25'
'4124','iwahl25','Grand_Faust25'
'4125','iwaha28','Wind_Mini_Faust'
'4126','iwahb28','Endurance_Mini_Faust'
'4127','iwahc28','Fine_Mini_Faust'
'4128','iwahd28','Smart_Mini_Faust'
'4129','iwahe28','Strong_Mini_Faust'
'4130','iwahf28','Solid_Mini_Faust'
'4131','iwahg28','Strength_Mini_Faust'
'4132','iwahh28','Advanced_Strength_Mini_Faust'
