'0','iabba01','Fire_Parsal_AppendixA(1)'
'579','iaaaa68','Tera_Double_HeadsetE(5)'
'580','iaaaa69','Tera_Double_HeadsetF(6)'
'581','iaaaa70','Tera_Double_HeadsetG(7)'
'582','iaaaa71','Tera_Hue_HeadsetA(1)'
'583','iaaaa72','Tera_Hue_HeadsetB(2)'
'584','iaaaa73','Tera_Hue_HeadsetC(3)'
'585','iaaaa74','Tera_Hue_HeadsetD(4)'
'586','iaaaa75','Tera_Hue_HeadsetE(5)'
'587','iaaaa76','Tera_Hue_HeadsetF(6)'
'588','iaaaa77','Tera_Hue_HeadsetG(7)'
'589','iaaaa78','Fire_Hue_HeadsetA(1)'
'590','iaaaa79','Fire_Hue_HeadsetB(2)'
'591','iaaaa80','Fire_Hue_HeadsetC(3)'
'592','iaaaa81','Fire_Hue_HeadsetD(4)'
'593','iaaaa82','Fire_Hue_HeadsetE(5)'
'594','iaaaa83','Fire_Hue_HeadsetF(6)'
'595','iaaaa84','Fire_Hue_HeadsetG(7)'
'596','iaaaa85','Wind_Hue_HeadsetA(1)'
'597','iaaaa86','Wind_Hue_HeadsetB(2)'
'598','iaaaa87','Wind_Hue_HeadsetC(3)'
'599','iaaaa88','Wind_Hue_HeadsetD(4)'
'600','iaaaa89','Wind_Hue_HeadsetE(5)'
'601','iaaaa90','Wind_Hue_HeadsetF(6)'
'602','iaaaa91','Wind_Hue_HeadsetG(7)'
'603','iaaaa92','Aqua_Hue_HeadsetA(1)'
'604','iaaaa93','Aqua_Hue_HeadsetB(2)'
'605','iaaaa94','Aqua_Hue_HeadsetC(3)'
'606','iaaaa95','Aqua_Hue_HeadsetD(4)'
'607','iaaaa96','Aqua_Hue_HeadsetE(5)'
'608','iaaaa97','Aqua_Hue_HeadsetF(6)'
'609','iaaaa98','Aqua_Hue_HeadsetG(7)'
'610','iaaaa99','Wind_Burn_HeadsetA(1)'
'611','iaaab01','Wind_Burn_HeadsetB(2)'
'612','iaaab02','Wind_Burn_HeadsetC(3)'
'613','iaaab03','Wind_Burn_HeadsetD(4)'
'614','iaaab04','Wind_Burn_HeadsetE(5)'
'615','iaaab05','Wind_Burn_HeadsetF(6)'
'616','iaaab06','Wind_Burn_HeadsetG(7)'
'617','iaaab07','Aqua_Burn_HeadsetA(1)'
'618','iaaab08','Aqua_Burn_HeadsetB(2)'
'619','iaaab09','Aqua_Burn_HeadsetC(3)'
'620','iaaab10','Aqua_Burn_HeadsetD(4)'
'621','iaaab11','Aqua_Burn_HeadsetE(5)'
'622','iaaab12','Aqua_Burn_HeadsetF(6)'
'623','iaaab13','Aqua_Burn_HeadsetG(7)'
'624','iaaab14','Fire_Power_HeadsetA(1)'
'625','iaaab15','Fire_Power_HeadsetB(2)'
'626','iaaab16','Fire_Power_HeadsetC(3)'
'627','iaaab17','Fire_Power_HeadsetD(4)'
'628','iaaab18','Fire_Power_HeadsetE(5)'
'629','iaaab19','Fire_Power_HeadsetF(6)'
'630','iaaab20','Fire_Power_HeadsetG(7)'
'631','iaaab21','Aqua_Power_HeadsetA(1)'
'632','iaaab22','Aqua_Power_HeadsetB(2)'
'633','iaaab23','Aqua_Power_HeadsetC(3)'
'634','iaaab24','Aqua_Power_HeadsetD(4)'
'635','iaaab25','Aqua_Power_HeadsetE(5)'
'636','iaaab26','Aqua_Power_HeadsetF(6)'
'637','iaaab27','Aqua_Power_HeadsetG(7)'
'638','iaaab28','Fire_Top_HeadsetA(1)'
'639','iaaab29','Fire_Top_HeadsetB(2)'
'640','iaaab30','Fire_Top_HeadsetC(3)'
'641','iaaab31','Fire_Top_HeadsetD(4)'
'642','iaaab32','Fire_Top_HeadsetE(5)'
'643','iaaab33','Fire_Top_HeadsetF(6)'
'644','iaaab34','Fire_Top_HeadsetG(7)'
'645','iaaab35','Elemental_Normal_Headset(Rare1-1)'
'646','iaaab36','Elemental_Normal_Headset(Rare1-2)'
'647','iaaab37','Elemental_Normal_Headset(Rare1-3)'
'648','iaaab38','Elemental_Normal_Headset(Rare1-4)'
'649','iaaab39','Elemental_Normal_Headset(Rare1-5)'
'650','iaaab40','Elemental_Normal_Headset(Rare1-6)'
'651','iaaab41','Elemental_Normal_Headset(Rare1-7)'
'652','iaaab42','Elemental_Normal_Headset(Rare1-8)'
'653','iaaab43','Elemental_Pliant_Headset(Rare1-1)'
'654','iaaab44','Elemental_Pliant_Headset(Rare1-2)'
'655','iaaab45','Elemental_Pliant_Headset(Rare1-3)'
'656','iaaab46','Elemental_Pliant_Headset(Rare1-4)'
'657','iaaab47','Elemental_Pliant_Headset(Rare1-5)'
'658','iaaab48','Elemental_Pliant_Headset(Rare1-6)'
'659','iaaab49','Elemental_Pliant_Headset(Rare1-7)'
'660','iaaab50','Elemental_Pliant_Headset(Rare1-8)'
'661','iaaab51','Elemental_Hue_Headset(Rare1-1)'
'662','iaaab52','Elemental_Hue_Headset(Rare1-2)'
'663','iaaab53','Elemental_Hue_Headset(Rare1-3)'
'664','iaaab54','Elemental_Hue_Headset(Rare1-4)'
'665','iaaab55','Elemental_Hue_Headset(Rare1-5)'
'666','iaaab56','Elemental_Hue_Headset(Rare1-6)'
'667','iaaab57','Elemental_Hue_Headset(Rare1-7)'
'668','iaaab58','Elemental_Hue_Headset(Rare1-8)'
'669','iaaab59','Elemental_Power_Headset(Rare1-1)'
'670','iaaab60','Elemental_Power_Headset(Rare1-2)'
'671','iaaab61','Elemental_Power_Headset(Rare1-3)'
'672','iaaab62','Elemental_Power_Headset(Rare1-4)'
'673','iaaab63','Elemental_Power_Headset(Rare1-5)'
'674','iaaab64','Elemental_Power_Headset(Rare1-6)'
'675','iaaab65','Elemental_Power_Headset(Rare1-7)'
'676','iaaab66','Elemental_Power_Headset(Rare1-8)'
'677','iaapc01','Amulet_for_PC_café_only'
'678','iaapc02','Amulet_for_PC_café_only'
'679','iaapc03','Amulet_for_PC_café_only'
'680','iaaab70','Accretia_Headset169'
'681','iaaab71','Accretia_Headset170'
'682','iaaab72','Accretia_Headset171'
'683','iaaab73','Accretia_Headset172'
'684','iaaab74','Accretia_Headset173'
'685','iaaab75','Accretia_Headset174'
'686','iaaab76','Accretia_Headset175'
'687','iaaab77','Accretia_Headset176'
'688','iaaab78','Accretia_Headset177'
'689','iaaab79','Accretia_Headset178'
'690','iaaab80','Accretia_Headset179'
'691','iaaab81','Accretia_Headset180'
'692','iaaab82','Accretia_Headset181'
'693','iaaab83','Accretia_Headset182'
'694','iaaab84','Accretia_Headset183'
'695','iaaab85','Accretia_Headset184'
'696','iaaab86','Accretia_Headset185'
'697','iaaab87','Accretia_Headset186'
'698','iaaab88','Accretia_Headset187'
'699','iaaab89','Accretia_Headset188'
'700','iaaab90','Accretia_Headset189'
'701','iaaab91','Accretia_Headset190'
'702','iaaab92','Accretia_Headset191'
'703','iaaab93','Accretia_Headset192'
'704','iaaab94','Accretia_Headset193'
'705','iaaab95','Accretia_Headset194'
'706','iaaab96','Accretia_Headset195'
'707','iaaab97','Accretia_Headset196'
'708','iaaab98','Accretia_Headset197'
'709','iaaab99','Accretia_Headset198'
'710','iaaac01','Accretia_Headset199'
'711','iaaac02','Accretia_Headset200'
'712','iaaac03','Accretia_Headset201'
'713','iaaac04','Accretia_Headset202'
'714','iaaac05','Accretia_Headset203'
'715','iaaac06','Accretia_Headset204'
'716','iaaac07','Accretia_Headset205'
'717','iaaac08','Accretia_Headset206'
'718','iaaac09','Accretia_Headset207'
'719','iaaac10','Accretia_Headset208'
'720','iaaac11','Accretia_Headset209'
'721','iaaac12','Accretia_Headset210'
'722','iaaac13','Accretia_Headset211'
'723','iaaac14','Accretia_Headset212'
'724','iaaac15','Accretia_Headset213'
'725','iaaac16','Accretia_Headset214'
'726','iaaac17','Accretia_Headset215'
'727','iaaac18','Accretia_Headset216'
'728','iaaac19','Accretia_Headset217'
'729','iaaac20','Accretia_Headset218'
'730','iaaac21','Accretia_Headset219'
'731','iaaac22','Accretia_Headset220'
'732','iaaac23','Accretia_Headset221'
'733','iaaac24','Accretia_Headset222'
'734','iaaac25','Accretia_Headset223'
'735','iaaac26','Accretia_Headset224'
'736','iaaac27','Accretia_Headset225'
'737','iaaac28','Accretia_Headset226'
'738','iaaac29','Accretia_Headset227'
'739','iaaac30','Accretia_Headset228'
'740','iaaac31','Accretia_Headset229'
'741','iaaac32','Accretia_Headset230'
'742','iaaac33','Accretia_Headset231'
'743','iaaac34','Accretia_Headset232'
'744','iaaac35','Accretia_Headset233'
'745','iaaac36','Accretia_Headset234'
'746','iaaac37','Accretia_Headset235'
'747','iaaac38','Accretia_Headset236'
'748','iaaac39','Accretia_Headset237'
'749','iaaac40','Accretia_Headset238'
'750','iaaac41','Accretia_Headset239'
'751','iaaac42','Accretia_Headset240'
'752','iaaac43','Accretia_Headset241'
'753','iaaac44','Accretia_Headset242'
'754','iaaac45','Accretia_Headset243'
'755','iaaac46','Accretia_Headset244'
'756','iaaac47','Accretia_Headset245'
'757','iaaac48','Accretia_Headset246'
'758','iaaac49','Accretia_Headset247'
'759','iaaac50','Accretia_Headset248'
'760','iaaac51','Accretia_Headset249'
'761','iaaac52','Accretia_Headset250'
'762','iaaac53','Accretia_Headset251'
'763','iaaac54','Accretia_Headset252'
'764','iaaac55','Accretia_Headset253'
'765','iaaac56','Accretia_Headset254'
'766','iaaac57','Accretia_Headset255'
'767','iaaac58','Accretia_Headset256'
'768','iaxxx00','AmLo_Headset'
'769','iaxxx01','CEO_Headset'
'770','iaxxx02','Munggu_Headset'
'771','iaxxx03','Odin_Pendant(Special)'
'772','iaxxx04','Odin_Pendant(General)'
'773','iaxxx05','Deeper_Odin_Pendant(General)'
'774','iaxxx06','Odin_Pendant(General_For_External_use_1)'
'775','iaxxx07','Odin_Pendant(General_For_External_use_2)'
'776','iaxxx08','Wedding_Necklace'
'777','iaxxx09','Encourage_Accessory'
'778','iachr01','Christmas_Elemental_Amulet1(A40)'
'779','iachr02','Christmas_Elemental_Amulet2(A45)'
'780','iachr03','Christmas_Elemental_Amulet3(D40)'
'781','iachr04','Christmas_Elemental_Amulet4(D45)'
'782','iachr05','Christmas_Elemental_Amulet5(Av40)'
'783','iachr06','Christmas_Elemental_Amulet6(Av45)'
'784','iaxxx10','Differ_Odin_PandentJ(Normal)'
'785','iared01','4800_Red_Roar_Amulet[B-A](Elemental_Splitz_AppendixH)'
'786','iared02','4800_Red_Roar_Amulet[B-B](Elemental_Mind_AppendixH)'
'787','iared03','4800_Red_Roar_Amulet[B-C](Elemental_Tome_AppendixG)'
'788','iared04','4800_Red_Roar_Amulet[C-A](Elemental_Mild_EaramuletH)'
'789','iared05','4800_Red_Roar_Amulet[C-B](Elemental_Curse_EaramuletH)'
'790','iared06','4800_Red_Roar_Amulet[C-C](Elemental_Den_EaramuletH)'
'791','iared07','4800_Red_Roar_Amulet[A-A](Elemental_Pliant_EarmuffH)'
'792','iared08','4800_Red_Roar_Amulet[A-B](Elemental_Hue_EarmuffH)'
'793','iabbd01','Elemental_Splitz_AppendixH1(Rare1-9)'
'794','iabbd02','Elemental_Splitz_AppendixH2(Rare1-10)'
'795','iabbd03','Elemental_Splitz_AppendixH3(Rare1-11)'
'796','iabbd04','Elemental_Splitz_AppendixH4(Rare1-12)'
'797','iabbd05','Elemental_Splitz_AppendixH5(Rare1-13)'
'798','iabbd06','Elemental_Mind_AppendixH1(Rare1-9)'
'799','iabbd07','Elemental_Mind_AppendixH2(Rare1-10)'
'800','iabbd08','Elemental_Mind_AppendixH3(Rare1-11)'
'801','iabbd09','Elemental_Mind_AppendixH4(Rare1-12)'
'802','iabbd10','Elemental_Mind_AppendixH5(Rare1-13)'
'803','iabbd11','Elemental_Tome_AppendixH1(Rare1-8)'
'804','iabbd12','Elemental_Tome_AppendixH2(Rare1-9)'
'805','iabbd13','Elemental_Tome_AppendixH3(Rare1-10)'
'806','iabbd14','Elemental_Tome_AppendixH4(Rare1-11)'
'807','iabbd15','Elemental_Tome_AppendixH5(Rare1-12)'
'808','iaccd01','Elemental_Mild_EarringH11(Rare1-9)'
'809','iaccd02','Elemental_Mild_EarringH21(Rare1-10)'
'810','iaccd03','Elemental_Mild_EarringH31(Rare1-11)'
'811','iaccd04','Elemental_Mild_EarringH41(Rare1-12)'
'812','iaccd05','Elemental_Mild_EarringH51(Rare1-13)'
'813','iaccd06','Elemental_Mild_EarringH12(Rare1-14)'
'814','iaccd07','Elemental_Mild_EarringH22(Rare1-15)'
'815','iaccd08','Elemental_Mild_EarringH32(Rare1-16)'
'816','iaccd09','Elemental_Mild_EarringH42(Rare1-17)'
'817','iaccd10','Elemental_Mild_EarringH52(Rare1-18)'
'818','iaccd11','Elemental_Mild_EarringH13(Rare1-19)'
'819','iaccd12','Elemental_Mild_EarringH23(Rare1-20)'
'820','iaccd13','Elemental_Mild_EarringH33(Rare1-21)'
'821','iaccd14','Elemental_Mild_EarringH43(Rare1-22)'
'822','iaccd15','Elemental_Mild_EarringH53(Rare1-23)'
'823','iaccd16','Elemental_Mild_EarringH14(Rare1-24)'
'824','iaccd17','Elemental_Mild_EarringH24(Rare1-25)'
'825','iaccd18','Elemental_Mild_EarringH34(Rare1-26)'
'826','iaccd19','Elemental_Mild_EarringH44(Rare1-27)'
'827','iaccd20','Elemental_Mild_EarringH54(Rare1-28)'
'828','iaccd21','Elemental_Mild_EarringH15(Rare1-29)'
'829','iaccd22','Elemental_Mild_EarringH25(Rare1-30)'
'830','iaccd23','Elemental_Mild_EarringH35(Rare1-31)'
'831','iaccd24','Elemental_Mild_EarringH45(Rare1-32)'
'832','iaccd25','Elemental_Mild_EarringH55(Rare1-33)'
'833','iaccd26','Elemental_Curse_EarringH11(Rare1-9)'
'834','iaccd27','Elemental_Curse_EarringH21(Rare1-10)'
'835','iaccd28','Elemental_Curse_EarringH31(Rare1-11)'
'836','iaccd29','Elemental_Curse_EarringH41(Rare1-12)'
'837','iaccd30','Elemental_Curse_EarringH51(Rare1-13)'
'838','iaccd31','Elemental_Curse_EarringH12(Rare1-14)'
'839','iaccd32','Elemental_Curse_EarringH22(Rare1-15)'
'840','iaccd33','Elemental_Curse_EarringH32(Rare1-16)'
'841','iaccd34','Elemental_Curse_EarringH42(Rare1-17)'
'842','iaccd35','Elemental_Curse_EarringH52(Rare1-18)'
'843','iaccd36','Elemental_Curse_EarringH13(Rare1-19)'
'844','iaccd37','Elemental_Curse_EarringH23(Rare1-20)'
'845','iaccd38','Elemental_Curse_EarringH33(Rare1-21)'
'846','iaccd39','Elemental_Curse_EarringH43(Rare1-22)'
'847','iaccd40','Elemental_Curse_EarringH53(Rare1-23)'
'848','iaccd41','Elemental_Curse_EarringH14(Rare1-24)'
'849','iaccd42','Elemental_Curse_EarringH24(Rare1-25)'
'850','iaccd43','Elemental_Curse_EarringH34(Rare1-26)'
'851','iaccd44','Elemental_Curse_EarringH44(Rare1-27)'
'852','iaccd45','Elemental_Curse_EarringH54(Rare1-28)'
'853','iaccd46','Elemental_Curse_EarringH15(Rare1-29)'
'854','iaccd47','Elemental_Curse_EarringH25(Rare1-30)'
'855','iaccd48','Elemental_Curse_EarringH35(Rare1-31)'
'856','iaccd49','Elemental_Curse_EarringH45(Rare1-32)'
'857','iaccd50','Elemental_Curse_EarringH55(Rare1-33)'
'858','iaccd51','Elemental_Glow_EarringH1(Rare1-9)'
'859','iaccd52','Elemental_Glow_EarringH2(Rare1-10)'
'860','iaccd53','Elemental_Glow_EarringH3(Rare1-11)'
'861','iaccd54','Elemental_Glow_EarringH4(Rare1-12)'
'862','iaccd55','Elemental_Glow_EarringH5(Rare1-13)'
'863','iaccd56','Elemental_Den_EarringH11(Rare1-9)'
'864','iaccd57','Elemental_Den_EarringH21(Rare1-10)'
'865','iaccd58','Elemental_Den_EarringH31(Rare1-11)'
'866','iaccd59','Elemental_Den_EarringH41(Rare1-12)'
'867','iaccd60','Elemental_Den_EarringH51(Rare1-13)'
'868','iaccd61','Elemental_Den_EarringH12(Rare1-14)'
'869','iaccd62','Elemental_Den_EarringH22(Rare1-15)'
'870','iaccd63','Elemental_Den_EarringH32(Rare1-16)'
'871','iaccd64','Elemental_Den_EarringH42(Rare1-17)'
'872','iaccd65','Elemental_Den_EarringH52(Rare1-18)'
'873','iaccd66','Elemental_Den_EarringH13(Rare1-19)'
'874','iaccd67','Elemental_Den_EarringH23(Rare1-20)'
'875','iaccd68','Elemental_Den_EarringH33(Rare1-21)'
'876','iaccd69','Elemental_Den_EarringH43(Rare1-22)'
'877','iaccd70','Elemental_Den_EarringH53(Rare1-23)'
'878','iaccd71','Elemental_Den_EarringH14(Rare1-24)'
'879','iaccd72','Elemental_Den_EarringH24(Rare1-25)'
'880','iaccd73','Elemental_Den_EarringH34(Rare1-26)'
'881','iaccd74','Elemental_Den_EarringH44(Rare1-27)'
'882','iaccd75','Elemental_Den_EarringH54(Rare1-28)'
'883','iaccd76','Elemental_Den_EarringH15(Rare1-29)'
'884','iaccd77','Elemental_Den_EarringH25(Rare1-30)'
'885','iaccd78','Elemental_Den_EarringH35(Rare1-31)'
'886','iaccd79','Elemental_Den_EarringH45(Rare1-32)'
'887','iaccd80','Elemental_Den_EarringH55(Rare1-33)'
'888','iaaad01','Elemental_Pliant_EarmuffH11(Rare1-9)'
'889','iaaad02','Elemental_Pliant_EarmuffH21(Rare1-10)'
'890','iaaad03','Elemental_Pliant_EarmuffH31(Rare1-11)'
'891','iaaad04','Elemental_Pliant_EarmuffH41(Rare1-12)'
'892','iaaad05','Elemental_Pliant_EarmuffH51(Rare1-13)'
'893','iaaad06','Elemental_Pliant_EarmuffH12(Rare1-14)'
'894','iaaad07','Elemental_Pliant_EarmuffH22(Rare1-15)'
'895','iaaad08','Elemental_Pliant_EarmuffH32(Rare1-16)'
'896','iaaad09','Elemental_Pliant_EarmuffH42(Rare1-17)'
'897','iaaad10','Elemental_Pliant_EarmuffH52(Rare1-18)'
'898','iaaad11','Elemental_Pliant_EarmuffH13(Rare1-19)'
'899','iaaad12','Elemental_Pliant_EarmuffH23(Rare1-20)'
'900','iaaad13','Elemental_Pliant_EarmuffH33(Rare1-21)'
'901','iaaad14','Elemental_Pliant_EarmuffH43(Rare1-22)'
'902','iaaad15','Elemental_Pliant_EarmuffH53(Rare1-23)'
'903','iaaad16','Elemental_Pliant_EarmuffH14(Rare1-24)'
'904','iaaad17','Elemental_Pliant_EarmuffH24(Rare1-25)'
'905','iaaad18','Elemental_Pliant_EarmuffH34(Rare1-26)'
'906','iaaad19','Elemental_Pliant_EarmuffH44(Rare1-27)'
'907','iaaad20','Elemental_Pliant_EarmuffH54(Rare1-28)'
'908','iaaad21','Elemental_Pliant_EarmuffH15(Rare1-29)'
'909','iaaad22','Elemental_Pliant_EarmuffH25(Rare1-30)'
'910','iaaad23','Elemental_Pliant_EarmuffH35(Rare1-31)'
'911','iaaad24','Elemental_Pliant_EarmuffH45(Rare1-32)'
'912','iaaad25','Elemental_Pliant_EarmuffH55(Rare1-33)'
'913','iaaad26','Elemental_Hue_EarmuffH11(Rare1-9)'
'914','iaaad27','Elemental_Hue_EarmuffH21(Rare1-10)'
'915','iaaad28','Elemental_Hue_EarmuffH31(Rare1-11)'
'916','iaaad29','Elemental_Hue_EarmuffH41(Rare1-12)'
'917','iaaad30','Elemental_Hue_EarmuffH51(Rare1-13)'
'918','iaaad31','Elemental_Hue_EarmuffH12(Rare1-14)'
'919','iaaad32','Elemental_Hue_EarmuffH22(Rare1-15)'
'920','iaaad33','Elemental_Hue_EarmuffH32(Rare1-16)'
'921','iaaad34','Elemental_Hue_EarmuffH42(Rare1-17)'
'922','iaaad35','Elemental_Hue_EarmuffH52(Rare1-18)'
'923','iaaad36','Elemental_Hue_EarmuffH13(Rare1-19)'
'924','iaaad37','Elemental_Hue_EarmuffH23(Rare1-20)'
'925','iaaad38','Elemental_Hue_EarmuffH33(Rare1-21)'
'926','iaaad39','Elemental_Hue_EarmuffH43(Rare1-22)'
'927','iaaad40','Elemental_Hue_EarmuffH53(Rare1-23)'
'928','iaaad41','Elemental_Hue_EarmuffH14(Rare1-24)'
'929','iaaad42','Elemental_Hue_EarmuffH24(Rare1-25)'
'930','iaaad43','Elemental_Hue_EarmuffH34(Rare1-26)'
'931','iaaad44','Elemental_Hue_EarmuffH44(Rare1-27)'
'932','iaaad45','Elemental_Hue_EarmuffH54(Rare1-28)'
'933','iaaad46','Elemental_Hue_EarmuffH15(Rare1-29)'
'934','iaaad47','Elemental_Hue_EarmuffH25(Rare1-30)'
'935','iaaad48','Elemental_Hue_EarmuffH35(Rare1-31)'
'936','iaaad49','Elemental_Hue_EarmuffH45(Rare1-32)'
'937','iaaad50','Elemental_Hue_EarmuffH55(Rare1-33)'
'938','iaaad51','Elemental_Power_EarmuffH1(Rare1-9)'
'939','iaaad52','Elemental_Power_EarmuffH2(Rare1-10)'
'940','iaaad53','Elemental_Power_EarmuffH3(Rare1-11)'
'941','iaaad54','Elemental_Power_EarmuffH4(Rare1-12)'
'942','iaaad55','Elemental_Power_EarmuffH5(Rare1-13)'
'943','iacsa01','Beginners_Amulet'
'944','iaxqu01','Symbol_of_Novus_Amulet'
'945','iacev01','Winner`s_EarringA'
'946','iacev02','Winner`s_EarringB'
'947','iabhs01','Giant_Mutant`s_Necklace(1)(Bellato)'
'948','iabhs02','Giant_Mutant`s_Necklace(2)(Bellato)'
'949','iabhs03','Giant_Mutant`s_Necklace(3)(Bellato)'
'950','iabhs04','Giant_Mutant`s_Necklace(4)(Bellato)'
'951','iabhs05','Giant_Mutant`s_Necklace(5)(Bellato)'
'952','iabhd01','Flame_Predator`s_Necklace(1)(Bellato)'
'953','iabhd02','Flame_Predator`s_Necklace(2)(Bellato)'
'954','iabhd03','Flame_Predator`s_Necklace(3)(Bellato)'
'955','iabhd04','Flame_Predator`s_Necklace(4)(Bellato)'
'956','iabhd05','Flame_Predator`s_Necklace(5)(Bellato)'
'957','iabhb01','Vampiric_Butcher`s_Necklace(1)(Bellato)'
'958','iabhb02','Vampiric_Butcher`s_Necklace(2)(Bellato)'
'959','iabhb03','Vampiric_Butcher`s_Necklace(3)(Bellato)'
'960','iabhb04','Vampiric_Butcher`s_Necklace(4)(Bellato)'
'961','iabhb05','Vampiric_Butcher`s_Necklace(5)(Bellato)'
'962','iabht01','Stormknife_Claw`s_Necklace(1)(Bellato)'
'963','iabht02','Stormknife_Claw`s_Necklace(2)(Bellato)'
'964','iabht03','Stormknife_Claw`s_Necklace(3)(Bellato)'
'965','iabht04','Stormknife_Claw`s_Necklace(4)(Bellato)'
'966','iabht05','Stormknife_Claw`s_Necklace(5)(Bellato)'
'967','iachs01','Giant_Mutant`s_Necklace(1)(Cora)'
'968','iachs02','Giant_Mutant`s_Necklace(2)(Cora)'
'969','iachs03','Giant_Mutant`s_Necklace(3)(Cora)'
'970','iachs04','Giant_Mutant`s_Necklace(4)(Cora)'
'971','iachs05','Giant_Mutant`s_Necklace(5)(Cora)'
'972','iachd01','Flame_Predator`s_Necklace(1)(Cora)'
'973','iachd02','Flame_Predator`s_Necklace(2)(Cora)'
'974','iachd03','Flame_Predator`s_Necklace(3)(Cora)'
'975','iachd04','Flame_Predator`s_Necklace(4)(Cora)'
'976','iachd05','Flame_Predator`s_Necklace(5)(Cora)'
'977','iachb01','Vampiric_Butcher`s_Necklace(1)(Cora)'
'978','iachb02','Vampiric_Butcher`s_Necklace(2)(Cora)'
'979','iachb03','Vampiric_Butcher`s_Necklace(3)(Cora)'
'980','iachb04','Vampiric_Butcher`s_Necklace(4)(Cora)'
'981','iachb05','Vampiric_Butcher`s_Necklace(5)(Cora)'
'982','iacht01','Stormknife_Claw`s_Necklace(1)(Cora)'
'983','iacht02','Stormknife_Claw`s_Necklace(2)(Cora)'
'984','iacht03','Stormknife_Claw`s_Necklace(3)(Cora)'
'985','iacht04','Stormknife_Claw`s_Necklace(4)(Cora)'
'986','iacht05','Stormknife_Claw`s_Necklace(5)(Cora)'
'987','iaahs01','Giant_Mutant`s_Necklace(1)(Accretia)'
'988','iaahs02','Giant_Mutant`s_Necklace(2)(Accretia)'
'989','iaahs03','Giant_Mutant`s_Necklace(3)(Accretia)'
'990','iaahs04','Giant_Mutant`s_Necklace(4)(Accretia)'
'991','iaahs05','Giant_Mutant`s_Necklace(5)(Accretia)'
'992','iaahd01','Flame_Predator`s_Necklace(1)(Accretia)'
'993','iaahd02','Flame_Predator`s_Necklace(2)(Accretia)'
'994','iaahd03','Flame_Predator`s_Necklace(3)(Accretia)'
'995','iaahd04','Flame_Predator`s_Necklace(4)(Accretia)'
'996','iaahd05','Flame_Predator`s_Necklace(5)(Accretia)'
'997','iaahb01','Vampiric_Butcher`s_Necklace(1)(Accretia)'
'998','iaahb02','Vampiric_Butcher`s_Necklace(2)(Accretia)'
'999','iaahb03','Vampiric_Butcher`s_Necklace(3)(Accretia)'
'1000','iaahb04','Vampiric_Butcher`s_Necklace(4)(Accretia)'
'1001','iaahb05','Vampiric_Butcher`s_Necklace(5)(Accretia)'
'1002','iaaht01','Stormknife_Claw`s_Necklace(1)(Accretia)'
'1003','iaaht02','Stormknife_Claw`s_Necklace(2)(Accretia)'
'1004','iaaht03','Stormknife_Claw`s_Necklace(3)(Accretia)'
'1005','iaaht04','Stormknife_Claw`s_Necklace(4)(Accretia)'
'1006','iaaht05','Stormknife_Claw`s_Necklace(5)(Accretia)'
'1007','iabna01','Starved_Beast`s_Earring(1)(Bellato)'
'1008','iabna02','Starved_Beast`s_Earring(2)(Bellato)'
'1009','iabna03','Starved_Beast`s_Earring(3)(Bellato)'
'1010','iabna04','Violent_Wild`s_Earring(1)(Bellato)'
'1011','iabna05','Violent_Wild`s_Earring(2)(Bellato)'
'1012','iabna06','Violent_Wild`s_Earring(3)(Bellato)'
'1013','iabna07','Fluctuating_Beast_Vital`s_Earring(1)(Bellato)'
'1014','iabna08','Fluctuating_Beast_Vital`s_Earring(2)(Bellato)'
'1015','iabna09','Fluctuating_Beast_Vital`s_Earring(3)(Bellato)'
'1016','iabna10','Outcasted_Marauder`s_Earring(1)(Bellato)'
'1017','iabna11','Outcasted_Marauder`s_Earring(2)(Bellato)'
'1018','iabna12','Outcasted_Marauder`s_Earring(3)(Bellato)'
'1019','iabna13','Liberated_Outcast`s_Earring(1)(Bellato)'
'1020','iabna14','Liberated_Outcast`s_Earring(2)(Bellato)'
'1021','iabna15','Liberated_Outcast`s_Earring(3)(Bellato)'
'1022','iabna16','Dead_Outcast`s_Earring(1)(Bellato)'
'1023','iabna17','Dead_Outcast`s_Earring(2)(Bellato)'
'1024','iabna18','Dead_Outcast`s_Earring(3)(Bellato)'
'1025','iacna01','Starved_Beast`s_Earring(1)(Cora)'
'1026','iacna02','Starved_Beast`s_Earring(2)(Cora)'
'1027','iacna03','Starved_Beast`s_Earring(3)(Cora)'
'1028','iacna04','Violent_Wild`s_Earring(1)(Cora)'
'1029','iacna05','Violent_Wild`s_Earring(2)(Cora)'
'1030','iacna06','Violent_Wild`s_Earring(3)(Cora)'
'1031','iacna07','Fluctuating_Beast_Vital`s_Earring(1)(Cora)'
'1032','iacna08','Fluctuating_Beast_Vital`s_Earring(2)(Cora)'
'1033','iacna09','Fluctuating_Beast_Vital`s_Earring(3)(Cora)'
'1034','iacna10','Outcasted_Marauder`s_Earring(1)(Cora)'
'1035','iacna11','Outcasted_Marauder`s_Earring(2)(Cora)'
'1036','iacna12','Outcasted_Marauder`s_Earring(3)(Cora)'
'1037','iacna13','Liberated_Outcast`s_Earring(1)(Cora)'
'1038','iacna14','Liberated_Outcast`s_Earring(2)(Cora)'
'1039','iacna15','Liberated_Outcast`s_Earring(3)(Cora)'
'1040','iacna16','Dead_Outcast`s_Earring(1)(Cora)'
'1041','iacna17','Dead_Outcast`s_Earring(2)(Cora)'
