'0','00000','Young_Flym(A)'
'637','061A0','Blaze_Bloc(Dun01)'
'638','03FA0','Queen_Crook(Dun01)'
'639','051A0','Passer_Alpha(Dun01)'
'640','053A0','Hobo_Rober(Dun01)'
'641','03DA0','King_Twiser(Dun01)'
'642','054A3','Armed_Passer_Beta(Dun01Boss)'
'643','060A3','Blood_Son_Ash(Dun01Boss)'
'644','011A0','Snatcher_Cheat(Dun01)'
'645','02AA0','Anabola(Dun01)'
'646','037A3','Dark_Clode(Clod_Dun01Boss)'
'647','082A0','Turncoat_Caster(Dun01)'
'648','033A0','Heller(Dun01)'
'649','052A3','Armed_Hobo_Blade(Dun01Boss)'
'650','039A0','Najad_Heller(Dun01)'
'651','035A0','Snatcher_Horn(Dun01)'
'652','040A0','AnabolaCyst(Dun01)'
'653','056A0','Calliana_Crew(Dun01)'
'654','057A0','Calliana_Atroc(Dun01)'
'655','081A0','Turncoat_Desperado(Dun01)'
'656','042A3','Heavy_Meat_Clode(Dun01Boss)'
'657','0320C','Snatcher_Horn_Guard(Guard)'
'658','035A3','Snatcher_Horn_Rex(Dun01Boss)'
'659','039A3','Queen_Naiad_Heller(Dun01Boss)'
'660','045A3','Dark_Snatcher_Rex(Dun01Boss)'
'661','040A3','Queen_Anabola_Cyst(Dun01Boss)'
'662','08EA3','Turncoat_Commander(Dun01Boss)'
'663','09203','Assassin_Builder_?(ChampionD)'
'664','0AB0C','Rock_Jaw(Guard)'
'665','0AF0C','Taraven(Guard)'
'666','0B30C','Calliana_Archer(Guard)'
'667','0AC0C','BlinkGuard(Guard)'
'668','08AA0','Turncoat_Destroyer(Dun01)'
'669','0AD0C','Soul_Sinder_Guard(Soul_Sinder_Guard)'
'670','04E1B','Drake_Hatchling(AceD)'
'671','0B513','ScudLava(D)'
'672','0672D','Grave_Stone(Event)'
'673','06C1B','Curr(AceD)'
'674','06B13','Hum_BaBa(Champion_D)'
'675','06C0B','Great_Curr(AceD)'
'676','06B23','Giant_Baba(Elite_D)'
'677','05A13','Infernal_Demolis(Champion_D)'
'678','05B13','Infernal_Lava(Champion_D)'
'679','05C13','Fever_Lapis(Champion_D)'
'680','05D13','Infernal_Grumble(Champion_D)'
'681','05E13','Volite(Champion_D)'
'682','06013','Burn_Ash(Champion_D)'
'683','06113','Granite_Block(Champion_D)'
'684','0B903','Santa_Chooty(D)'
'685','04917','Mini_HolyStoneKeeper(D_Boss)'
'686','09937','Big_Wati(D_Boss)'
'687','0A03C','Big_Uyle(Guard)'
'688','09D3C','Big_Nuti(Guard)'
'689','09A37','Big_Titi(D_Boss)'
'690','09F3C','Big_Cuti(Guard)'
'691','09837','Big_Mati(D_Boss)'
'692','0BA07','Big_Walnut(DBoss)'
'693','0B50B','Heavy_Squad(AceD)'
'694','0BB23','Infernal_Drako(ChampionD)'
'695','04707','Earth_Quaker(D_Boss)'
'696','0470C','Earth_Quaker_Guard(Guard)'
'697','0A907','HugeBeacon(DBoss)'
'698','04FA3','Hora_Hobo_Cutter(Dun01Boss)'
'699','053A3','Hora_Hobo_Rover(Dun01Boss)'
'700','064A3','Hora_Necro_Metal(Dun01Boss)'
'701','051A3','Hora_Passer_Alpha(Dun01Boss)'
'702','092A3','Hora_Assassin_Builder(Dun01Boss)'
'703','05BA3','Hora_Infernal_Lava(Dun01Boss)'
'704','05CA3','Hora_Fever_Lapis(Dun01Boss)'
'705','061A3','Hora_Granite_Block(Dun01Boss)'
'706','066A3','Hora_Boggie_Bolt(Dun01Boss)'
'707','0BBA3','Hora_Infernal_Draco(Dun01Boss)'
'708','059A3','Hora_Chooty(Dun01Boss)'
'709','056A3','Hora_Caliana_Crew(Dun01Boss)'
'710','057A3','Hora_Caliana_Trog(Dun01Boss)'
'711','0B3A3','Hora_Caliana_Archer(Dun01Boss)'
'712','058A3','Hora_Caliana_Princess(Dun01Boss)'
'713','089A3','Hora_Turncoat_Warlock(Dun01Boss)'
'714','088A3','Hora_Turncoat_Striker(Dun01Boss)'
'715','08DA3','Hora_Turncoat_Dual_Knight(Dun01Boss)'
'716','083A3','Hora_Turncoat_Holy_Chandra(Dun01Boss)'
'717','07EA3','Hora_Turncoat_Mercenery(Dun01Boss)'
'718','01EA3','Hora_Snatcher_Hurl(Dun01Boss)'
'719','030A3','Hora_Crawler_Axel(Dun01Boss)'
'720','032A3','Hora_Snatcher_Rex(Dun01Boss)'
'721','043A3','Hora_Crawler_Rex(Dun01Boss)'
'722','044A3','Hora_Vafer_Rex(Dun01Boss)'
'723','03B07','Hora_Armored_Ghost(DBoss)'
'724','0270C','Hora_Ghost(Guard)'
'725','04D1C','Hora_Hobo_Might(Guard)'
'726','04C0C','Hora_Hobo_Sword(Guard)'
'727','0520C','Hora_Hobo_Blade(Guard)'
'728','0500C','Hora_Hobo_Turnpike(Guard)'
'729','05A0C','Hora_Infernal_Demolis(Guard)'
'730','05E0C','Hora_Volide(Guard)'
'731','09A0C','Hora_Titi(Guard)'
'732','0980C','Hora_Marty(Guard)'
'733','0871C','Hora_Turncoat_Hunter(Guard)'
'734','0820C','Hora_Turncoat_Dark_Priest(Guard)'
'735','0880C','Hora_Turncoat_Gunner(Guard)'
'736','0111C','Hora_Snatcher_Cheet(Guard)'
'737','0290C','Hora_Crawler_Cast(Guard)'
'738','0321C','Hora_Snatcher_Bite(Guard)'
'739','0360C','Hora_Crawler_Maul(Guard)'
'740','0340C','Hora_Vafer_Baba(Guard)'
'741','0310C','Hora_Vafer_Mortar(Guard)'
'742','03103','Vafer_Scout(D)'
'743','0E503','Burning_hands_Vafer_Baba(EliteD)'
'744','0E203','Xelnakan_Vafer_Niffer(ChampionD)'
'745','0E803','Freak_Vafer_Sly(EliteD)'
'746','13307','Xelnakan(DBoss)'
'747','0E907','Blood_Vafer_Rex(DBoss)'
'748','0E70B','Vafer_Ranger(AceD)'
'749','0DF0B','Nine_Tailed_Snatcher_Cheat(AceD)'
'750','0D803','Stuck_Clan_Snatcher_Hurl(D)'
'751','0D60B','Evil_Snatcher_Bite(AceD)'
'752','0DC0B','Evil_Snatcher_Horn(AceD)'
'753','0DE03','Evil_Snatcher_Hornkzak(EliteD)'
'754','0DA03','Evil_Snatcher_Rex(ChampionD)'
'755','0E007','EvilEyetotum(DBoss)'
'756','04507','Stock(DBoss)'
'757','02207','Trugar(DBoss)'
'758','13E03','Varkrodem(HeroD)'
'759','0E303','MuscleDance(HeroD)'
'760','04307','Teledun(DBoss)'
'761','04303','Crawler_Rex(ChampionD)'
'762','03603','Crawler_Maul(ChampionD)'
'763','02903','Crawler_Cast(D)'
'764','02103','Crawler_Bunch(D)'
'765','0300B','Crawler_Axel(AceD)'
'766','01D17','Strayer(DBoss)'
'767','01D03','BusterLava(ChampionD)'
'768','0EE03','AssassinBuilderClark(EliteD)'
'769','0EC03','RedPlanetHora_Khan(ChampionD)'
'770','0ED03','IzenRock(EliteD)'
'771','0EB03','BlackCrowWarBeast(EliteD)'
'772','0CB03','FrostClawLunker(ChampionD)'
'773','0BE03','DagnuYoungFlam(EliteD)'
'774','00003','GigaYoungFlam(HeroD)'
'775','01507','Vecioren(DBoss)'
'776','08D03','Cora_Temple_Guard(D+)'
'777','08903','Cora_Disciple(D+)'
'778','08B03','Bellato_City_Guard(D+)'
'779','08503','Bellato_MP(D+)'
'780','08E03','Accretia_Imperial_Guard(D+)'
'781','08803','Accretia_Executioner(D+)'
'782','13A07','Black_Sign(DBoss)'
'783','08807','Kent(DBoss)'
'784','11507','Commandor_Trashoo(DBoss)'
'785','10403','Black_sign_Executor(ChampionD)'
'786','11303','ElephantMercernary(ChampionD)'
'787','10C0B','ToypelStriker(AceD)'
'788','11C0B','ToypelPhantomShadow(AceD)'
'789','10803','ThorHammerAssaulter(ChampionD)'
'790','10F03','BlackSignSquad_Artillery(EliteD)'
'791','11703','Black_sign_commanders(HeroD)'
'792','11003','DeserterStriker(ChampionD)'
'793','10A03','DeserterPunisher(EliteD)'
'794','11803','Izen`sMercernary(EliteD)'
'795','13607','ArespelDread(DBoss)'
'796','0FD07','Commander_CirusGale(DBoss)'
'797','10B07','RaulMesser(DBoss)'
'798','0F10B','BloodiesGraser(AceD)'
'799','1010B','BloodiesArcher(AceD)'
'800','0F003','DeserterWarlock(ChampionD)'
'801','0FC03','DeserterTempler(EliteD)'
'802','0FE0B','TempestAssassin(AceD)'
'803','0F403','TempestBlackKnights(ChampionD)'
'804','0B407','CarmenHeidiman(DBoss)'
'805','12707','Commander_LeonVolcove(DBoss)'
'806','12307','Killxicheff(DBoss)'
'807','11E0B','IntruderHolyChandra(AceD)'
'808','12B03','Deserter_Hidden_Soldier(ChampionD)'
'809','1290B','TombstoneInfiltrator(AceD)'
'810','13D03','TombstoneArmsMan(ChampionD)'
'811','12603','TombstoneBerserker(ChampionD)'
'812','12F03','Tower`sShieldMiler(ChampionD)'
'813','13103','Tower`sDevastator(EliteD)'
'814','02403','GrumbleWalker(SoloD)'
'815','06C13','CurrSoldier(SoloD)'
'816','00C13','WhiteFang(SoloD)'
'817','06213','VolcanicAthrop(SoloD)'
'818','04E03','ElderDraco(SoloD)'
'819','02303','SilverLizard(SoloD)'
'820','0B703','StingScud(SoloD)'
'821','0B523','GrandScud(SoloD)'
'822','02413','SlaughterGrumble(SoloD)'
'823','05F03','BombAsh(SoloD)'
'824','02C03','BerserkerCrook(SoloD)'
'825','03D03','LargoKingTwizer(SoloD)'
'826','0981C','MartyEvil(Guard)'
'827','09A1C','TitiEvil(Guard)'
'828','09900','WatiKin(A)'
'829','09901','WatiKin(B)'
'830','09902','WatiKin(C)'
'831','0A100','ShootiKin(A)'
'832','0A101','ShootiKin(B)'
'833','0A102','ShootiKin(C)'
'834','09C00','TottiKin(A)'
'835','09C01','TottiKin(B)'
'836','09C02','TottiKin(C)'
'837','0A000','NootyKin(A)'
'838','0A001','NootyKin(B)'
'839','0A002','NootyKin(C)'
'840','05904','Demon_Chooty(ABoss)'
'841','05905','Demon_Chooty(BBoss)'
'842','05906','Demon_Chooty(CBoss)'
'843','1400B','Iron_Petroler(AceD)'
'844','1460B','Metal_Fly_Hound(AceD)'
'845','14A03','Ancient_Blader(ChampionD)'
'846','14B03','Sentinel_Shooter(ChampionD)'
'847','14C03','Strider(EliteD)'
'848','14D07','Eldi_Croche(DBoss)'
'849','1430B','Mutant_Walker(AceD)'
'850','14903','Mutant_Plant(ChampionD)'
'851','1440B','Rage_Claw(AceD)'
'852','14203','Reaper(ChampionD)'
'853','14803','Rust(EliteD)'
'854','14703','Curian(ChampionD)'
'855','14103','Mutant_Type-2(ChampionD)'
'856','14503','Infected_Beast(ChampionD)'
'857','14E03','Metal_Elf_Archer(EliteD)'
'858','14F03','Metal_Elf_Gunner(EliteD)'
'859','15003','Metal_Elf_Knight(HeroD)'
'860','15103','Metal_Elf_Berserker(HeroD)'
'861','15013','Metal_Elf_Royal_GuardA(EliteD)'
'862','15113','Metal_Elf_Royal_GuardB(EliteD)'
'863','13F0C','KweleSocomGuard(Guard)'
'864','15407','KweleSocom(DBoss)'
'865','15503','NarumCrawlerDestructiveSoldier(ChampionD)'
'866','15603','CremleSnatcherArcher(ChampionD)'
'867','15703','CucraVafferLightWarrior(ChampionD)'
'868','15803','NarumCrawlerAdjutant(EliteD)'
'869','15903','CremleSnatcherAdjutant(EliteD)'
'870','15A03','CucraVafferAdjutant(EliteD)'
'871','15B03','HighElgWarlock(EliteD)'
'872','15C03','HighElfSorceress(EliteD)'
'873','15D03','High_Elf_Archer(EliteD)'
'874','15E03','HighElfKnight(HeroD)'
'875','15E13','HighElfRoyalGuard(HeroD)'
'876','15217','NarwenEdisil(DBoss)'
'877','15F0B','Ugdrasilstrip(AceD)'
'878','15307','Jetso(Dboss)'
'879','0B543','HoraScudLava(D)'
'880','0B71B','HoraMashScud(AceD)'
'881','0B607','HoraGiantScud(Dboss)'
'882','0B61C','HoraGiantScudGuard(Guard)'
'883','06103','HoraGrenitBlock(ChampionD)'
'884','0BB07','HoraPernaldDraco(Dboss)'
'885','0BB0C','HoraPernaldDracoGuard(Guard)'
'886','0620B','HoraAsrob(AceD)'
'887','0A913','HoraBicone(HeroD)'
'888','04317','HoraBloodCrawlerRex(Dboss)'
'889','0431C','HoraBloodCrawlerRexGuard(Guard)'
'890','0542B','HoraPasserDelta(AceD)'
'891','0B413','HoraDebisData(ChampionD)'
'892','09207','HoraAssassinBuilderX(Dboss)'
'893','0920C','HoraAssassinBuilderXGuard(Guard)'
'894','02C13','HoraCrook(ChampionD)'
'895','03D07','HoraKingTwiser(Dboss)'
'896','03D1C','HoraKingTwiserGuard(Guard)'
'897','0A513','HoraCrystalBox(HeroD)'
'898','06C23','HoraGreatCurr(ChampionD)'
'899','14307','HoraHostHwiton(Dboss)'
'900','1430C','HoraHostHwitonGuard(Guard)'
'901','04F03','HoraHoboCutter(ChampionD)'
'902','05003','HoraHoboTurnpike(ChampionD)'
'903','05207','HoraArmoredHoboBlade(Dboss)'
'904','0521C','HoraArmoredHoboBloadeGuard(Guard)'
'905','0690B','HoraStoneKnight(AceD)'
'906','06807','HoraBladePawn(Dboss)'
'907','0680C','HoraBloadePawnGuard(Guard)'
'908','06713','Hora_Grave_Stone(ChampionD)'
'909','0A74B','Hora_Memoria_Gem(AceD)'
'910','0911B','Hora_Rajuil_Tower(AceD)'
'911','03903','Hora_Naiad_Heller(ChampionD)'
'912','03907','Hora_Queen_Naiad_Heller(DBoss)'
'913','0390C','Hora_Queen_Naiad_HellerGuard(Guard)'
'914','09427','Hora_BaalHamon(FakeDBoss)'
'915','09437','Hora_BaalHamon(DBoss)'
'916','06E1C','Hora_BaalHamon_Guard(Guard)'
'917','0A75B','Hora_Memoria_Gem(AceD1)'
'918','0A76B','Hora_Memoria_Gem(AceD2)'
'919','0A77B','Hora_Memoria_Gem(AceD3)'
'920','00E03','Sting_Host_Marr(D)'
'921','0190B','Big_Horn_Cannival(AceD)'
'922','01B03','Redfang_Lunker(ChampionD)'
'923','01003','Fang_Splinter(EliteD)'
'924','0CA03','Black_Demolis(ChampionD)'
'925','0C913','Blue_Scale_Klan(EliteD)'
'926','13503','Red_Haired_Splinter(HeroD)'
'927','04103','Hook_Brutal(EliteD)'
'928','0D403','Tyrant_Lizard(HeroD)'
'929','0D303','Thunder_Lizard(HeroD)'
'930','0D80B','Cremul_Snatcher_Scout(AceD)'
'931','16013','Cremul_Snatcher_Captain(HeroD)'
'932','0290B','Naroom_Crawler_Scout(AceD)'
'933','16113','Naroom_Crawler_Captain(HeroD)'
'934','0E10B','Kukra_Vafer_Gladiator(AceD)'
'935','16203','Kukra_Vafer_Captain(HeroD)'
'936','16307','Ringleader_BloodAxe(DBoss)'
'937','09113','Lucky_Cube(D)'
'938','0A503','Jewerly_Cube(D)'
'939','16407','Golden_Pig(DBoss)'
'940','00903','Hive_Marr(D)'
'941','0231B','Lizard_Guardian(AceD)'
'942','0DC1B','Cremul_Patrol(AceD)'
'943','0301B','Naroom_Patrol(AceD)'
'944','0E60B','Kukra_Patrol(AceD)'
'945','00F0B','Infected_Ratmoth(AceD)'
'946','01503','Infected_Big_Ratmoth(EliteD)'
'947','04E13','Rake_Foot_Draco(ChampionD)'
'948','16517','Endless_Flame_Draco(DBoss)'
'949','00E13','Queen_Hive_Marr(HeroD)'
'950','06A13','Ringleader_RoyalGuard(HeroD)'
'951','16703','Dark_Clan_Mercenery(EliteD)'
'952','16803','Dark_Clan_Dementor(ChampionD)'
'953','16903','Dark_Clan_Striker(ChampionD)'
'954','16A03','Dark_Clan_Berserker(EliteD)'
'955','16B03','Dark_Clan_Hidden_Soldier(ChampionD)'
'956','16C03','Dark_Clan_HolyChandra(ChampionD)'
'957','16D03','Dark_Clan_Templar(EliteD)'
'958','16E03','Dark_Clan_Assassin(ChampionD)'
'959','16F03','Dark_Clan_Warlock(ChampionD)'
'960','16603','Dragon_Knight(EliteD)'
'961','17413','Necro_Metalian(EliteD)'
'962','14013','Big_Iron_Patroler(EliteD)'
'963','13F03','Metal_Eater(HeroD)'
'964','0ED07','Izen_Cracker(DBoss)'
'965','14303','King_Mutant_Warker(ChampionD)'
'966','1420B','Reaper_Junior(AceD)'
'967','0B423','Devastator_Rhea(ChampionD)'
'968','17807','Luo_Regnum(BossD)'
'969','04403','Betrayer_Vafer_Mystic(HeroD)'
'970','04313','Betrayer_Crawler_Priest(EliteD)'
'971','04503','Betrayer_Snatcher_Mystic(ChampionD)'
'972','17503','Vengeful_Vafer_Spirit(EliteD)'
'973','17613','Vengeful_Crawler_Spirit(ChampionD)'
'974','15613','Vengeful_Snatcher_Spirit(ChampionD)'
'975','17303','Herodian_Black_Box(D)'
'976','0250C','DagonGuard(guard)'
'977','17907','SandWarm_Hero(Dboss)'
'978','17A07','MassSandWarm_Hero(Dboss)'
'979','17B07','Stocker_Lava(Dboss)'
'980','17C07','Sand_StingBug(Dboss)'
'981','17D07','GreatAnabola(Dboss)'
'982','14343','Mutant_Traveler(ChampionD)'
'983','0893B','CartellaBoss_JinBark(AceD)'
'984','14E13','MetalElf_Iserina(ChampionD)'
'985','08B1B','Researcher_Aret(AceD)'
'986','10F0B','Deserted_BlackSignGunner(AceD)'
'987','08D1B','Heretic_MessArian(AceD)'
'988','06E13','Teraon(ChampionD)'
'989','0761B','DesertedSoldier_Exesis(AceD)'
'990','07E1B','DesertedSoldier_As02-R1-409518(AceD)'
'991','0741B','DesertedSoldier_Ken(AceD)'
'992','0861B','DesertedSoldier_Liand(AceD)'
'993','08B2B','DesertedSoldier_Soo(AceD)'
'994','07A1B','DesertedSoldier_As02-R1-370413(AceD)'
'995','0130B','TrialLunker(AceD)'
'996','06C33','Captain_Clover(ChampionD)'
'997','02423','LittlePierceGrumble(HeroD)'
'998','02313','LittleLizardKahn(HeroD)'
'999','04003','LittleAnabola(HeroD)'
'1000','01A0B','ArgolQuichGuardian(AceD)'
'1001','01A1B','ArgolQuichCloseGuardian(AceD)'
'1002','0471B','LazuwadianSoldier(AceD)'
'1003','0430B','CrawlerRexProtector(AceD)'
'1004','0450B','SnatcherRexProtector(AceD)'
'1005','0440B','VafferRexProtector(AceD)'
'1006','01D0B','LavaGuardian(AceD)'
'1007','01D1B','LavaCloseGuardian(AceD)'
'1008','1432B','Researcher_Deadlime(AceD)'
'1009','14313','ChiefResearcher_Smith(ChampionD)'
'1010','17E13','Contaminated_Researcher(ChampionD)'
'1011','17F03','CoraNuclearWeapon(ChampionD)'
'1012','17F13','BellatoNuclearWeapon(ChampionD)'
'1013','02B07','Greater_Warm(Dboss)'
'1014','0C917','BigFoot_Clan(Dboss)'
'1015','06007','Volcanic_Ash(Dboss)'
'1016','17E17','Chief_Researcher_John_F_Carter(Dboss)'
'1017','05827','Vindictive_Spirit_of_Princess_Lowen(Dboss)'
'1018','1800B','Wing_Box(AceD)'
'1019','18103','Deathmose(ChampionD)'
'1020','18203','Hella_Wing(ChampionD)'
'1021','18303','Elvin_War_Cannival(EliteD)'
'1022','18403','Forehand_Runner(EliteD)'
'1023','18503','Rock_Twizer(EliteD)'
'1024','18603','Obelisk(EliteD)'
'1025','18703','Flame_Eater(ChampionD)'
'1026','18803','Elvin_Riding_Lunker(EliteD)'
'1027','18903','Evin_War_Splinter(ChampionD)'
'1028','18A03','High_Elf_Ranger(ChampionD)'
'1029','18B0B','Metal_Elf_Sniper(AceD)'
'1030','18C03','Great_Block(HeroD)'
'1031','17003','Vafer_Sharman(ChampionD)'
'1032','18D03','High_Elf_Guardner(EliteD)'
'1033','18E0B','High_Elf_Sumerner(AceD)'
'1034','18F03','Metal_Elf_Assasin(ChampionD)'
'1035','19003','Metal_Elf_Destroyer(EliteD)'
'1036','19113','High_Elf_Assaulter(EliteD)'
'1037','19203','High_Elf_Druide(ChampionD)'
'1038','19303','High_Elf_Tamer(EliteD)'
'1039','19403','High_Elf_Demolisher(ChampionD)'
'1040','19503','Metal_Elf_Mechanic_Master(ChampionD)'
'1041','19603','Metal_Elf_Shield_Guard(ChampionD)'
'1042','19703','Metal_Elf_Warload(HeroD)'
'1043','15D13','High_Elf_Archer(EliteD)'
'1044','15B0B','High_Elf_Warlock(AceD)'
'1045','17007','Vafer_Sharman(Dboss)'
'1046','1720C','Crawler_Soul(Guardl)'
'1047','03613','Crawler_wounded(ChampionD)'
'1048','1880B','Elvin_Riding_Lunker(AceD)'
'1049','1830B','Elvin_War_Cannival(AceD)'
'1050','15C0C','High_Elf_Sorceress(Guard)'
'1051','15217','NarwenEdisil(DBoss)'
'1052','18F13','Dead_Metal_Elf_Assasin(ChampionD)'
'1053','14F13','Metal_Elf_Gunner(ChampionD)'
'1054','14E23','Metal_Elf_Archer(ChampionD)'
'1055','15107','Metal_Elf_Berserker(Dboss)'
'1056','1950C','Metal_Elf_Mechanic_master(Guard)'
'1057','18A13','Dead_High_Elf_Ranger(ChampionD)'
'1058','19913','High_Elf_Arc_Maji(ChampionD)'
'1059','14D17','Dead_Eldi_Croche(DBoss)'
'1060','1970C','Metal_Elf_Warload(Guard)'
'1061','19A13','Ice_Bogy_Bolt(EliteD)'
'1062','19B23','Fire_Bogy_Bolt(EliteD)'
'1063','17103','Snatcher_Diviner(EliteD)'
'1064','06D17','Sealed_Belphegor(Dboss)'
'1065','04327','Sealed_Teledun(DBoss)'
'1066','06817','Sealed_Hora_Blade_Pawn(Dboss)'
'1067','0AF17','Sealed_Taraven(Dboss)'
'1068','09447','Sealed_Hora_Baal_Hamon_Guard(Dboss)'
'1069','05837','Sealed_Calliana_Queen(DBoss)'
'1070','0AD17','Sealed_Soul_Cinder(DBoss)'
'1071','0B217','Sealed_Dagon(Dboss)'
'1072','0B117','Sealed_Dagan(Dboss)'
'1073','16527','Sealed_Flame_Draco(Dboss)'
'1074','06E3C','Sealed_Belphegor_Guard(Guard)'
'1075','0681C','Sealed_Hora_Blade_Pawn_Guard(Guard)'
'1076','0AF1C','Sealed_Taraven_Guard(Guard)'
'1077','06E2C','Sealed_Hora_Baal_Hamon_Guard(Guard)'
'1078','0B31C','Sealed_Calliana_Archer(Sealed_Calliana_Archer)'
'1079','0AD1C','Sealed_Soul_Cinder_Guard(Guard)'
'1080','0251C','Sealed_Dagon_Guard(Guard)'
'1081','02B10','Cloned_Sandworm(A)'
'1082','02B11','Cloned_Sandworm(B)'
'1083','02B12','Cloned_Sandworm(C)'
'1084','02F10','Cloned_Vafer_Sly(A)'
'1085','02D11','Cloned_Carnival(B)'
'1086','00A12','Cloned_Splinter_Brat(C)'
'1087','03B10','Cloned_Armed_Ghost(A)'
'1088','03611','Cloned_CrawlerMaul(B)'
'1089','03612','Cloned_CrawlerMaul(C)'
'1090','03A18','Cloned_Robust_Lava(AceA)'
'1091','03A19','Cloned_Robust_Lava(AceB)'
'1092','0391A','Cloned_Naid_Heller(AceC)'
'1093','04110','Cloned_Brutal(A)'
'1094','04111','Cloned_Brutal(B)'
'1095','04112','Cloned_Brutal(C)'
'1096','04018','Cloned_Anabola_Cyst(AceA)'
'1097','03D09','Cloned_King_Tweezer(AceB)'
'1098','0421A','Cloned_Meat_Clode(AceC)'
'1099','04510','Cloned_Snatcher_Rex(A)'
'1100','04311','Cloned_Crawler_Rex(B)'
'1101','04412','Cloned_Vafer_Rex(_C)'
'1102','05C08','Cloned_Grave_Lapise(AceA)'
'1103','05D09','Cloned_Volcanic_Grumble(AceB)'
'1104','05B0A','Cloned_Volcanic_Lava(AceC)'
'1105','0921B','Cloned_Assasin_BuilderA(AceD)'
'1106','04118','Cloned_Brutal(AceA)'
'1107','04119','Cloned_Brutal(AceB)'
'1108','0411A','Cloned_Brulta(AceC)'
'1109','0361C','Sealed_teledeon_Guard(Guard)'
'1110','0B10C','Sealed_Dagan_Guard(Guard)'
'1111','04E0C','Sealed_Flame_Draco_Guard(Guard)'
'1112','18F07','Metal_Elf_Assasin(Dboss)'
'1113','14F0C','Metal_Elf_Gunner(Guard)'
'1114','0B51B','Cloned_Heavy_Scud(AceD)'
'1115','06003','Cloned_Burn_Ash(Champion_D)'
'1116','0191B','Cloned_Big_Horn_Cannivals(AceD)'
'1117','01B13','Cloned_Red_Fanged_Lunker(ChampionD)'
'1118','01013','Cloned_Fang_Splinter(EliteD)'
'1119','0C903','Cloned_Blue_Scale_Klan(EliteD)'
'1120','04113','Cloned_Hook_Brutal(EliteD)'
'1121','13513','Cloned_Red_Haired_Splinter(HeroD)'
'1122','0D413','Cloned_Tyrant_Lizard(HeroD)'
'1123','0D313','Cloned_Thunder_Lizard(HeroD)'
'1124','0021C','Flym(Guard)'
'1125','00207','Adult_Flym(D_Boss)'
'1126','0190C','Cannival(Guard)'
'1127','01907','Giant_Cannival(D_Boss)'
'1128','0252C','Rigor_Lapise(Guard)'
'1129','02507','Heavy_Rigor_Lapise(D_Boss)'
'1130','0411C','Brutal(Guard)'
'1131','04107','Brutal_Rex(D_Boss)'
'1132','0840C','Turncoat_Comando(Guard)'
'1133','0860C','Turncoat_Champion(Guard)'
'1134','08A0C','Turncoat_Destroyer(Guard)'
'1135','08B07','Turncoat_Miler_Captain(D_Boss)'
'1136','08D07','Tuncoat_Knight_Captain(D_Boss)'
'1137','08E07','Tuncoat_Gladius_Captain(D_Boss)'
'1138','0921C','Assassin_Builder_?(Guard)'
'1139','09217','Assassin_Builder_S(D_Boss)'
'1140','06B0C','Hum_Baba(Guard)'
'1141','06B07','Grand_Baba(D_Boss)'
'1142','0D40C','Tyrant_Lizard(Guard)'
'1143','0D307','Thunder_Lizard_King(D_Boss)'
'1144','12717','Captain_Lion_Bolcoff(D_Boss)'
'1145','0FD17','Captain_Siris_Gale(D_Boss)'
'1146','11517','Captain_Trashue(D_Boss)'
'1147','11E0C','Intruder_Holy_Chandra(Guard)'
'1148','0F40C','Tempest_Black_Knight(Guard)'
'1149','10C0C','Toypell_Striker(Guard)'
'1150','0A203','Holy_Crystal(Hero_D)'
'1151','18003','WingBox(Hero_D)'
'1152','08C03','Turncoat_Chandra(Champion_D)'
'1153','08103','Turncoat_Desperado(Champion_D)'
'1154','08913','Turncoat_Summoner(Champion_D)'
'1155','08703','Turncoat_Hunter(Champion_D)'
'1156','08003','Turncoat_Scout(Champion_D)'
'1157','08823','Turncoat_Gunner(Champion_D)'
'1158','12B13','Tombstone_Hidden_Soldier(Elite_D)'
'1159','0F013','Bloody_Warlock(Elite_D)'
'1160','11013','Eigen_Striker(Elite_D)'
'1161','12613','Tombstone_Berserker(Hero_D)'
'1162','0FC13','Bloody_Templer(Hero_D)'
'1163','10A13','Eigen_Assaulter(Hero_D)'
'1164','18207','Bloody_Heller_Wing(D_Boss)'
'1165','18217','Hora_Bloody_Heller_Wing(D_Boss)'
'1166','1820C','Heller_Wing_Guard(Guard)'
'1167','0E11B','Kukra_Vafer_Warrior(AceD)'
'1168','15513','Narum_Crawler_Suppression_Soldier(ChampionD)'
'1169','17013','Novajan_Vafer_Sharman(ChampionD)'
'1170','18C1C','Inferno_Block_Guard(Guard)'
'1171','15623','Cremle_Snatcher_Archer(ChampionD)'
'1172','15713','Kukra_Vafer_Berserker(ChampionD)'
'1173','15813','Narum_Crawler_Commander(EliteD)'
'1174','15913','Cremle_Snatcher_Commander(EliteD)'
'1175','15A13','Kukra_Vafer_Commander(EliteD)'
'1176','17113','Cremle_Snatcher_Magician(EliteD)'
'1177','17203','Novajan_Crawler_Soul(HeroD)'
'1178','16003','Cremle_Snatcher_Battalion_Commander(HeroD)'
'1179','16103','Narum_Crawler_Battalion_Commander(HeroD)'
'1180','16213','Kukra_Vafer_Battalion_Commander(HeroD)'
'1181','18C17','Inferno_Block_(DBoss)'
'1182','18E1B','Holy_Elf_Summoner(AceD)'
'1183','19213','Holy_Elf_Druid(ChampionD)'
'1184','19413','Dark_Elf_Demolisher(ChampionD)'
