'0','iyyyy01','Cling'
'492','iycsa42','Unstable_Gauntlet5~7_Grace_Upgrader[B]'
'493','iycsa43','Unstable_Shoe5~7_Grace_Upgrader[B]'
'494','iycsa44','Unstable_Shield3~4_Grace_Upgrader[B]'
'495','iycsa45','Unstable_Shield3~5_Grace_Upgrader[B]'
'496','iycsa46','Unstable_Shield4~6_Grace_Upgrader[B]'
'497','iycsa47','Unstable_Shield3~7_Grace_Upgrader[B]'
'498','iycsa48','Unstable_Shield4~7_Grace_Upgrader[B]'
'499','iycsa49','Unstable_Shield5~7_Grace_Upgrader[B]'
'500','iycsa50','AttackIncrease_Potion_SetA_Coupon(Bellato)'
'501','iycsa51','AttackIncrease_Potion_SetA_Coupon(Cora)'
'502','iycsa52','AttackIncrease_Potion_SetA_Coupon(Accretia)'
'503','iycsa53','Weapon_Socket_extender[Normal]'
'504','iycsa54','Weapon_Socket_extender[A]'
'505','iycsa55','Weapon_Socket_extender[B]'
'506','iycsa56','Weapon_Socket_extender[C]'
'507','iycsa57','Armor_Socket_extender[Normal]'
'508','iycsa58','Armor_Socket_extender[B]'
'509','iycsa59','Unstable3~4_Ignorance_Upgrader[B]'
'510','iycsa60','Unstable3~5_Ignorance_Upgrader[B]'
'511','iycsa61','Unstable4~6_Ignorance_Upgrader[B]'
'512','iycsa62','Unstable3~7_Ignorance_Upgrader[B]'
'513','iycsa63','Unstable4~7_Ignorance_Upgrader[B]'
'514','iycsa64','Unstable5~7_Ignorance_Upgrader[B]'
'515','iycsa65','Unstable3~4_Ignorance_Upgrader[C]'
'516','iycsa66','Unstable3~5_Ignorance_Upgrader[C]'
'517','iycsa67','Unstable4~6_Ignorance_Upgrader[C]'
'518','iycsa68','Unstable3~7_Ignorance_Upgrader[C]'
'519','iycsa69','Unstable4~7_Ignorance_Upgrader[C]'
'520','iycsa70','Unstable5~7_Ignorance_Upgrader[C]'
'521','iycsa71','Unstable3~4_Ignorance_Upgrader[Normal]'
'522','iycsa72','Unstable3~5_Ignorance_Upgrader[Normal]'
'523','iycsa73','Unstable4~6_Ignorance_Upgrader[Normal]'
'524','iycsa74','Unstable3~7_Ignorance_Upgrader[Normal]'
'525','iycsa75','Unstable4~7_Ignorance_Upgrader[Normal]'
'526','iycsa76','Unstable5~7_Ignorance_Upgrader[Normal]'
'527','iycsa77','Unstable_Helmet3~4_Grace_Upgrader[Normal]'
'528','iycsa78','Unstable_Upper_Item3~4_Grace_Upgrader[Normal]'
'529','iycsa79','Unstable_Lower_Item3~4_Grace_Upgrader[Normal]'
'530','iycsa80','Unstable_Gauntlet3~4_Grace_Upgrader[Normal]'
'531','iycsa81','Unstable_Shoe3~4_Grace_Upgrader[Normal]'
'532','iycsa82','Unstable_Helmet3~5_Grace_Upgrader[Normal]'
'533','iycsa83','Unstable_Upper_Item3~5_Grace_Upgrader[Normal]'
'534','iycsa84','Unstable_Lower_Item3~5_Grace_Upgrader[Normal]'
'535','iycsa85','Unstable_Gauntlet3~5_Grace_Upgrader[Normal]'
'536','iycsa86','Unstable_Shoe3~5_Grace_Upgrader[Normal]'
'537','iycsa87','Unstable_Helmet4~6_Grace_Upgrader[Normal]'
'538','iycsa88','Unstable_Upper_Item4~6_Grace_Upgrader[Normal]'
'539','iycsa89','Unstable_Lower_Item4~6_Grace_Upgrader[Normal]'
'540','iycsa90','Unstable_Gauntlet4~6_Grace_Upgrader[Normal]'
'541','iycsa91','Unstable_Shoe4~6_Grace_Upgrader[Normal]'
'542','iycsa92','Unstable_Helmet3~7_Grace_Upgrader[Normal]'
'543','iycsa93','Unstable_Upper_Item3~7_Grace_Upgrader[Normal]'
'544','iycsa94','Unstable_Lower_Item3~7_Grace_Upgrader[Normal]'
'545','iycsa95','Unstable_Gauntlet3~7_Grace_Upgrader[Normal]'
'546','iycsa96','Unstable_Shoe3~7_Grace_Upgrader[Normal]'
'547','iycsa97','Unstable_Helmet4~7_Grace_Upgrader[Normal]'
'548','iycsa98','Unstable_Upper_Item4~7_Grace_Upgrader[Normal]'
'549','iycsa99','Unstable_Lower_Item4~7_Grace_Upgrader[Normal]'
'550','iycsb01','Unstable_Gauntlet4~7_Grace_Upgrader[Normal]'
'551','iycsb02','Unstable_Shoe4~7_Grace_Upgrader[Normal]'
'552','iycsb03','Unstable_Helmet5~7_Grace_Upgrader[Normal]'
'553','iycsb04','Unstable_Upper_Item5~7_Grace_Upgrader[Normal]'
'554','iycsb05','Unstable_Lower_Item5~7_Grace_Upgrader[Normal]'
'555','iycsb06','Unstable_Gauntlet5~7_Grace_Upgrader[Normal]'
'556','iycsb07','Unstable_Shoe5~7_Grace_Upgrader[Normal]'
'557','iycsb08','Unstable_Shield3~4_Grace_Upgrader[Normal]'
'558','iycsb09','Unstable_Shield3~5_Grace_Upgrader[Normal]'
'559','iycsb10','Unstable_Shield4~6_Grace_Upgrader[Normal]'
'560','iycsb11','Unstable_Shield3~7_Grace_Upgrader[Normal]'
'561','iycsb12','Unstable_Shield4~7_Grace_Upgrader[Normal]'
'562','iycsb13','Unstable_Shield5~7_Grace_Upgrader[Normal]'
'563','iycsb14','Shield_Socket_extender[Normal]'
'564','iycsb15','Shield_Socket_extender[B]'
'565','iycsb16','Shield_Socket_extender[A]'
'566','iybox01','Small_EmptyBox'
'567','iybox02','EmptyBox'
'568','iybox03','Large_EmptyBox'
'569','iyeee31','Gold_Pig'
'570','iyevt01','Snow_Spray_Pump'
'571','iyevt02','Snow_Spray_Handle'
'572','iyevt03','Snow_Spray_Launcher'
'573','iyevt04','Snow_Spray_Freezer'
'574','iynwb00','Nuclear_Controller(Bellato)'
'575','iynwc00','Nuclear_Controller(Cora)'
'576','iynwa00','Nuclear_Controller(Accretia)'
'577','iydrk01','DarkHall`s_Voucher'
'578','iyyyy27','Sharp_Fang'
'579','iyyyy28','Bloody_Claw'
'580','iyyyy29','Sluggish_Tongue'
'581','iyyyy30','Filled_Venom_Sac'
'582','iyyyy31','Cracked_Shell'
'583','iyyyy32','Butcher`s_Epaulet'
'584','iyyyy33','Snatcher_Ringleader_Head'
'585','iyyyy34','Nose_Pendant_of_Pain'
'586','iyyyy35','Crawler_Ringleader_Head'
'587','iyyyy36','Tracker`s_Eyeball'
'588','iyyyy37','Vafer_Ringleader_Head'
'589','iymrk01','Seal_of_Blood'
'590','iymrk02','Seal_of_Destruction'
'591','iymrk03','Seal_of_Soul'
'592','iyhmr01','Sting_Host_Marr`s_Venom_Sac'
'593','iymap02','Ruined_Nature_Hologram'
'594','iymas01','Low-Grade_Talic_Master'
'595','iymas02','Intermediate-Grade_Talic_Master'
'596','iymas03','High-Grade_Talic_Master'
'597','iymas04','Highest-Grade_Talic_Master'
'598','iyrel01','Ruined_Seal_Breaking_Scroll'
'599','iyrel02','Normal_Seal_Breaking_Scroll'
'600','iyrel03','Blessed_Seal_Breaking_Scroll'
'601','iycsb17','1~2Keen_Upgrader[Normal]'
'602','iycsb18','1~3Keen_Upgrader[Normal]'
'603','iycsb19','1~4Keen_Upgrader[Normal]'
'604','iycsb20','1~5Keen_Upgrader[Normal]'
'605','iycsb21','2~3Keen_Upgrader[Normal]'
'606','iycsb22','2~4Keen_Upgrader[Normal]'
'607','iycsb23','2~5Keen_Upgrader[Normal]'
'608','iycsb24','2~6Keen_Upgrader[Normal]'
'609','iycsb25','3~4Keen_Upgrader[Normal]'
'610','iycsb26','3~5Keen_Upgrader[Normal]'
'611','iycsb27','3~6Keen_Upgrader[Normal]'
'612','iycsb28','3~7Keen_Upgrader[Normal]'
'613','iycsb29','4~5Keen_Upgrader[Normal]'
'614','iycsb30','4~6Keen_Upgrader[Normal]'
'615','iycsb31','4~7Keen_Upgrader[Normal]'
'616','iycsb32','5~6Keen_Upgrader[Normal]'
'617','iycsb33','5~7Keen_Upgrader[Normal]'
'618','iycsb34','6~7Keen_Upgrader[Normal]'
'619','iycsb35','1~2Keen_Upgrader[B-Class]'
'620','iycsb36','1~3Keen_Upgrader[B-Class]'
'621','iycsb37','1~4Keen_Upgrader[B-Class]'
'622','iycsb38','1~5Keen_Upgrader[B-Class]'
'623','iycsb39','2~3Keen_Upgrader[B-Class]'
'624','iycsb40','2~4Keen_Upgrader[B-Class]'
'625','iycsb41','2~5Keen_Upgrader[B-Class]'
'626','iycsb42','2~6Keen_Upgrader[B-Class]'
'627','iycsb43','3~6Keen_Upgrader[B-Class]'
'628','iycsb44','4~5Keen_Upgrader[B-Class]'
'629','iycsb46','5~6Keen_Upgrader[B-Class]'
'630','iycsb47','6~7Keen_Upgrader[B-Class]'
'631','iycsb48','1~2Keen_Upgrader[C-Class]'
'632','iycsb49','1~3Keen_Upgrader[C-Class]'
'633','iycsb50','1~4Keen_Upgrader[C-Class]'
'634','iycsb51','1~5Keen_Upgrader[C-Class]'
'635','iycsb52','2~3Keen_Upgrader[C-Class]'
'636','iycsb53','2~4Keen_Upgrader[C-Class]'
'637','iycsb54','2~5Keen_Upgrader[C-Class]'
'638','iycsb55','2~6Keen_Upgrader[C-Class]'
'639','iycsb56','3~6Keen_Upgrader[C-Class]'
'640','iycsb57','4~5Keen_Upgrader[C-Class]'
'641','iycsb59','5~6Keen_Upgrader[C-Class]'
'642','iycsb60','6~7Keen_Upgrader[C-Class]'
'643','iycsb61','Unstable_1~2Keen_Upgrader[Normal]'
'644','iycsb62','Unstable_1~3Keen_Upgrader[Normal]'
'645','iycsb63','Unstable_1~4Keen_Upgrader[Normal]'
'646','iycsb64','Unstable_1~5Keen_Upgrader[Normal]'
'647','iycsb65','Unstable_2~3Keen_Upgrader[Normal]'
'648','iycsb66','Unstable_2~4Keen_Upgrader[Normal]'
'649','iycsb67','Unstable_2~5Keen_Upgrader[Normal]'
'650','iycsb68','Unstable_2~6Keen_Upgrader[Normal]'
'651','iycsb69','Unstable_3~6Keen_Upgrader[Normal]'
'652','iycsb70','Unstable_4~5Keen_Upgrader[Normal]'
'653','iycsb72','Unstable_5~6Keen_Upgrader[Normal]'
'654','iycsb73','Unstable_6~7Keen_Upgrader[Normal]'
'655','iycsb74','Unstable_1~2Keen_Upgrader[B-Class]'
'656','iycsb75','Unstable_1~3Keen_Upgrader[B-Class]'
'657','iycsb76','Unstable_1~4Keen_Upgrader[B-Class]'
'658','iycsb77','Unstable_1~5Keen_Upgrader[B-Class]'
'659','iycsb78','Unstable_2~3Keen_Upgrader[B-Class]'
'660','iycsb79','Unstable_2~4Keen_Upgrader[B-Class]'
'661','iycsb80','Unstable_2~5Keen_Upgrader[B-Class]'
'662','iycsb81','Unstable_2~6Keen_Upgrader[B-Class]'
'663','iycsb82','Unstable_3~6Keen_Upgrader[B-Class]'
'664','iycsb83','Unstable_4~5Keen_Upgrader[B-Class]'
'665','iycsb85','Unstable_5~6Keen_Upgrader[B-Class]'
'666','iycsb86','Unstable_6~7Keen_Upgrader[B-Class]'
'667','iycsb87','Unstable_1~2Keen_Upgrader[C-Class]'
'668','iycsb88','Unstable_1~3Keen_Upgrader[C-Class]'
'669','iycsb89','Unstable_1~4Keen_Upgrader[C-Class]'
'670','iycsb90','Unstable_1~5Keen_Upgrader[C-Class]'
'671','iycsb91','Unstable_2~3Keen_Upgrader[C-Class]'
'672','iycsb92','Unstable_2~4Keen_Upgrader[C-Class]'
'673','iycsb93','Unstable_2~5Keen_Upgrader[C-Class]'
'674','iycsb94','Unstable_2~6Keen_Upgrader[C-Class]'
'675','iycsb95','Unstable_3~6Keen_Upgrader[C-Class]'
'676','iycsb96','Unstable_4~5Keen_Upgrader[C-Class]'
'677','iycsb98','Unstable_5~6Keen_Upgrader[C-Class]'
'678','iycsb99','Unstable_6~7Keen_Upgrader[C-Class]'
'679','iycsc09','Unstable_1~4Favor_Upgrader[Normal]'
'680','iycsc10','Unstable_1~5Favor_Upgrader[Normal]'
'681','iycsc11','Unstable_2~4Favor_Upgrader[Normal]'
'682','iycsc12','Unstable_2~5Favor_Upgrader[Normal]'
'683','iycsc13','Unstable_2~6Favor_Upgrader[Normal]'
'684','iycsc14','Unstable_3~6Favor_Upgrader[Normal]'
'685','iycsc15','Unstable_4~5Favor_Upgrader[Normal]'
'686','iycsc16','Unstable_5~6Favor_Upgrader[Normal]'
'687','iycsc17','Unstable_6~7Favor_Upgrader[Normal]'
'688','iycsc18','Unstable_1~4Favor_Upgrader[B-Class]'
'689','iycsc19','Unstable_1~5Favor_Upgrader[B-Class]'
'690','iycsc20','Unstable_2~4Favor_Upgrader[B-Class]'
'691','iycsc21','Unstable_2~5Favor_Upgrader[B-Class]'
'692','iycsc22','Unstable_2~6Favor_Upgrader[B-Class]'
'693','iycsc23','Unstable_3~6Favor_Upgrader[B-Class]'
'694','iycsc24','Unstable_4~5Favor_Upgrader[B-Class]'
'695','iycsc25','Unstable_5~6Favor_Upgrader[B-Class]'
'696','iycsc26','Unstable_6~7Favor_Upgrader[B-Class]'
'697','iycsc27','Unstable_1~4Favor_Upgrader[C-Class]'
'698','iycsc28','Unstable_1~5Favor_Upgrader[C-Class]'
'699','iycsc29','Unstable_2~4Favor_Upgrader[C-Class]'
'700','iycsc30','Unstable_2~5Favor_Upgrader[C-Class]'
'701','iycsc31','Unstable_2~6Favor_Upgrader[C-Class]'
'702','iycsc32','Unstable_3~6Favor_Upgrader[C-Class]'
'703','iycsc33','Unstable_4~5Favor_Upgrader[C-Class]'
'704','iycsc34','Unstable_5~6Favor_Upgrader[C-Class]'
'705','iycsc35','Unstable_3~4Favor_Upgrader[C-Class]'
'706','iycsc36','Unstable_3~5Favor_Upgrader[C-Class]'
'707','iycsc37','Unstable_4~6Favor_Upgrader[C-Class]'
'708','iycsc38','Unstable_3~7Favor_Upgrader[C-Class]'
'709','iycsc39','Unstable_4~7Favor_Upgrader[C-Class]'
'710','iycsc40','Unstable_5~7Favor_Upgrader[C-Class]'
'711','iycsc41','Unstable_6~7Favor_Upgrader[C-Class]'
'712','iybud01','Lotus_Flower_Leaf'
'713','iybud02','Old_Beads'
'714','iybud03','Exchange_Ticket_for_Buddhist_Statue'
'715','iybud04','Empty_BeadBox'
'716','iyque01','Leon_Volcof`s_Emblem'
'717','iyque02','Series_Gale`s_Emblem'
'718','iyque03','Thrash`s_Emblem'
'719','iyelf01','Snatcher_Soldier`s_Contract'
'720','iyelf02','Vafer_Shaman`s_Contract'
'721','iyelf03','Large_Protection_Soul_PieceTranslation'
'722','iyelf04','Small_piece_of_guardian_lord'
'723','iyelf05','Leader`s_Letter_FirstVolume'
'724','iyelf06','Leader`s_Letter_SecondVolume'
'725','iyelf07','Hajal`s_Key'
'726','iyelf08','Najal`s_Key'
'727','iyelf09','Soul`s_Seed'
'728','iyelf10','Babel_Fish'
'729','iyelf11','Location_Tracking_Device'
'730','iyelf12','Crawler_Baby'
'731','iyelf13','Herodian`s_Symbol'
'732','iycsc42','50Superior_Armor_2~4Socket_Extender'
'733','iycsc43','50Superior_Armor_5~6Socket_Extender'
'734','iycsc44','50Superior_Armor_7Socket_Extender'
'735','iycsc45','53Superior_Armor_2~4Socket_Extender'
'736','iycsc46','53Superior_Armor_5~6Socket_Extender'
'737','iycsc47','53Superior_Armor_7Socket_Extender'
'738','iycsc48','55Superior_Armor_2~4Socket_Extender'
'739','iycsc49','55Superior_Armor_5~6Socket_Extender'
'740','iycsc50','55Superior_Armor_7Socket_Extender'
'741','iycsc51','50Superior_Armor_1~2_Favor_Upgarder'
'742','iycsc52','50Superior_Armor_1~3_Favor_Upgarder'
'743','iycsc53','50Superior_Armor_1~4_Favor_Upgarder'
'744','iycsc54','50Superior_Armor_1~5_Favor_Upgarder'
'745','iycsc55','50Superior_Armor_1~6_Favor_Upgarder'
'746','iycsc56','50Superior_Armor_1~7_Favor_Upgarder'
'747','iycsc57','50Superior_Armor_2~3_Favor_Upgarder'
'748','iycsc58','50Superior_Armor_2~4_Favor_Upgarder'
'749','iycsc59','50Superior_Armor_2~5_Favor_Upgarder'
'750','iycsc60','50Superior_Armor_2~6_Favor_Upgarder'
'751','iycsc61','50Superior_Armor_2~7_Favor_Upgarder'
'752','iycsc62','50Superior_Armor_3~4_Favor_Upgarder'
'753','iycsc63','50Superior_Armor_3~5_Favor_Upgarder'
'754','iycsc64','50Superior_Armor_3~6_Favor_Upgarder'
'755','iycsc65','50Superior_Armor_3~7_Favor_Upgarder'
'756','iycsc66','50Superior_Armor_4~5_Favor_Upgarder'
'757','iycsc67','50Superior_Armor_4~6_Favor_Upgarder'
'758','iycsc68','50Superior_Armor_4~7_Favor_Upgarder'
'759','iycsc69','50Superior_Armor_5~6_Favor_Upgarder'
'760','iycsc70','50Superior_Armor_5~7_Favor_Upgarder'
'761','iycsc71','50Superior_Armor_6~7_Favor_Upgarder'
'762','iycsc72','53Superior_Armor_1~2_Favor_Upgarder'
'763','iycsc73','53Superior_Armor_1~3_Favor_Upgarder'
'764','iycsc74','53Superior_Armor_1~4_Favor_Upgarder'
'765','iycsc75','53Superior_Armor_1~5_Favor_Upgarder'
'766','iycsc76','53Superior_Armor_1~6_Favor_Upgarder'
'767','iycsc77','53Superior_Armor_1~7_Favor_Upgarder'
'768','iycsc78','53Superior_Armor_2~3_Favor_Upgarder'
'769','iycsc79','53Superior_Armor_2~4_Favor_Upgarder'
'770','iycsc80','53Superior_Armor_2~5_Favor_Upgarder'
'771','iycsc81','53Superior_Armor_2~6_Favor_Upgarder'
'772','iycsc82','53Superior_Armor_2~7_Favor_Upgarder'
'773','iycsc83','53Superior_Armor_3~4_Favor_Upgarder'
'774','iycsc84','53Superior_Armor_3~5_Favor_Upgarder'
'775','iycsc85','53Superior_Armor_3~6_Favor_Upgarder'
'776','iycsc86','53Superior_Armor_3~7_Favor_Upgarder'
'777','iycsc87','53Superior_Armor_4~5_Favor_Upgarder'
'778','iycsc88','53Superior_Armor_4~6_Favor_Upgarder'
'779','iycsc89','53Superior_Armor_4~7_Favor_Upgarder'
'780','iycsc90','53Superior_Armor_5~6_Favor_Upgarder'
'781','iycsc91','53Superior_Armor_5~7_Favor_Upgarder'
'782','iycsc92','53Superior_Armor_6~7_Favor_Upgarder'
'783','iycsc93','55Superior_Armor_1~2_Favor_Upgarder'
'784','iycsc94','55Superior_Armor_1~3_Favor_Upgarder'
'785','iycsc95','55Superior_Armor_1~4_Favor_Upgarder'
'786','iycsc96','55Superior_Armor_1~5_Favor_Upgarder'
'787','iycsc97','55Superior_Armor_1~6_Favor_Upgarder'
'788','iycsc98','55Superior_Armor_1~7_Favor_Upgarder'
'789','iycsc99','55Superior_Armor_2~3_Favor_Upgarder'
'790','iycsd01','55Superior_Armor_2~4_Favor_Upgarder'
'791','iycsd02','55Superior_Armor_2~5_Favor_Upgarder'
'792','iycsd03','55Superior_Armor_2~6_Favor_Upgarder'
'793','iycsd04','55Superior_Armor_2~7_Favor_Upgarder'
'794','iycsd05','55Superior_Armor_3~4_Favor_Upgarder'
'795','iycsd06','55Superior_Armor_3~5_Favor_Upgarder'
'796','iycsd07','55Superior_Armor_3~6_Favor_Upgarder'
'797','iycsd08','55Superior_Armor_3~7_Favor_Upgarder'
'798','iycsd09','55Superior_Armor_4~5_Favor_Upgarder'
'799','iycsd10','55Superior_Armor_4~6_Favor_Upgarder'
'800','iycsd11','55Superior_Armor_4~7_Favor_Upgarder'
'801','iycsd12','55Superior_Armor_5~6_Favor_Upgarder'
'802','iycsd13','55Superior_Armor_5~7_Favor_Upgarder'
'803','iycsd14','55Superior_Armor_6~7_Favor_Upgarder'
'804','iyhrd01','Herodian_Genetic_Information_Chip'
'805','iychm01','Sealed_Wrapping_Charm'
'806','iychm02','Sealed_Trading_Charm'
'807','iychm03','Sealed_Clairvoyance_Charm'
'808','iychm04','Sealed_Sprint_Charm'
'809','iychm05','Sealed_Gaining_Charm'
'810','iychm06','Sealed_Party`s_Charm'
'811','iychm07','Sealed_Recovery_Charm'
'812','iygen01','Broken_Burst_Generator'
'813','iygen02','Broken_Protect_Generator'
'814','iygen03','Broken_Thorns_Generator'
'815','iygen04','Broken_Aggressive_Generator'
'816','iygol01','Money_Sack'
'817','iysav01','Protective_Seat'
'818','iyqsa01','Sonar_Generator'
'819','iyqsa02','Royal_Summon'
'820','iyqsa03','Fake_researcher`s_Ring'
'821','iyqsa04','Cartella`s_Signature'
'822','iyqsa05','Merchant`s_summon'
'823','iyqsa06','Pollution_spread_estimation'
'824','iyqsa07','Bellato`s_appointment_letter'
'825','iyqsa08','Cora`s_appointment_letter'
'826','iyqsa09','Accretia`s_appointment_letter'
'827','iyqsa10','Virus_Deflector'
'828','iyqsa11','Component_information_film'
'829','iyqsa12','Cartella`s_Flask_I'
'830','iyqsa13','Cartella`s_Flask_II'
'831','iyqsa14','Cartella`s_Flask_III'
'832','iyqsa15','Magnetic_Bracelet'
'833','iyqsa16','Amulet_of_illusion'
'834','iyqsa17','Relic_of_Catacomb'
'835','iyqsa18','Relic_of_SnatcherGate'
'836','iyqsa19','Relic_of_SnatcherTemple'
'837','iyqsa20','Holymental_Ejector'
'838','iyqsa21','Trust`s_File'
'839','iyqsa22','Eller_Etha`s_File'
'840','iyqsa23','Amulet_of_MindControl'
'841','iyqla01','Unstable_Ruy_Mica'
'842','iyqla02','Old_piece_of_aircraft'
'843','iyqla04','RigorRhapis`_Scale'
'844','iyqla05','Lizard`s_Scale'
'845','iyqla06','Translator'
'846','iyqla09','Fugitive`s_belonging'
'847','iyqla10','Escapee`s_belonging'
'848','iyqla12','Hard_Scale'
'849','iyqla13','SplinterRex`s_Fang'
'850','iyqla14','Caliana_Sketchbook'
'851','iyqla15','Erotic_Sketchbook'
'852','iyqla16','Desert_Pollution_Estimation'
'853','iyqla17','Volcano_Pollution_Estimation'
'854','iyqla18','ScudLava`s_body_fluid'
'855','iyqla19','Volcano_Pollution_EstimationII'
'856','iyqla20','Accretian_Memory_Chip_I'
'857','iyqla21','Accretian_Memory_Chip_II'
'858','iyqla22','Accretian_Memory_Chip_III'
'859','iyqla23','Accretian_Memory_Chip_IV'
'860','iyqla24','Accretian_Memory_Chip_V'
'861','iyqla25','Cora_Translator_II'
'862','iyqla26','Accretia_Translator_II'
'863','iyqla27','Bellato_Translator_II'
'864','iyqla28','Transform_Powder'
'865','iyqla29','LittlePierceGrumble`s_cell'
'866','iyqla30','InfernalGrumble`s_egg'
'867','iyqla31','Nucleus_of_Life'
'868','iyqla32','Ghost`s_Protector'
'869','iyqla33','Old_part,_GQ-1'
'870','iyqla34','Crawler`s_hammer'
'871','iyqla35','Hugh_Garf`s_tail'
'872','iyqla36','Forbidden_file'
'873','iyqla37','Grumble_Owl`s_Cell'
'874','iyqla38','Vafer_Sly`s_Cell'
'875','iyqla39','Nyad_Heller`s_Cell'
'876','iyqla40','Garfmail`s_Scale'
'877','iyqla41','King_Twizer`s_Eye'
'878','iyqla42','Cora_MemoryChip_I'
'879','iyqla43','Cora_MemoryChip_II'
'880','iyqla44','Cora_MemoryChip_III'
'881','iyqla45','Cora_MemoryChip_IV'
'882','iyqla46','Cora_MemoryChip_V'
'883','iyqla47','God`s_tear'
'884','iyqla48','Little_LizardKahn`s_Cell'
'885','iyqla49','Herodian`s_tissue_capsule'
'886','iyqla50','Thick_Herodian`s_tissue_capsule'
'887','iyqla51','Bellato_MemoryChip_I'
'888','iyqla52','Bellato_MemoryChip_II'
'889','iyqla53','Bellato_MemoryChip_III'
'890','iyqla54','Bellato_MemoryChip_IV'
'891','iyqla55','Bellato_MemoryChip_V'
'892','iyqla56','Auto_Clinic'
'893','iyqla57','LittleAnabola`s_Cell'
'894','iyqla58','Captain,_Clover`s_Brain'
'895','iyqla59','Growth_Hormone'
'896','iyqla60','C.S._Spectrum'
'897','iyqla61','Hologram_MasterKey'
'898','iyqla62','Second_MasterKey'
'899','iyqla63','Bioweapon_Diary'
'900','iyqla64','Polluted_Wing'
'901','iyqla65','Certificate_of_test'
'902','iyqla66','Certificate_of_protection'
'903','iyqla67','Certificate_of_trust'
'904','iyqla68','Certificate_of_Seal'
'905','iyqla69','Enternal_Flame'
'906','iyqla70','Carrier_Key'
'907','iyqla71','Wave_of_dimension_piece'
'908','iyqla72','Flask_in_box'
'909','iyqla73','Energy_Sample'
'910','iyqla74','Citizen_of_Novus`_Picture'
'911','iyqla75','Citizen_of_Novus`_Symbols'
'912','iyqla76','Elven_Necklace'
'913','iyqla77','Crawer`s_Sword'
'914','iyqla78','BlackSign`s_Record_I'
'915','iyqla79','BlackSign`s_Record_II'
'916','iyqla80','BlackSign`s_Record_III'
'917','iyqla81','Manipulated_Wave_of_Dimension'
'918','iyqla82','Artillary`s_Log'
'919','iyqla83','Stolen_Research_File'
'920','iyqsa24','Creature_in_Flask'
'921','iyqsa25','Manipulated_Wave_of_Dimension'
'922','iyqsa26','Particle_227'
'923','iyqsa27','Live_Camera'
'924','iyqsa28','Codified_Slate'
'925','iyqsa29','Elven_Treasure'
'926','iyqsa30','Encrypted_Necklace'
'927','iyqla84','Unfinished_Map'
'928','iyqla85','Piece_of_Edisil_Map'
'929','iytkn01','Certificate_of_Novice(Bellato)'
'930','iytkn02','Certificate_of_Expert(Bellato)'
'931','iytkn03','Symbol_of_Master(Bellato)'
'932','iytkn04','Certificate_of_Novice(Cora)'
'933','iytkn05','Certificate_of_Expert(Cora)'
'934','iytkn06','Symbol_of_Master(Cora)'
'935','iytkn07','Certificate_of_Novice(Accretia)'
'936','iytkn08','Certificate_of_Expert(Accretia)'
'937','iytkn09','Symbol_of_Master(Accretia)'
'938','iycsd15','Stable_3~4Favor_Upgrader_[B_Class]'
'939','iycsd16','Stable_Shirt3~4Favor_Upgrader_[B_Class]'
'940','iycsd17','Stable_Pants3~4Favor_Upgrader_[B_Class]'
'941','iycsd18','Stable_Gloves3~4Favor_Upgrader_[B_Class]'
'942','iycsd19','Stable_Shoes_3~4Favor_Upgrader_[B_Class]'
'943','iycsd20','Stable_3~5Favor_Upgrader_[B_Class]'
'944','iycsd21','Stable_Shirt3~5Favor_Upgrader_[B_Class]'
'945','iycsd22','Stable_Pants3~5Favor_Upgrader_[B_Class]'
'946','iycsd23','Stable_Gloves3~5Favor_Upgrader_[B_Class]'
'947','iycsd24','Stable_Shoes_3~5Favor_Upgrader_[B_Class]'
'948','iycsd25','Stable_4~6Favor_Upgrader_[B_Class]'
'949','iycsd26','Stable_Shirt4~6Favor_Upgrader_[B_Class]'
'950','iycsd27','Stable_Pants4~6Favor_Upgrader_[B_Class]'
'951','iycsd28','Stable_Gloves4~6Favor_Upgrader_[B_Class]'
'952','iycsd29','Stable_Shoes_4~6Favor_Upgrader_[B_Class]'
'953','iycsd30','Stable_3~7Favor_Upgrader_[B_Class]'
'954','iycsd31','Stable_Shirt3~7Favor_Upgrader_[B_Class]'
'955','iycsd32','Stable_Pants3~7Favor_Upgrader_[B_Class]'
'956','iycsd33','Stable_Gloves3~7Favor_Upgrader_[B_Class]'
'957','iycsd34','Stable_Shoes_3~7Favor_Upgrader_[B_Class]'
'958','iycsd35','Stable_4~7Favor_Upgrader_[B_Class]'
'959','iycsd36','Stable_Shirt4~7Favor_Upgrader_[B_Class]'
'960','iycsd37','Stable_Pants4~7Favor_Upgrader_[B_Class]'
'961','iycsd38','Stable_Gloves4~7Favor_Upgrader_[B_Class]'
'962','iycsd39','Stable_Shoes_4~7Favor_Upgrader_[B_Class]'
'963','iycsd40','Stable_5~7Favor_Upgrader_[B_Class]'
'964','iycsd41','Stable_Shirt5~7Favor_Upgrader_[B_Class]'
'965','iycsd42','Stable_Pants5~7Favor_Upgrader_[B_Class]'
'966','iycsd43','Stable_Gloves5~7Favor_Upgrader_[B_Class]'
'967','iycsd44','Stable_Shoes_5~7Favor_Upgrader_[B_Class]'
'968','iycsd45','Stable_Shield3~4Favor_Upgrader_[B_Class]'
'969','iycsd46','Stable_Shield3~5Favor_Upgrader_[B_Class]'
