'0','iibba01','Fire_Parsal_WristletA(1)'
'570','iiaaa59','Aqua_Pliant_BracerC(3)'
'571','iiaaa60','Aqua_Pliant_BracerD(4)'
'572','iiaaa61','Aqua_Pliant_BracerE(5)'
'573','iiaaa62','Aqua_Pliant_BracerF(6)'
'574','iiaaa63','Aqua_Pliant_BracerG(7)'
'575','iiaaa64','Tera_Double_BracerA(1)'
'576','iiaaa65','Tera_Double_BracerB(2)'
'577','iiaaa66','Tera_Double_BracerC(3)'
'578','iiaaa67','Tera_Double_BracerD(4)'
'579','iiaaa68','Tera_Double_BracerE(5)'
'580','iiaaa69','Tera_Double_BracerF(6)'
'581','iiaaa70','Tera_Double_BracerG(7)'
'582','iiaaa71','Aqua_Hue_BracerA(1)'
'583','iiaaa72','Aqua_Hue_BracerB(2)'
'584','iiaaa73','Aqua_Hue_BracerC(3)'
'585','iiaaa74','Aqua_Hue_BracerD(4)'
'586','iiaaa75','Aqua_Hue_BracerE(5)'
'587','iiaaa76','Aqua_Hue_BracerF(6)'
'588','iiaaa77','Aqua_Hue_BracerG(7)'
'589','iiaaa78','Wind_Hue_BracerA(1)'
'590','iiaaa79','Wind_Hue_BracerB(2)'
'591','iiaaa80','Wind_Hue_BracerC(3)'
'592','iiaaa81','Wind_Hue_BracerD(4)'
'593','iiaaa82','Wind_Hue_BracerE(5)'
'594','iiaaa83','Wind_Hue_BracerF(6)'
'595','iiaaa84','Wind_Hue_BracerG(7)'
'596','iiaaa85','Fire_Hue_BracerA(1)'
'597','iiaaa86','Fire_Hue_BracerB(2)'
'598','iiaaa87','Fire_Hue_BracerC(3)'
'599','iiaaa88','Fire_Hue_BracerD(4)'
'600','iiaaa89','Fire_Hue_BracerE(5)'
'601','iiaaa90','Fire_Hue_BracerF(6)'
'602','iiaaa91','Fire_Hue_BracerG(7)'
'603','iiaaa92','Tera_Hue_BracerA(1)'
'604','iiaaa93','Tera_Hue_BracerB(2)'
'605','iiaaa94','Tera_Hue_BracerC(3)'
'606','iiaaa95','Tera_Hue_BracerD(4)'
'607','iiaaa96','Tera_Hue_BracerE(5)'
'608','iiaaa97','Tera_Hue_BracerF(6)'
'609','iiaaa98','Tera_Hue_BracerG(7)'
'610','iiaaa99','Fire_Burn_BracerA(1)'
'611','iiaab01','Fire_Burn_BracerB(2)'
'612','iiaab02','Fire_Burn_BracerC(3)'
'613','iiaab03','Fire_Burn_BracerD(4)'
'614','iiaab04','Fire_Burn_BracerE(5)'
'615','iiaab05','Fire_Burn_BracerF(6)'
'616','iiaab06','Fire_Burn_BracerG(7)'
'617','iiaab07','Aqua_Burn_BracerA(1)'
'618','iiaab08','Aqua_Burn_BracerB(2)'
'619','iiaab09','Aqua_Burn_BracerC(3)'
'620','iiaab10','Aqua_Burn_BracerD(4)'
'621','iiaab11','Aqua_Burn_BracerE(5)'
'622','iiaab12','Aqua_Burn_BracerF(6)'
'623','iiaab13','Aqua_Burn_BracerG(7)'
'624','iiaab14','Wind_Power_BracerA(1)'
'625','iiaab15','Wind_Power_BracerB(2)'
'626','iiaab16','Wind_Power_BracerC(3)'
'627','iiaab17','Wind_Power_BracerD(4)'
'628','iiaab18','Wind_Power_BracerE(5)'
'629','iiaab19','Wind_Power_BracerF(6)'
'630','iiaab20','Wind_Power_BracerG(7)'
'631','iiaab21','Aqua_Power_BracerA(1)'
'632','iiaab22','Aqua_Power_BracerB(2)'
'633','iiaab23','Aqua_Power_BracerC(3)'
'634','iiaab24','Aqua_Power_BracerD(4)'
'635','iiaab25','Aqua_Power_BracerE(5)'
'636','iiaab26','Aqua_Power_BracerF(6)'
'637','iiaab27','Aqua_Power_BracerG(7)'
'638','iiaab28','Fire_Power_BracerA(1)'
'639','iiaab29','Fire_Power_BracerB(2)'
'640','iiaab30','Fire_Power_BracerC(3)'
'641','iiaab31','Fire_Power_BracerD(4)'
'642','iiaab32','Fire_Power_BracerE(5)'
'643','iiaab33','Fire_Power_BracerF(6)'
'644','iiaab34','Fire_Power_BracerG(7)'
'645','iiaab35','Elemental_Normal_Bracer(Rare1-1)'
'646','iiaab36','Elemental_Normal_Bracer(Rare1-2)'
'647','iiaab37','Elemental_Normal_Bracer(Rare1-3)'
'648','iiaab38','Elemental_Normal_Bracer(Rare1-4)'
'649','iiaab39','Elemental_Normal_Bracer(Rare1-5)'
'650','iiaab40','Elemental_Normal_Bracer(Rare1-6)'
'651','iiaab41','Elemental_Normal_Bracer(Rare1-7)'
'652','iiaab42','Elemental_Normal_Bracer(Rare1-8)'
'653','iiaab43','Elemental_Pliant_Bracer(Rare1-1)'
'654','iiaab44','Elemental_Pliant_Bracer(Rare1-2)'
'655','iiaab45','Elemental_Pliant_Bracer(Rare1-3)'
'656','iiaab46','Elemental_Pliant_Bracer(Rare1-4)'
'657','iiaab47','Elemental_Pliant_Bracer(Rare1-5)'
'658','iiaab48','Elemental_Pliant_Bracer(Rare1-6)'
'659','iiaab49','Elemental_Pliant_Bracer(Rare1-7)'
'660','iiaab50','Elemental_Pliant_Bracer(Rare1-8)'
'661','iiaab51','Elemental_Hue_Bracer(Rare1-1)'
'662','iiaab52','Elemental_Hue_Bracer(Rare1-2)'
'663','iiaab53','Elemental_Hue_Bracer(Rare1-3)'
'664','iiaab54','Elemental_Hue_Bracer(Rare1-4)'
'665','iiaab55','Elemental_Hue_Bracer(Rare1-5)'
'666','iiaab56','Elemental_Hue_Bracer(Rare1-6)'
'667','iiaab57','Elemental_Hue_Bracer(Rare1-7)'
'668','iiaab58','Elemental_Hue_Bracer(Rare1-8)'
'669','iiaab59','Elemental_Power_Bracer(Rare1-1)'
'670','iiaab60','Elemental_Power_Bracer(Rare1-2)'
'671','iiaab61','Elemental_Power_Bracer(Rare1-3)'
'672','iiaab62','Elemental_Power_Bracer(Rare1-4)'
'673','iiaab63','Elemental_Power_Bracer(Rare1-5)'
'674','iiaab64','Elemental_Power_Bracer(Rare1-6)'
'675','iiaab65','Elemental_Power_Bracer(Rare1-7)'
'676','iiaab66','Elemental_Power_Bracer(Rare1-8)'
'677','iiaab67','Elemental_Mighty_BraceletA(Rare1-1)'
'678','iiaab68','Elemental_Mighty_BraceletB(Rare1-2)'
'679','iiaab69','Elemental_Mighty_BraceletC(Rare1-3)'
'680','iiaab70','Elemental_Mighty_BraceletD(Rare1-4)'
'681','iiaab71','Elemental_Mighty_BraceletE(Rare1-5)'
'682','iiaab72','Elemental_Mighty_BraceletF(Rare1-6)'
'683','iiaab73','Elemental_Mighty_BraceletG(Rare1-7)'
'684','iiaab74','Elemental_Mighty_BraceletH(Rare1-8)'
'685','iiaab75','Accretia_Ring174'
'686','iiaab76','Accretia_Ring175'
'687','iiaab77','Accretia_Ring176'
'688','iiaab78','Accretia_Ring177'
'689','iiaab79','Accretia_Ring178'
'690','iiaab80','Accretia_Ring179'
'691','iiaab81','Accretia_Ring180'
'692','iiaab82','Accretia_Ring181'
'693','iiaab83','Accretia_Ring182'
'694','iiaab84','Accretia_Ring183'
'695','iiaab85','Accretia_Ring184'
'696','iiaab86','Accretia_Ring185'
'697','iiaab87','Accretia_Ring186'
'698','iiaab88','Accretia_Ring187'
'699','iiaab89','Accretia_Ring188'
'700','iiaab90','Accretia_Ring189'
'701','iiaab91','Accretia_Ring190'
'702','iiaab92','Accretia_Ring191'
'703','iiaab93','Accretia_Ring192'
'704','iiaab94','Accretia_Ring193'
'705','iiaab95','Accretia_Ring194'
'706','iiaab96','Accretia_Ring195'
'707','iiaab97','Accretia_Ring196'
'708','iiaab98','Accretia_Ring197'
'709','iiaab99','Accretia_Ring198'
'710','iiaac01','Accretia_Ring199'
'711','iiaac02','Accretia_Ring200'
'712','iiaac03','Accretia_Ring201'
'713','iiaac04','Accretia_Ring202'
'714','iiaac05','Accretia_Ring203'
'715','iiaac06','Accretia_Ring204'
'716','iiaac07','Accretia_Ring205'
'717','iiaac08','Accretia_Ring206'
'718','iiaac09','Accretia_Ring207'
'719','iiaac10','Accretia_Ring208'
'720','iiaac11','Accretia_Ring209'
'721','iiaac12','Accretia_Ring210'
'722','iiaac13','Accretia_Ring211'
'723','iiaac14','Accretia_Ring212'
'724','iiaac15','Accretia_Ring213'
'725','iiaac16','Accretia_Ring214'
'726','iiaac17','Accretia_Ring215'
'727','iiaac18','Accretia_Ring216'
'728','iiaac19','Accretia_Ring217'
'729','iiaac20','Accretia_Ring218'
'730','iiaac21','Accretia_Ring219'
'731','iiaac22','Accretia_Ring220'
'732','iiaac23','Accretia_Ring221'
'733','iiaac24','Accretia_Ring222'
'734','iiaac25','Accretia_Ring223'
'735','iiaac26','Accretia_Ring224'
'736','iiaac27','Accretia_Ring225'
'737','iiaac28','Accretia_Ring226'
'738','iiaac29','Accretia_Ring227'
'739','iiaac30','Accretia_Ring228'
'740','iiaac31','Accretia_Ring229'
'741','iiaac32','Accretia_Ring230'
'742','iiaac33','Accretia_Ring231'
'743','iiaac34','Accretia_Ring232'
'744','iiaac35','Accretia_Ring233'
'745','iiaac36','Accretia_Ring234'
'746','iiaac37','Accretia_Ring235'
'747','iiaac38','Accretia_Ring236'
'748','iiaac39','Accretia_Ring237'
'749','iiaac40','Accretia_Ring238'
'750','iiaac41','Accretia_Ring239'
'751','iiaac42','Accretia_Ring240'
'752','iiaac43','Accretia_Ring241'
'753','iiaac44','Accretia_Ring242'
'754','iiaac45','Accretia_Ring243'
'755','iiaac46','Accretia_Ring244'
'756','iiaac47','Accretia_Ring245'
'757','iiaac48','Accretia_Ring246'
'758','iiaac49','Accretia_Ring247'
'759','iiaac50','Accretia_Ring248'
'760','iiaac51','Accretia_Ring249'
'761','iiaac52','Accretia_Ring250'
'762','iiaac53','Accretia_Ring251'
'763','iiaac54','Accretia_Ring252'
'764','iiaac55','Accretia_Ring253'
'765','iiaac56','Accretia_Ring254'
'766','iiaac57','Accretia_Ring255'
'767','iiaac58','Accretia_Ring256'
'768','iixxx00','AmLo_Ring'
'769','iixxx01','CEO_Ring'
'770','iixxx02','Munggu_Ring'
'771','iixxx03','Wedding_Ring'
'772','iijpe01','RING_of_SEGA'
'773','iijpe02','SEGA_RING'
'774','iichr01','Christmas_Elementatl_Ring1(A40)'
'775','iichr02','Christmas_Elemental_Ring2(A45)'
'776','iichr03','Christmas_Elemental_Ring3(D40)'
'777','iichr04','Christmas_Elemental_Ring4(D45)'
'778','iichr05','Christmas_Elemental_Ring5(Av40)'
'779','iichr06','Christmas_Elemental_Ring6(Av45)'
'780','iiarc01','The_Arcane_Ring'
'781','iijre01','Segaring_Red'
'782','iijbu01','Segaring_Blue'
'783','iired01','Red_Roar_Ring[B-A](Elemental_Partial_ResletH)'
'784','iired02','Red_Roar_Ring[B-B](Elemental_Mind_ResletH)'
'785','iired03','Red_Roar_Ring[B-C](Elemental_Tome_ResletH)'
'786','iired04','Red_Roar_Ring[C-A](Elemental_Mild_ArmletH)'
'787','iired05','Red_Roar_Ring[C-B](Elemental_Cuss_ArmletH)'
'788','iired06','Red_Roar_Ring[C-C](Elemental_Den_ArmletG)'
'789','iired07','Red_Roar_Ring[A-A](Elemental_Pliant_BraceletH)'
'790','iired08','Red_Roar_Ring[A-B](Elemental_Hue_BraceletH)'
'791','iired09','Red_Roar_Ring[A-C](Elemental_Mighty_BraceletH)'
'792','iibbd01','Elemental_Sprits_ResletH11(Rare1-9)'
'793','iibbd02','Elemental_Sprits_ResletH21(Rare1-10)'
'794','iibbd03','Elemental_Sprits_ResletH31(Rare1-11)'
'795','iibbd04','Elemental_Sprits_ResletH41(Rare1-12)'
'796','iibbd05','Elemental_Sprits_ResletH51(Rare1-13)'
'797','iibbd06','Elemental_Sprits_ResletH12(Rare1-14)'
'798','iibbd07','Elemental_Sprits_ResletH22(Rare1-15)'
'799','iibbd08','Elemental_Sprits_ResletH32(Rare1-16)'
'800','iibbd09','Elemental_Sprits_ResletH42(Rare1-17)'
'801','iibbd10','Elemental_Sprits_ResletH52(Rare1-18)'
'802','iibbd11','Elemental_Sprits_ResletH13(Rare1-19)'
'803','iibbd12','Elemental_Sprits_ResletH23(Rare1-20)'
'804','iibbd13','Elemental_Sprits_ResletH33(Rare1-21)'
'805','iibbd14','Elemental_Sprits_ResletH43(Rare1-22)'
'806','iibbd15','Elemental_Sprits_ResletH53(Rare1-23)'
'807','iibbd16','Elemental_Sprits_ResletH14(Rare1-24)'
'808','iibbd17','Elemental_Sprits_ResletH24(Rare1-25)'
'809','iibbd18','Elemental_Sprits_ResletH34(Rare1-26)'
'810','iibbd19','Elemental_Sprits_ResletH44(Rare1-27)'
'811','iibbd20','Elemental_Sprits_ResletH54(Rare1-28)'
'812','iibbd21','Elemental_Sprits_ResletH15(Rare1-29)'
'813','iibbd22','Elemental_Sprits_ResletH25(Rare1-30)'
'814','iibbd23','Elemental_Sprits_ResletH35(Rare1-31)'
'815','iibbd24','Elemental_Sprits_ResletH45(Rare1-32)'
'816','iibbd25','Elemental_Sprits_ResletH55(Rare1-33)'
'817','iibbd26','Elemental_Mind_ResletH11(Rare1-9)'
'818','iibbd27','Elemental_Mind_ResletH21(Rare1-10)'
'819','iibbd28','Elemental_Mind_ResletH31(Rare1-11)'
'820','iibbd29','Elemental_Mind_ResletH41(Rare1-12)'
'821','iibbd30','Elemental_Mind_ResletH51(Rare1-13)'
'822','iibbd31','Elemental_Mind_ResletH12(Rare1-14)'
'823','iibbd32','Elemental_Mind_ResletH22(Rare1-15)'
'824','iibbd33','Elemental_Mind_ResletH32(Rare1-16)'
'825','iibbd34','Elemental_Mind_ResletH42(Rare1-17)'
'826','iibbd35','Elemental_Mind_ResletH52(Rare1-18)'
'827','iibbd36','Elemental_Mind_ResletH13(Rare1-19)'
'828','iibbd37','Elemental_Mind_ResletH23(Rare1-20)'
'829','iibbd38','Elemental_Mind_ResletH33(Rare1-21)'
'830','iibbd39','Elemental_Mind_ResletH43(Rare1-22)'
'831','iibbd40','Elemental_Mind_ResletH53(Rare1-23)'
'832','iibbd41','Elemental_Mind_ResletH14(Rare1-24)'
'833','iibbd42','Elemental_Mind_ResletH24(Rare1-25)'
'834','iibbd43','Elemental_Mind_ResletH34(Rare1-26)'
'835','iibbd44','Elemental_Mind_ResletH44(Rare1-27)'
'836','iibbd45','Elemental_Mind_ResletH54(Rare1-28)'
'837','iibbd46','Elemental_Mind_ResletH15(Rare1-29)'
'838','iibbd47','Elemental_Mind_ResletH25(Rare1-30)'
'839','iibbd48','Elemental_Mind_ResletH35(Rare1-31)'
'840','iibbd49','Elemental_Mind_ResletH45(Rare1-32)'
'841','iibbd50','Elemental_Mind_ResletH55(Rare1-33)'
'842','iibbd51','Elemental_El_ResletH1(Rare1-9)'
'843','iibbd52','Elemental_El_ResletH2(Rare1-10)'
'844','iibbd53','Elemental_El_ResletH3(Rare1-11)'
'845','iibbd54','Elemental_El_ResletH4(Rare1-12)'
'846','iibbd55','Elemental_El_ResletH5(Rare1-13)'
'847','iibbd56','Elemental_Tome_ResletH11(Rare1-9)'
'848','iibbd57','Elemental_Tome_ResletH21(Rare1-10)'
'849','iibbd58','Elemental_Tome_ResletH31(Rare1-11)'
'850','iibbd59','Elemental_Tome_ResletH41(Rare1-12)'
'851','iibbd60','Elemental_Tome_ResletH51(Rare1-13)'
'852','iibbd61','Elemental_Tome_ResletH12(Rare1-14)'
'853','iibbd62','Elemental_Tome_ResletH22(Rare1-15)'
'854','iibbd63','Elemental_Tome_ResletH32(Rare1-16)'
'855','iibbd64','Elemental_Tome_ResletH42(Rare1-17)'
'856','iibbd65','Elemental_Tome_ResletH52(Rare1-18)'
'857','iibbd66','Elemental_Tome_ResletH13(Rare1-19)'
'858','iibbd67','Elemental_Tome_ResletH23(Rare1-20)'
'859','iibbd68','Elemental_Tome_ResletH33(Rare1-21)'
'860','iibbd69','Elemental_Tome_ResletH43(Rare1-22)'
'861','iibbd70','Elemental_Tome_ResletH53(Rare1-23)'
'862','iibbd71','Elemental_Tome_ResletH14(Rare1-24)'
'863','iibbd72','Elemental_Tome_ResletH24(Rare1-25)'
'864','iibbd73','Elemental_Tome_ResletH34(Rare1-26)'
'865','iibbd74','Elemental_Tome_ResletH44(Rare1-27)'
'866','iibbd75','Elemental_Tome_ResletH54(Rare1-28)'
'867','iibbd76','Elemental_Tome_ResletH15(Rare1-29)'
'868','iibbd77','Elemental_Tome_ResletH25(Rare1-30)'
'869','iibbd78','Elemental_Tome_ResletH35(Rare1-31)'
'870','iibbd79','Elemental_Tome_ResletH45(Rare1-32)'
'871','iibbd80','Elemental_Tome_ResletH55(Rare1-33)'
'872','iiccd01','Elemental_Mild_ArmletH1(Rare1-9)'
'873','iiccd02','Elemental_Mild_ArmletH2(Rare1-10)'
'874','iiccd03','Elemental_Mild_ArmletH3(Rare1-11)'
'875','iiccd04','Elemental_Mild_ArmletH4(Rare1-12)'
'876','iiccd05','Elemental_Mild_ArmletH5(Rare1-13)'
'877','iiccd06','Elemental_Cuss_ArmletH1(Rare1-9)'
'878','iiccd07','Elemental_Cuss_ArmletH2(Rare1-10)'
'879','iiccd08','Elemental_Cuss_ArmletH3(Rare1-11)'
'880','iiccd09','Elemental_Cuss_ArmletH4(Rare1-12)'
'881','iiccd10','Elemental_Cuss_ArmletH5(Rare1-13)'
'882','iiccd11','Elemental_Den_ArmletG1(Rare1-8)'
'883','iiccd12','Elemental_Den_ArmletG2(Rare1-9)'
'884','iiccd13','Elemental_Den_ArmletG3(Rare1-10)'
'885','iiccd14','Elemental_Den_ArmletG4(Rare1-11)'
'886','iiccd15','Elemental_Den_ArmletG5(Rare1-12)'
'887','iiaad01','Elemental_Pliant_BraceletH11(Rare1-9)'
'888','iiaad02','Elemental_Pliant_BraceletH21(Rare1-10)'
'889','iiaad03','Elemental_Pliant_BraceletH31(Rare1-11)'
'890','iiaad04','Elemental_Pliant_BraceletH41(Rare1-12)'
'891','iiaad05','Elemental_Pliant_BraceletH51(Rare1-13)'
'892','iiaad06','Elemental_Pliant_BraceletH12(Rare1-14)'
'893','iiaad07','Elemental_Pliant_BraceletH22(Rare1-15)'
'894','iiaad08','Elemental_Pliant_BraceletH32(Rare1-16)'
'895','iiaad09','Elemental_Pliant_BraceletH42(Rare1-17)'
'896','iiaad10','Elemental_Pliant_BraceletH52(Rare1-18)'
'897','iiaad11','Elemental_Pliant_BraceletH13(Rare1-19)'
'898','iiaad12','Elemental_Pliant_BraceletH23(Rare1-20)'
'899','iiaad13','Elemental_Pliant_BraceletH33(Rare1-21)'
'900','iiaad14','Elemental_Pliant_BraceletH43(Rare1-22)'
'901','iiaad15','Elemental_Pliant_BraceletH53(Rare1-23)'
'902','iiaad16','Elemental_Pliant_BraceletH14(Rare1-24)'
'903','iiaad17','Elemental_Pliant_BraceletH24(Rare1-25)'
'904','iiaad18','Elemental_Pliant_BraceletH34(Rare1-26)'
'905','iiaad19','Elemental_Pliant_BraceletH44(Rare1-27)'
'906','iiaad20','Elemental_Pliant_BraceletH54(Rare1-28)'
'907','iiaad21','Elemental_Pliant_BraceletH15(Rare1-29)'
'908','iiaad22','Elemental_Pliant_BraceletH25(Rare1-30)'
'909','iiaad23','Elemental_Pliant_BraceletH35(Rare1-31)'
'910','iiaad24','Elemental_Pliant_BraceletH45(Rare1-32)'
'911','iiaad25','Elemental_Pliant_BraceletH55(Rare1-33)'
'912','iiaad26','Elemental_Hue_BraceletH11(Rare1-9)'
'913','iiaad27','Elemental_Hue_BraceletH21(Rare1-10)'
'914','iiaad28','Elemental_Hue_BraceletH31(Rare1-11)'
'915','iiaad29','Elemental_Hue_BraceletH41(Rare1-12)'
'916','iiaad30','Elemental_Hue_BraceletH51(Rare1-13)'
'917','iiaad31','Elemental_Hue_BraceletH12(Rare1-9)'
'918','iiaad32','Elemental_Hue_BraceletH22(Rare1-10)'
'919','iiaad33','Elemental_Hue_BraceletH32(Rare1-11)'
'920','iiaad34','Elemental_Hue_BraceletH42(Rare1-12)'
'921','iiaad35','Elemental_Hue_BraceletH52(Rare1-13)'
'922','iiaad36','Elemental_Hue_BraceletH13(Rare1-9)'
'923','iiaad37','Elemental_Hue_BraceletH23(Rare1-10)'
'924','iiaad38','Elemental_Hue_BraceletH33(Rare1-11)'
'925','iiaad39','Elemental_Hue_BraceletH43(Rare1-12)'
'926','iiaad40','Elemental_Hue_BraceletH53(Rare1-13)'
'927','iiaad41','Elemental_Hue_BraceletH14(Rare1-9)'
'928','iiaad42','Elemental_Hue_BraceletH24(Rare1-10)'
'929','iiaad43','Elemental_Hue_BraceletH34(Rare1-11)'
'930','iiaad44','Elemental_Hue_BraceletH44(Rare1-12)'
'931','iiaad45','Elemental_Hue_BraceletH54(Rare1-13)'
'932','iiaad46','Elemental_Hue_BraceletH15(Rare1-9)'
'933','iiaad47','Elemental_Hue_BraceletH25(Rare1-10)'
'934','iiaad48','Elemental_Hue_BraceletH35(Rare1-11)'
'935','iiaad49','Elemental_Hue_BraceletH45(Rare1-12)'
'936','iiaad50','Elemental_Hue_BraceletH55(Rare1-13)'
'937','iiaad51','Elemental_Power_BraceletH1(Rare1-9)'
'938','iiaad52','Elemental_Power_BraceletH2(Rare1-10)'
'939','iiaad53','Elemental_Power_BraceletH3(Rare1-11)'
'940','iiaad54','Elemental_Power_BraceletH4(Rare1-12)'
'941','iiaad55','Elemental_Power_BraceletH5(Rare1-13)'
'942','iiaad56','Elemental_Mighty_BraceletH11(Rare1-9)'
'943','iiaad57','Elemental_Mighty_BraceletH21(Rare1-10)'
'944','iiaad58','Elemental_Mighty_BraceletH31(Rare1-11)'
'945','iiaad59','Elemental_Mighty_BraceletH41(Rare1-12)'
'946','iiaad60','Elemental_Mighty_BraceletH51(Rare1-13)'
'947','iiaad61','Elemental_Mighty_BraceletH12(Rare1-9)'
'948','iiaad62','Elemental_Mighty_BraceletH22(Rare1-10)'
'949','iiaad63','Elemental_Mighty_BraceletH32(Rare1-11)'
'950','iiaad64','Elemental_Mighty_BraceletH42(Rare1-12)'
'951','iiaad65','Elemental_Mighty_BraceletH52(Rare1-13)'
'952','iiaad66','Elemental_Mighty_BraceletH13(Rare1-9)'
'953','iiaad67','Elemental_Mighty_BraceletH23(Rare1-10)'
'954','iiaad68','Elemental_Mighty_BraceletH33(Rare1-11)'
'955','iiaad69','Elemental_Mighty_BraceletH43(Rare1-12)'
'956','iiaad70','Elemental_Mighty_BraceletH53(Rare1-13)'
'957','iiaad71','Elemental_Mighty_BraceletH14(Rare1-9)'
'958','iiaad72','Elemental_Mighty_BraceletH24(Rare1-10)'
'959','iiaad73','Elemental_Mighty_BraceletH34(Rare1-11)'
'960','iiaad74','Elemental_Mighty_BraceletH44(Rare1-12)'
'961','iiaad75','Elemental_Mighty_BraceletH54(Rare1-13)'
'962','iiaad76','Elemental_Mighty_BraceletH15(Rare1-9)'
'963','iiaad77','Elemental_Mighty_BraceletH25(Rare1-10)'
'964','iiaad78','Elemental_Mighty_BraceletH35(Rare1-11)'
'965','iiaad79','Elemental_Mighty_BraceletH45(Rare1-12)'
'966','iiaad80','Elemental_Mighty_BraceletH55(Rare1-13)'
'967','iicsa01','Beginners_Ring'
'968','iixqu01','Symbol_of_Novus_Ring'
'969','iibrz01','RFOnline_Commercialize_Ring'
'970','iibev01','Winner`s_BraceletA'
'971','iiaev01','Winner`s_BraceletB'
'972','iibev02','Winner`s_BraceletA'
'973','iiaev02','Winner`s_BraceletB'
'974','iibhh01','DarkFog_Master`s_Ring(1)(Bellato)'
'975','iibhh02','DarkFog_Master`s_Ring(2)(Bellato)'
'976','iibhh03','DarkFog_Master`s_Ring(3)(Bellato)'
'977','iibhh04','DarkFog_Master`s_Ring(4)(Bellato)'
'978','iibhh05','DarkFog_Master`s_Ring(5)(Bellato)'
'979','iibhg01','Infinite_Memory`s_Ring(1)(Bellato)'
'980','iibhg02','Infinite_Memory`s_Ring(2)(Bellato)'
'981','iibhg03','Infinite_Memory`s_Ring(3)(Bellato)'
'982','iibhg04','Infinite_Memory`s_Ring(4)(Bellato)'
'983','iibhg05','Infinite_Memory`s_Ring(5)(Bellato)'
'984','iibhq01','DarkHall_Queen`s_Ring(1)(Bellato)'
'985','iibhq02','DarkHall_Queen`s_Ring(2)(Bellato)'
'986','iibhq03','DarkHall_Queen`s_Ring(3)(Bellato)'
'987','iibhq04','DarkHall_Queen`s_Ring(4)(Bellato)'
'988','iibhq05','DarkHall_Queen`s_Ring(5)(Bellato)'
'989','iibhb01','BaalHamon`s_Ring(1)(Bellato)'
'990','iibhb02','BaalHamon`s_Ring(2)(Bellato)'
'991','iibhb03','Hora_BaalHamon`s_Ring(1)(Bellato)'
'992','iibhb04','Hora_BaalHamon`s_Ring(2)(Bellato)'
'993','iibhb05','Hora_BaalHamon`s_Ring(5)(Bellato)'
'994','iichh01','DarkFog_Master`s_Ring(1)(Cora)'
'995','iichh02','DarkFog_Master`s_Ring(2)(Cora)'
'996','iichh03','DarkFog_Master`s_Ring(3)(Cora)'
'997','iichh04','DarkFog_Master`s_Ring(4)(Cora)'
'998','iichh05','DarkFog_Master`s_Ring(5)(Cora)'
'999','iichg01','Infinite_Memory`s_Ring(1)(Cora)'
'1000','iichg02','Infinite_Memory`s_Ring(2)(Cora)'
'1001','iichg03','Infinite_Memory`s_Ring(3)(Cora)'
'1002','iichg04','Infinite_Memory`s_Ring(4)(Cora)'
'1003','iichg05','Infinite_Memory`s_Ring(5)(Cora)'
'1004','iichq01','DarkHall_Queen`s_Ring(1)(Cora)'
'1005','iichq02','DarkHall_Queen`s_Ring(2)(Cora)'
'1006','iichq03','DarkHall_Queen`s_Ring(3)(Cora)'
'1007','iichq04','DarkHall_Queen`s_Ring(4)(Cora)'
'1008','iichq05','DarkHall_Queen`s_Ring(5)(Cora)'
'1009','iichb01','BaalHamon`s_Ring(1)(Cora)'
'1010','iichb02','BaalHamon`s_Ring(2)(Cora)'
'1011','iichb03','Hora_BaalHamon`s_Ring(1)(Cora)'
'1012','iichb04','Hora_BaalHamon`s_Ring(2)(Cora)'
'1013','iichb05','Hora_BaalHamon`s_Ring(5)(Cora)'
'1014','iiahh01','DarkFog_Master`s_Ring(1)(Accretia)'
'1015','iiahh02','DarkFog_Master`s_Ring(2)(Accretia)'
'1016','iiahh03','DarkFog_Master`s_Ring(3)(Accretia)'
'1017','iiahh04','DarkFog_Master`s_Ring(4)(Accretia)'
'1018','iiahh05','DarkFog_Master`s_Ring(5)(Accretia)'
'1019','iiahg01','Infinite_Memory`s_Ring(1)(Accretia)'
'1020','iiahg02','Infinite_Memory`s_Ring(2)(Accretia)'
'1021','iiahg03','Infinite_Memory`s_Ring(3)(Accretia)'
'1022','iiahg04','Infinite_Memory`s_Ring(4)(Accretia)'
'1023','iiahg05','Infinite_Memory`s_Ring(5)(Accretia)'
'1024','iiahq01','DarkHall_Queen`s_Ring(1)(Accretia)'
'1025','iiahq02','DarkHall_Queen`s_Ring(2)(Accretia)'
'1026','iiahq03','DarkHall_Queen`s_Ring(3)(Accretia)'
'1027','iiahq04','DarkHall_Queen`s_Ring(4)(Accretia)'
'1028','iiahq05','DarkHall_Queen`s_Ring(5)(Accretia)'
'1029','iiahb01','BaalHamon`s_Ring(1)(Accretia)'
'1030','iiahb02','BaalHamon`s_Ring(2)(Accretia)'
'1031','iiahb03','Hora_BaalHamon`s_Ring(1)(Accretia)'
'1032','iiahb04','Hora_BaalHamon`s_Ring(2)(Accretia)'
'1033','iiahb05','Hora_BaalHamon`s_Ring(5)(Accretia)'
'1034','iibna01','Starved_Beast`s_Ring(1)(Bellato)'
'1035','iibna02','Starved_Beast`s_Ring(2)(Bellato)'
'1036','iibna03','Starved_Beast`s_Ring(3)(Bellato)'
'1037','iibna04','Violent_Wild`s_Earring(1)(Bellato)'
'1038','iibna05','Violent_Wild`s_Earring(2)(Bellato)'
